time joint_0 joint_1 joint_2 joint_3 joint_4 joint_5 joint_6 joint_7 joint_8 joint_9 joint_10 joint_11 joint_12 joint_13 joint_14 joint_15 joint_16 joint_17 joint_18 joint_19
0.033333 0.181531 -0.070883 0.239058 -0.040912 0.220913 0.310275 -0.076297 0.466776 -0.525924 0.061672 0.112413 -0.092489 -0.132688 2.357698 0.063490 0.220960 0.132626 -0.365262 2.116498 0.176981
0.066667 0.190670 -0.065960 0.258624 -0.040773 0.211292 0.313262 -0.089982 0.468006 -0.504553 0.060584 0.125333 -0.078754 -0.155964 2.390526 0.071915 0.228820 0.128912 -0.381247 2.131455 0.173140
0.100000 0.198015 -0.062486 0.279461 -0.045365 0.203086 0.300086 -0.099832 0.471420 -0.487931 0.056524 0.130480 -0.078099 -0.154231 2.390163 0.071074 0.236773 0.129491 -0.385628 2.133573 0.168535
0.133333 0.207925 -0.064890 0.305488 -0.077885 0.204004 0.294916 -0.101540 0.483586 -0.498142 0.062406 0.120176 -0.087194 -0.162963 2.390710 0.068316 0.231430 0.136906 -0.390323 2.139759 0.170536
0.166667 0.210965 -0.063096 0.327820 -0.088234 0.199777 0.290996 -0.108271 0.490504 -0.487155 0.056116 0.128849 -0.080914 -0.176579 2.380215 0.045805 0.234361 0.141868 -0.391948 2.138173 0.168512
0.200000 0.216231 -0.061007 0.343884 -0.094235 0.193992 0.284725 -0.114089 0.490763 -0.471497 0.050239 0.137905 -0.074554 -0.184227 2.376839 0.031263 0.233911 0.143726 -0.395678 2.137371 0.170430
0.233333 0.218551 -0.055528 0.364134 -0.109056 0.188027 0.281260 -0.121179 0.490102 -0.454816 0.035826 0.146172 -0.069782 -0.191026 2.377150 0.026541 0.229514 0.144130 -0.399820 2.137926 0.172501
0.266667 0.221874 -0.050750 0.395165 -0.152892 0.201313 0.277608 -0.127231 0.493747 -0.455171 0.037000 0.151028 -0.066452 -0.195628 2.371936 0.001020 0.220264 0.145426 -0.399858 2.135337 0.176073
0.300000 0.221820 -0.038941 0.402897 -0.159348 0.199669 0.277282 -0.136999 0.472022 -0.419508 0.022934 0.155127 -0.059241 -0.198538 2.368911 -0.002337 0.209704 0.140064 -0.398592 2.133525 0.175531
0.333333 0.222522 -0.034014 0.440564 -0.210980 0.215526 0.274802 -0.144287 0.478355 -0.419885 0.023118 0.160444 -0.058588 -0.201019 2.372401 0.014104 0.203897 0.139536 -0.398803 2.132985 0.176853
