timestep	ref_qpos_L_hip_yaw	ref_qpos_L_shoulder_pitch	ref_qpos_R_hip_yaw	ref_qpos_R_shoulder_pitch	ref_qpos_L_hip_roll	ref_qpos_L_shoulder_roll	ref_qpos_R_hip_roll	ref_qpos_R_shoulder_roll	ref_qpos_L_hip_pitch	ref_qpos_L_shoulder_yaw	ref_qpos_R_hip_pitch	ref_qpos_R_shoulder_yaw	ref_qpos_L_knee_pitch	ref_qpos_L_elbow_pitch	ref_qpos_R_knee_pitch	ref_qpos_R_elbow_pitch	ref_qpos_L_ankle_pitch	ref_qpos_L_wrist_yaw	ref_qpos_R_ankle_pitch	ref_qpos_R_wrist_yaw	ref_qpos_L_ankle_roll	ref_qpos_R_ankle_roll	ref_qvel_L_hip_yaw	ref_qvel_L_shoulder_pitch	ref_qvel_R_hip_yaw	ref_qvel_R_shoulder_pitch	ref_qvel_L_hip_roll	ref_qvel_L_shoulder_roll	ref_qvel_R_hip_roll	ref_qvel_R_shoulder_roll	ref_qvel_L_hip_pitch	ref_qvel_L_shoulder_yaw	ref_qvel_R_hip_pitch	ref_qvel_R_shoulder_yaw	ref_qvel_L_knee_pitch	ref_qvel_L_elbow_pitch	ref_qvel_R_knee_pitch	ref_qvel_R_elbow_pitch	ref_qvel_L_ankle_pitch	ref_qvel_L_wrist_yaw	ref_qvel_R_ankle_pitch	ref_qvel_R_wrist_yaw	ref_qvel_L_ankle_roll	ref_qvel_R_ankle_roll	ref_root_vel_x	ref_root_vel_y	ref_root_vel_z
0	0.16738438606262207	0.029568256810307503	0.18732544779777527	-0.009425540454685688	0.01428456325083971	0.2692451477050781	0.040881410241127014	0.20375122129917145	0.04889390245079994	-0.4963211119174957	0.06242424622178078	-0.5101246237754822	-0.06993669271469116	0.48129263520240784	-0.05210736766457558	0.38083726167678833	0.09619281440973282	-0.6346027255058289	0.0717124491930008	-0.6245035529136658	0.0492415726184845	0.039666108787059784	0.007233768701553345	0.0030203722417354584	-0.009438395500183105	0.006087590008974075	0.009724590927362442	0.009840726852416992	-0.011484883725643158	0.012434273958206177	0.010330788791179657	-0.01941770315170288	0.004235841333866119	-0.017148256301879883	-0.004022940993309021	0.02088993787765503	-0.0005545094609260559	-0.003719329833984375	0.0029806047677993774	-0.012004375457763672	0.0028330832719802856	-0.0050127506256103516	-0.0024726614356040955	0.0019362196326255798	-0.0025741755962371826	-0.0011608004570007324	6.556510925292969e-05
1	0.16752906143665314	0.029628664255142212	0.1871366798877716	-0.009303788654506207	0.014479055069386959	0.26944196224212646	0.04065171256661415	0.20399990677833557	0.049100518226623535	-0.4967094659805298	0.0625089630484581	-0.5104675889015198	-0.07001715153455734	0.48171043395996094	-0.0521184578537941	0.38076287508010864	0.0962524265050888	-0.6348428130149841	0.0717691108584404	-0.624603807926178	0.049192119389772415	0.039704833179712296	0.007233768701553345	0.0030203256756067276	-0.009438395500183105	0.006087613292038441	0.009724567644298077	0.0098399817943573	-0.01148497685790062	0.012433528900146484	0.010330602526664734	-0.01941770315170288	0.004235934466123581	-0.017148256301879883	-0.004022940993309021	0.020889192819595337	-0.0005544163286685944	-0.003719329833984375	0.0029806047677993774	-0.012002885341644287	0.0028330832719802856	-0.0050127506256103516	-0.0024726614356040955	0.0019362196326255798	-0.0025743618607521057	-0.0011608004570007324	5.9604644775390625e-05
2	0.1676737368106842	0.029689069837331772	0.18694791197776794	-0.00918203592300415	0.014673545956611633	0.2696387469768524	0.04042201116681099	0.2042485624551773	0.04930712655186653	-0.49709782004356384	0.06259368360042572	-0.5108105540275574	-0.07009761035442352	0.48212820291519165	-0.05212954431772232	0.38068848848342896	0.0963120386004448	-0.6350828409194946	0.07182577252388	-0.6247040629386902	0.04914266616106033	0.03974355757236481	0.0072333961725234985	0.003020279109477997	-0.009438395500183105	0.006087636575102806	0.009724544361233711	0.0098399817943573	-0.011485069990158081	0.012433528900146484	0.010330509394407272	-0.019418448209762573	0.004235841333866119	-0.017148256301879883	-0.004022940993309021	0.020888447761535645	-0.0005544163286685944	-0.0037185847759246826	0.0029806047677993774	-0.012002885341644287	0.0028328970074653625	-0.0050127506256103516	-0.002472754567861557	0.0019361265003681183	-0.0025743618607521057	-0.0011608004570007324	5.6624412536621094e-05
3	0.16781839728355408	0.029749475419521332	0.18675914406776428	-0.009060283191502094	0.014868036843836308	0.26983556151390076	0.04019230976700783	0.20449724793434143	0.049513738602399826	-0.4974862039089203	0.06267839670181274	-0.511153519153595	-0.0701780691742897	0.48254597187042236	-0.05214063450694084	0.38061413168907166	0.09637165069580078	-0.6353229284286499	0.07188242673873901	-0.6248043179512024	0.04909320920705795	0.03978227823972702	0.00767149031162262	0.009845569729804993	-0.008271634578704834	0.004675844684243202	0.01008906401693821	0.008929520845413208	-0.012419279664754868	0.01128464937210083	0.01163426786661148	-0.01878291368484497	0.005718134343624115	-0.008259713649749756	-0.002317875623703003	0.01528710126876831	0.0001085922122001648	0.0003024935722351074	0.0014582648873329163	-0.004576146602630615	0.0009782612323760986	-0.003989040851593018	-0.0021472573280334473	-3.5390257835388184e-05	-0.0026727095246315002	-0.0012889504432678223	-1.1920928955078125e-05
4	0.1679805964231491	0.03008289262652397	0.18661704659461975	-0.008995002135634422	0.015077108517289162	0.26999592781066895	0.039925239980220795	0.20469994843006134	0.04977249726653099	-0.49784913659095764	0.06282240897417068	-0.5111409425735474	-0.07019032537937164	0.4827396869659424	-0.052125200629234314	0.38070058822631836	0.09637036919593811	-0.6352658867835999	0.07186490297317505	-0.6248636245727539	0.049056775867938995	0.03974214196205139	0.008329004049301147	0.020083459094166756	-0.006521865725517273	0.0025581801310181618	0.010635866783559322	0.007564574480056763	-0.01382073387503624	0.009560585021972656	0.013589765876531601	-0.017829984426498413	0.007941760122776031	0.005072355270385742	0.00023990869522094727	0.006885826587677002	0.0011031515896320343	0.006333738565444946	-0.0008255243301391602	0.006562471389770508	-0.0018037855625152588	-0.0024512410163879395	-0.0016588717699050903	-0.0029925256967544556	-0.002820417284965515	-0.0014819204807281494	-0.00011920928955078125
5	0.16815155744552612	0.030552813783288002	0.1864982694387436	-0.008957955986261368	0.01529347151517868	0.270138144493103	0.03963948041200638	0.20487967133522034	0.05005732923746109	-0.4981994032859802	0.06299606710672379	-0.5109506249427795	-0.07016847282648087	0.48282140493392944	-0.05209650844335556	0.38086748123168945	0.09633862972259521	-0.6350604295730591	0.0718102753162384	-0.6249023675918579	0.04902685433626175	0.03966257721185684	0.008548423647880554	0.023496057838201523	-0.005938857793807983	0.0018523074686527252	0.010818149894475937	0.007109344005584717	-0.014287792146205902	0.008986517786979675	0.014241691678762436	-0.017514079809188843	0.00868290662765503	0.009515881538391113	0.0010926276445388794	0.004085898399353027	0.0014347024261951447	0.008344650268554688	-0.0015867874026298523	0.010274350643157959	-0.0027311965823173523	-0.00193864107131958	-0.0014961697161197662	-0.003978237509727478	-0.0028697773814201355	-0.0015467405319213867	-0.00015497207641601562
6	0.16832253336906433	0.031022734940052032	0.18637949228286743	-0.008920909836888313	0.0155098345130682	0.27028030157089233	0.03935372829437256	0.20505940914154053	0.05034216493368149	-0.4985496997833252	0.06316972523927689	-0.5107603073120117	-0.07014662027359009	0.4829031229019165	-0.05206781253218651	0.38103437423706055	0.09630689769983292	-0.6348549127578735	0.07175565510988235	-0.6249411702156067	0.048996929079294205	0.03958301246166229	0.009068474173545837	0.02360478974878788	-0.006689503788948059	0.00042747706174850464	0.011121155694127083	0.0070601701736450195	-0.014963839203119278	0.009521842002868652	0.014808028936386108	-0.012683123350143433	0.009497255086898804	0.01287907361984253	0.0012382864952087402	0.004380941390991211	0.0010108575224876404	0.012698769569396973	-0.0015662983059883118	0.0069141387939453125	-0.0018768012523651123	0.0012114644050598145	-0.0018561258912086487	-0.0018919818103313446	-0.002987124025821686	-0.001677870750427246	-0.00017881393432617188
7	0.16851429641246796	0.03149700537323952	0.18623068928718567	-0.008940856903791428	0.015738317742943764	0.27042055130004883	0.03904092684388161	0.20526054501533508	0.050649650394916534	-0.49870672821998596	0.06337595731019974	-0.5104354619979858	-0.07011894136667252	0.4829966425895691	-0.052056074142456055	0.38137543201446533	0.09627597779035568	-0.6347838640213013	0.0717352032661438	-0.6248539090156555	0.0489526093006134	0.03958689793944359	0.010627508163452148	0.023931078612804413	-0.008942931890487671	-0.0038470374420285225	0.012030219659209251	0.00691637396812439	-0.016991794109344482	0.011126697063446045	0.01650676131248474	0.0018090009689331055	0.01194048672914505	0.022965669631958008	0.0016750767827033997	0.005266070365905762	-0.0002609565854072571	0.025759637355804443	-0.0015059486031532288	-0.0031709671020507812	0.0006856396794319153	0.010664761066436768	-0.002935808151960373	0.004366785287857056	-0.0033389776945114136	-0.002074986696243286	-0.00024437904357910156
8	0.16874763369560242	0.03197997808456421	0.18602177500724792	-0.009074791334569454	0.01599104329943657	0.2705569565296173	0.03867405652999878	0.20550447702407837	0.05100243538618088	-0.49847733974456787	0.06364734470844269	-0.5098416805267334	-0.07007961720228195	0.48311376571655273	-0.0520782507956028	0.3820647597312927	0.09624665975570679	-0.6349817514419556	0.07178308069705963	-0.6245145797729492	0.04887949675321579	0.039757683873176575	0.011666491627693176	0.024148542433977127	-0.01044534146785736	-0.006696674972772598	0.012636277824640274	0.006820261478424072	-0.01834360882639885	0.012196972966194153	0.017639249563217163	0.011468678712844849	0.013569183647632599	0.029690563678741455	0.0019663944840431213	0.005856156349182129	-0.0011088326573371887	0.03446713089942932	-0.001465529203414917	-0.009892880916595459	0.002393871545791626	0.01696646213531494	-0.0036555342376232147	0.008539203554391861	-0.003573670983314514	-0.002340972423553467	-0.000286102294921875
9	0.16898095607757568	0.0324629470705986	0.18581287562847137	-0.009208723902702332	0.016243768855929375	0.2706933617591858	0.03830718249082565	0.20574842393398285	0.05135522037744522	-0.49824798107147217	0.06391872465610504	-0.5092478394508362	-0.07004028558731079	0.4832308888435364	-0.05210042744874954	0.3827541172504425	0.09621735662221909	-0.6351795792579651	0.07183095812797546	-0.6241752505302429	0.048806387931108475	0.03992846608161926	0.011666491627693176	0.024148542433977127	-0.010444968938827515	-0.006696674972772598	0.012636277824640274	0.00681951642036438	-0.01834360882639885	0.012197345495223999	0.017639249563217163	0.011469423770904541	0.013568997383117676	0.02969205379486084	0.0019663944840431213	0.005856156349182129	-0.0011088326573371887	0.034467875957489014	-0.001465342938899994	-0.009891390800476074	0.002393685281276703	0.01696646213531494	-0.0036555342376232147	0.0085391104221344	-0.003573670983314514	-0.0023402273654937744	-0.00028908252716064453
10	0.16921429336071014	0.032945919781923294	0.18560397624969482	-0.009342658333480358	0.01649649441242218	0.2708297371864319	0.037940312176942825	0.20599237084388733	0.051708005368709564	-0.4980185627937317	0.0641901046037674	-0.508653998374939	-0.07000096142292023	0.48334801197052	-0.052122604101896286	0.3834434747695923	0.09618804603815079	-0.6353774070739746	0.0718788281083107	-0.6238359212875366	0.04873327538371086	0.04009924829006195	0.010185688734054565	0.0232769176363945	-0.007364526391029358	-0.009684683755040169	0.010987138375639915	0.0043295323848724365	-0.01609520986676216	0.012293830513954163	0.018147286027669907	0.018322467803955078	0.014090165495872498	0.03366917371749878	0.0017629936337471008	-0.0031366944313049316	0.0003632158041000366	0.044117867946624756	-0.001796334981918335	-0.0016242265701293945	-0.0007757917046546936	0.03561824560165405	-0.0036298297345638275	0.0015903264284133911	-0.0031592324376106262	-0.002200901508331299	-0.00021457672119140625
11	0.16938838362693787	0.03339402377605438	0.1855182945728302	-0.009596111252903938	0.01668325439095497	0.2708665430545807	0.03766337409615517	0.20624017715454102	0.05208111181855202	-0.49751508235931396	0.06448233127593994	-0.5079010725021362	-0.06996976584196091	0.4831054210662842	-0.05208589881658554	0.3845188319683075	0.09614550322294235	-0.6352445483207703	0.07179992645978928	-0.6227505207061768	0.04866119474172592	0.0399920791387558	0.008704885840415955	0.02240510657429695	-0.004283711314201355	-0.012672622688114643	0.009337998926639557	0.0018395483493804932	-0.013846810907125473	0.01238994300365448	0.01865532249212265	0.02517402172088623	0.01461133360862732	0.037647783756256104	0.0015595927834510803	-0.012131035327911377	0.001835264265537262	0.05376860499382019	-0.002127140760421753	0.006645917892456055	-0.00394526869058609	0.05426853895187378	-0.0036040320992469788	-0.005358457565307617	-0.0027449801564216614	-0.0020623207092285156	-0.0001341104507446289
12	0.16956248879432678	0.03384212404489517	0.18543262779712677	-0.009849563241004944	0.016870014369487762	0.2709033191204071	0.037386439740657806	0.2064879685640335	0.05245421826839447	-0.49701160192489624	0.06477455794811249	-0.5071480870246887	-0.06993857771158218	0.48286277055740356	-0.052049193531274796	0.3855942189693451	0.09610296040773392	-0.6351115703582764	0.07172101736068726	-0.6216651797294617	0.04858911409974098	0.039884909987449646	0.008704513311386108	0.02240510657429695	-0.004283338785171509	-0.012672645971179008	0.009337998926639557	0.0018395483493804932	-0.013846717774868011	0.012389570474624634	0.01865522935986519	0.025174766778945923	0.014611519873142242	0.037647783756256104	0.0015597790479660034	-0.01213178038597107	0.001835264265537262	0.05376935005187988	-0.002127140760421753	0.006645917892456055	-0.00394526869058609	0.054267048835754395	-0.0036040320992469788	-0.005358457565307617	-0.0027451664209365845	-0.0020615756511688232	-0.00013709068298339844
