timestep	ref_qpos_left_hip_pitch_joint	ref_qpos_right_hip_pitch_joint	ref_qpos_waist_roll_joint	ref_qpos_left_hip_roll_joint	ref_qpos_right_hip_roll_joint	ref_qpos_waist_yaw_joint	ref_qpos_left_hip_yaw_joint	ref_qpos_right_hip_yaw_joint	ref_qpos_left_shoulder_pitch_joint	ref_qpos_right_shoulder_pitch_joint	ref_qpos_left_knee_joint	ref_qpos_right_knee_joint	ref_qpos_left_shoulder_roll_joint	ref_qpos_right_shoulder_roll_joint	ref_qpos_left_ankle_pitch_joint	ref_qpos_right_ankle_pitch_joint	ref_qpos_left_shoulder_yaw_joint	ref_qpos_right_shoulder_yaw_joint	ref_qpos_left_ankle_roll_joint	ref_qpos_right_ankle_roll_joint	ref_qpos_left_elbow_joint	ref_qpos_right_elbow_joint	ref_qpos_left_wrist_roll_joint	ref_qpos_right_wrist_roll_joint	ref_qvel_left_hip_pitch_joint	ref_qvel_right_hip_pitch_joint	ref_qvel_waist_roll_joint	ref_qvel_left_hip_roll_joint	ref_qvel_right_hip_roll_joint	ref_qvel_waist_yaw_joint	ref_qvel_left_hip_yaw_joint	ref_qvel_right_hip_yaw_joint	ref_qvel_left_shoulder_pitch_joint	ref_qvel_right_shoulder_pitch_joint	ref_qvel_left_knee_joint	ref_qvel_right_knee_joint	ref_qvel_left_shoulder_roll_joint	ref_qvel_right_shoulder_roll_joint	ref_qvel_left_ankle_pitch_joint	ref_qvel_right_ankle_pitch_joint	ref_qvel_left_shoulder_yaw_joint	ref_qvel_right_shoulder_yaw_joint	ref_qvel_left_ankle_roll_joint	ref_qvel_right_ankle_roll_joint	ref_qvel_left_elbow_joint	ref_qvel_right_elbow_joint	ref_qvel_left_wrist_roll_joint	ref_qvel_right_wrist_roll_joint	ref_root_vel_x	ref_root_vel_y	ref_root_vel_z
0	-0.5213549137115479	-0.35500940680503845	0.018514003604650497	0.4258524477481842	-0.012772179208695889	-0.04502919688820839	0.21857517957687378	-0.3911876082420349	0.2050916850566864	0.19889621436595917	0.8773949146270752	0.6513500213623047	0.11972614377737045	-0.052778154611587524	-0.17634272575378418	-0.4136962294578552	-0.0843307226896286	-0.20501093566417694	-0.14756496250629425	-0.04555641859769821	0.550442099571228	0.6716514825820923	0.7295618057250977	-0.8092509508132935	-1.0643587112426758	-0.13007968664169312	0.05276007577776909	0.41343867778778076	0.19525951147079468	0.007779989391565323	-0.3458287715911865	-0.06922930479049683	-0.9252362251281738	0.06835907697677612	1.4338388442993164	0.24400949478149414	-0.3564346432685852	0.3414561152458191	0.8635103702545166	-0.15617012977600098	-1.3032996654510498	0.79006028175354	0.46457910537719727	-0.17181961238384247	0.9172543883323669	0.6845176219940186	0.4092305898666382	-0.1319006085395813	-0.05491987243294716	-0.07806960493326187	-0.041741132736206055
1	-0.5437689423561096	-0.35769084095954895	0.019727420061826706	0.43459731340408325	-0.008865339681506157	-0.044865597039461136	0.21202951669692993	-0.39259660243988037	0.1876983493566513	0.19955220818519592	0.9071842432022095	0.6563044786453247	0.11585819721221924	-0.04830937087535858	-0.15681946277618408	-0.4168356657028198	-0.11265987157821655	-0.18745431303977966	-0.1381586492061615	-0.048974454402923584	0.566861629486084	0.6860076189041138	0.7393605709075928	-0.8133750557899475	-1.1488527059555054	-0.13606473803520203	0.06462489068508148	0.449138879776001	0.19537948071956635	0.008379947394132614	-0.3180045485496521	-0.07105991244316101	-0.841867208480835	0.015019625425338745	1.5172526836395264	0.24957507848739624	-0.1118786633014679	0.16442881524562836	1.032468318939209	-0.15736892819404602	-1.4730069637298584	0.921698272228241	0.4731740951538086	-0.17043957114219666	0.7728219032287598	0.7344380021095276	0.5302801728248596	-0.24335086345672607	-0.055534858256578445	-0.07857978343963623	-0.044411420822143555
2	-0.5673090219497681	-0.36045199632644653	0.021098999306559563	0.44381800293922424	-0.00495699979364872	-0.044693998992443085	0.20585499703884125	-0.39403000473976135	0.1714169979095459	0.19949699938297272	0.9380850195884705	0.6613330245018005	0.11525099724531174	-0.04620100185275078	-0.13504399359226227	-0.41999098658561707	-0.14325100183486938	-0.16814300417900085	-0.12863799929618835	-0.05237400159239769	0.5813549757003784	0.7010290026664734	0.750773012638092	-0.8189849853515625	-1.2510731220245361	-0.14960989356040955	0.07954496145248413	0.5398958921432495	0.19990453124046326	0.004949886351823807	-0.17422325909137726	-0.07609575986862183	-0.7860723733901978	-0.014820694923400879	1.6187236309051514	0.26274025440216064	0.13123638927936554	0.053114257752895355	1.193608283996582	-0.15905946493148804	-1.6221120357513428	0.9250022172927856	0.5789097547531128	-0.1697394996881485	0.5693957209587097	0.7120788097381592	0.5284637212753296	-0.21571367979049683	-0.05695485696196556	-0.07774475961923599	-0.04933178424835205
3	-0.5938118696212769	-0.36367523670196533	0.022909218445420265	0.45619314908981323	-0.0008691583061590791	-0.044667601585388184	0.20506058633327484	-0.39564043283462524	0.15625545382499695	0.1989593803882599	0.9719331860542297	0.6668140888214111	0.12110765278339386	-0.04618480056524277	-0.10907512903213501	-0.42319804430007935	-0.17754435539245605	-0.15045422315597534	-0.11500225961208344	-0.055764034390449524	0.5896374583244324	0.7144907712936401	0.760499119758606	-0.8220036029815674	-1.3310208320617676	-0.16063451766967773	0.09496971219778061	0.674817681312561	0.2090993970632553	0.0009249895811080933	0.05052350461483002	-0.07904991507530212	-0.7560633420944214	-0.025045126676559448	1.7041549682617188	0.264228880405426	0.327253520488739	-0.0025198794901371002	1.3014366626739502	-0.15473514795303345	-1.7204806804656982	0.8670281767845154	0.6607635021209717	-0.169324591755867	0.38273483514785767	0.6610378623008728	0.4682675004005432	-0.12706518173217773	-0.05786985903978348	-0.07618479430675507	-0.05451887845993042
4	-0.6205498576164246	-0.36687737703323364	0.02489778771996498	0.4708107113838196	0.0034069763496518135	-0.04465699940919876	0.20787593722343445	-0.39719200134277344	0.14117446541786194	0.19849519431591034	1.0062512159347534	0.6719021797180176	0.12834113836288452	-0.04630179703235626	-0.08298652619123459	-0.4261803925037384	-0.21207022666931152	-0.1334618777036667	-0.10220745950937271	-0.05914698541164398	0.5966643691062927	0.7274705171585083	0.7695037126541138	-0.8240675926208496	-1.3487070798873901	-0.15905946493148804	0.10834983736276627	0.8430294990539551	0.2232295721769333	-0.00025993213057518005	0.3212619423866272	-0.07463917136192322	-0.7500484585762024	-0.019539520144462585	1.7394647598266602	0.23476779460906982	0.43052995204925537	-0.012510083615779877	1.3104666471481323	-0.13788938522338867	-1.7379857301712036	0.814827561378479	0.5977180004119873	-0.16879960894584656	0.2885788679122925	0.6249174475669861	0.4141777753829956	-0.055471062660217285	-0.056969862431287766	-0.07451996207237244	-0.05797147750854492
5	-0.6477601528167725	-0.37003761529922485	0.02724321186542511	0.48991432785987854	0.008060024119913578	-0.04467799887061119	0.21791106462478638	-0.3986259996891022	0.12625351548194885	0.19817779958248138	1.0415117740631104	0.6762048006057739	0.13832885026931763	-0.04668520390987396	-0.05665646493434906	-0.4287136197090149	-0.2470637857913971	-0.11786112189292908	-0.09109354019165039	-0.06251601874828339	0.6011806130409241	0.7394874691963196	0.7770662307739258	-0.8242224454879761	-1.3084635734558105	-0.14448165893554688	0.131181538105011	1.0753915309906006	0.24783271551132202	0.01188032329082489	0.6881493926048279	-0.05894005298614502	-0.7239166498184204	-0.014469772577285767	1.7343193292617798	0.18662214279174805	0.534946084022522	-0.022090226411819458	1.2195309400558472	-0.11234059929847717	-1.716597318649292	0.7278768420219421	0.6498679518699646	-0.16248151659965515	0.13303905725479126	0.5601465702056885	0.3550335764884949	0.038661062717437744	-0.05414053052663803	-0.07019080221652985	-0.05888044834136963
6	-0.6728883981704712	-0.3726566433906555	0.03014504909515381	0.5138263702392578	0.013320284895598888	-0.044181786477565765	0.235401913523674	-0.39954960346221924	0.11221779882907867	0.1979164034128189	1.0756239891052246	0.6793670654296875	0.14973898231983185	-0.04718540608882904	-0.03420528769493103	-0.4306740164756775	-0.280734121799469	-0.10434680432081223	-0.07621274143457413	-0.06564624607563019	0.6019859313964844	0.7498763799667358	0.7837050557136536	-0.8225211501121521	-1.2303829193115234	-0.12418627738952637	0.15204735100269318	1.2557111978530884	0.27060315012931824	0.03127586096525192	0.967743992805481	-0.039799511432647705	-0.6907193064689636	-0.01236945390701294	1.6912490129470825	0.14385581016540527	0.588284432888031	-0.02647070214152336	1.0740623474121094	-0.09086057543754578	-1.6669676303863525	0.6496343612670898	0.7911263108253479	-0.15352609753608704	-0.006118416786193848	0.4990920424461365	0.3203928470611572	0.10826438665390015	-0.050795264542102814	-0.06536059081554413	-0.05679428577423096
7	-0.6969754695892334	-0.3750050663948059	0.03332510590553284	0.5401427745819092	0.018884150311350822	-0.043426964432001114	0.2566208243370056	-0.4002179801464081	0.09862474352121353	0.19768302142620087	1.1091617345809937	0.6819590330123901	0.16186022758483887	-0.0477440319955349	-0.013693972490727901	-0.4323480427265167	-0.3137424886226654	-0.09187574684619904	-0.0594484880566597	-0.06865706294775009	0.6009358763694763	0.759451150894165	0.7898819446563721	-0.8198918700218201	-1.0452508926391602	-0.11320561170578003	0.18010735511779785	1.429697871208191	0.2885582149028778	0.05640089511871338	1.33379065990448	-0.0014096498489379883	-0.586083710193634	0.004890188574790955	1.5289157629013062	0.126570463180542	0.5306888222694397	-0.04960615187883377	0.5402181148529053	-0.07431060075759888	-1.3012394905090332	0.5630589723587036	0.9196463823318481	-0.13573598861694336	-0.1323312520980835	0.3626406192779541	0.05956143140792847	0.15786141157150269	-0.041295215487480164	-0.05851536989212036	-0.028768181800842285
8	-0.7146984338760376	-0.3771848678588867	0.03734934329986572	0.5710142850875854	0.024862613528966904	-0.04192575067281723	0.28875353932380676	-0.39960598945617676	0.08877445012331009	0.19811201095581055	1.1367806196212769	0.6844298839569092	0.17096653580665588	-0.04916965216398239	-0.012596561573445797	-0.43364644050598145	-0.33278369903564453	-0.08182444423437119	-0.039426885545253754	-0.0710756853222847	0.596692681312561	0.764382004737854	0.7860875129699707	-0.816206693649292	-0.8310854434967041	-0.1116342842578888	0.20562466979026794	1.4352947473526	0.30118444561958313	0.08114520460367203	1.5706732273101807	0.05261152982711792	-0.45029595494270325	0.02451986074447632	1.3008952140808105	0.13198107481002808	0.4244022071361542	-0.07373011112213135	-0.19660049676895142	-0.06763935089111328	-0.8122540712356567	0.4871577024459839	1.025088906288147	-0.1158393919467926	-0.227239727973938	0.19060075283050537	-0.2450883388519287	0.19306987524032593	-0.030754785984754562	-0.05034450441598892	-0.007089972496032715
9	-0.7302188873291016	-0.37947043776512146	0.04155009239912033	0.5975545644760132	0.03093152865767479	-0.04018115624785423	0.31944775581359863	-0.39811351895332336	0.0806129053235054	0.19866381585597992	1.161197543144226	0.6872382760047913	0.17883631587028503	-0.05069323629140854	-0.021557992324233055	-0.43505361676216125	-0.34623265266418457	-0.07238943874835968	-0.018444932997226715	-0.0732906386256218	0.5918462872505188	0.7670751810073853	0.7800784111022949	-0.812169075012207	-0.6659328937530518	-0.11957064270973206	0.21886983513832092	1.1105269193649292	0.3079793453216553	0.09940043091773987	1.462852954864502	0.11864230036735535	-0.3236647844314575	0.033730268478393555	1.0608166456222534	0.157301127910614	0.3316856920719147	-0.08108001202344894	-0.9509730935096741	-0.07580071687698364	-0.392894446849823	0.4409572184085846	1.0971496105194092	-0.1005692407488823	-0.27248114347457886	0.02279430627822876	-0.4111841320991516	0.2195015549659729	-0.024289708584547043	-0.041539594531059265	-0.024043023586273193
