timestep	ref_qpos_left_hip_pitch_joint	ref_qpos_right_hip_pitch_joint	ref_qpos_waist_roll_joint	ref_qpos_left_hip_roll_joint	ref_qpos_right_hip_roll_joint	ref_qpos_waist_yaw_joint	ref_qpos_left_hip_yaw_joint	ref_qpos_right_hip_yaw_joint	ref_qpos_left_shoulder_pitch_joint	ref_qpos_right_shoulder_pitch_joint	ref_qpos_left_knee_joint	ref_qpos_right_knee_joint	ref_qpos_left_shoulder_roll_joint	ref_qpos_right_shoulder_roll_joint	ref_qpos_left_ankle_pitch_joint	ref_qpos_right_ankle_pitch_joint	ref_qpos_left_shoulder_yaw_joint	ref_qpos_right_shoulder_yaw_joint	ref_qpos_left_ankle_roll_joint	ref_qpos_right_ankle_roll_joint	ref_qpos_left_elbow_joint	ref_qpos_right_elbow_joint	ref_qpos_left_wrist_roll_joint	ref_qpos_right_wrist_roll_joint	ref_qvel_left_hip_pitch_joint	ref_qvel_right_hip_pitch_joint	ref_qvel_waist_roll_joint	ref_qvel_left_hip_roll_joint	ref_qvel_right_hip_roll_joint	ref_qvel_waist_yaw_joint	ref_qvel_left_hip_yaw_joint	ref_qvel_right_hip_yaw_joint	ref_qvel_left_shoulder_pitch_joint	ref_qvel_right_shoulder_pitch_joint	ref_qvel_left_knee_joint	ref_qvel_right_knee_joint	ref_qvel_left_shoulder_roll_joint	ref_qvel_right_shoulder_roll_joint	ref_qvel_left_ankle_pitch_joint	ref_qvel_right_ankle_pitch_joint	ref_qvel_left_shoulder_yaw_joint	ref_qvel_right_shoulder_yaw_joint	ref_qvel_left_ankle_roll_joint	ref_qvel_right_ankle_roll_joint	ref_qvel_left_elbow_joint	ref_qvel_right_elbow_joint	ref_qvel_left_wrist_roll_joint	ref_qvel_right_wrist_roll_joint	ref_root_vel_x	ref_root_vel_y	ref_root_vel_z
0	0.08325362950563431	0.3130452632904053	-0.2263335883617401	0.10638450086116791	-0.25189927220344543	-0.45735451579093933	-0.07605684548616409	-0.5216308236122131	0.3721495270729065	0.5714654326438904	0.052459124475717545	0.13640743494033813	1.2054952383041382	-1.4882057905197144	0.01126074232161045	-0.06712651252746582	-0.011073363944888115	-0.11158903688192368	-0.12875454127788544	0.04619867727160454	0.27183130383491516	0.5017041563987732	0.009854307398200035	0.030959833413362503	-1.8371261358261108	-7.819287300109863	10.152170181274414	1.1160529851913452	-5.548755645751953	11.008403778076172	11.4413480758667	-9.904336929321289	21.09161376953125	-5.608056545257568	0.5072752237319946	-2.471475601196289	-1.1378586292266846	-3.7180840969085693	5.977450847625732	11.08275318145752	22.427017211914062	6.974890232086182	-11.724872589111328	11.16833209991455	42.036746978759766	49.22045135498047	-4.927052974700928	13.348758697509766	6.2417802810668945	1.316845417022705	-8.180563926696777
1	0.04651110619306564	0.15665951371192932	-0.023290181532502174	0.12870556116104126	-0.3628743886947632	-0.23718644678592682	0.15277011692523956	-0.7197175621986389	0.7939817905426025	0.4593043029308319	0.0626046285033226	0.08697792142629623	1.1827380657196045	-1.5625674724578857	0.1308097541332245	0.15452854335308075	0.43746697902679443	0.02790876477956772	-0.3632519841194153	0.26956531405448914	1.1125662326812744	1.48611319065094	-0.0886867493391037	0.29793500900268555	-0.8608970046043396	-4.239758491516113	5.301751136779785	0.7883805632591248	-2.6243739128112793	6.13889741897583	6.412249565124512	-4.112574577331543	11.112865447998047	-3.5622754096984863	0.22148126363754272	-1.5024493932724	-0.49734413623809814	-1.890641450881958	3.4216041564941406	6.480994701385498	11.872820854187012	4.2754011154174805	-6.287805557250977	6.057914733886719	22.870868682861328	24.925214767456055	-2.542438507080078	7.19528341293335	3.117218494415283	0.6552919745445251	-4.1778130531311035
2	0.048817750066518784	0.1434549242258072	-0.014263547956943512	0.13791972398757935	-0.3568742275238037	-0.21179862320423126	0.18043313920497894	-0.6861338019371033	0.8166641592979431	0.4289744198322296	0.061318375170230865	0.0763094574213028	1.1856014728546143	-1.5638314485549927	0.14812491834163666	0.19211329519748688	0.46383947134017944	0.059427011758089066	-0.38026678562164307	0.28851526975631714	1.1866660118103027	1.4987127780914307	-0.09184323251247406	0.3187711834907532	0.08387631177902222	-0.42457878589630127	0.2933223843574524	0.29654020071029663	0.20038634538650513	0.8339312076568604	0.902634859085083	1.0889530181884766	0.6888732314109802	-1.000593662261963	-0.050709303468465805	-0.3557845950126648	0.0909268856048584	-0.040283799171447754	0.5461610555648804	1.1933542490005493	0.791706919670105	1.0423554182052612	-0.5278125405311584	0.5843483209609985	2.3012847900390625	0.3497511148452759	-0.08590836077928543	0.6366461515426636	-0.006219744682312012	-0.00407099723815918	-0.11305920779705048
3	0.04986615851521492	0.13967636227607727	-0.011557286605238914	0.14056716859340668	-0.354858934879303	-0.20382919907569885	0.18887551128864288	-0.6761594414710999	0.8215367197990417	0.4192805588245392	0.06057625636458397	0.07274653762578964	1.1863751411437988	-1.5641788244247437	0.1526561975479126	0.20226271450519562	0.46913525462150574	0.06960298120975494	-0.3843644857406616	0.2929392457008362	1.2046176195144653	1.500103235244751	-0.09212308377027512	0.3234008550643921	0.0546824187040329	-0.1821707934141159	0.1325615495443344	0.12775324285030365	0.10009333491325378	0.3916405141353607	0.41482263803482056	0.48339664936065674	0.21869242191314697	-0.48110559582710266	-0.03984672948718071	-0.176311656832695	0.03593862056732178	-0.01767575740814209	0.21352209150791168	0.48309341073036194	0.23647919297218323	0.504540205001831	-0.18983781337738037	0.2031385898590088	0.8323192596435547	0.05186200141906738	-0.009089335799217224	0.2118729054927826	-0.005406513810157776	-0.001605600118637085	-0.049606338143348694
4	0.0510050468146801	0.13616809248924255	-0.00896108616143465	0.1430298537015915	-0.35287049412727356	-0.19613300263881683	0.19702604413032532	-0.666797935962677	0.825411856174469	0.4097301959991455	0.05972450599074364	0.069256991147995	1.1870390176773071	-1.5645384788513184	0.15666580200195312	0.21143703162670135	0.4732986390590668	0.07960861921310425	-0.3878602981567383	0.2966408133506775	1.219958782196045	1.5007872581481934	-0.09220680594444275	0.3272460997104645	0.05858950316905975	-0.16905106604099274	0.12707234919071198	0.11872239410877228	0.09870901703834534	0.37735438346862793	0.4004962742328644	0.45508742332458496	0.17219781875610352	-0.47474950551986694	-0.04468420520424843	-0.17222297191619873	0.030863285064697266	-0.018921494483947754	0.18905363976955414	0.4364665746688843	0.18689259886741638	0.4962084889411926	-0.16188323497772217	0.17002448439598083	0.7104814052581787	0.02199709415435791	-0.0012177973985671997	0.17614662647247314	-0.005809590220451355	-0.001140683889389038	-0.04666857421398163
5	0.05220973864197731	0.13291431963443756	-0.0064743924885988235	0.14531606435775757	-0.35091057419776917	-0.1887350231409073	0.20489536225795746	-0.6579559445381165	0.8284246325492859	0.4002905786037445	0.05878888815641403	0.06585761904716492	1.1876096725463867	-1.5649356842041016	0.16021834313869476	0.21972137689590454	0.4766109585762024	0.08945132046937943	-0.3908398151397705	0.2997402250766754	1.2330368757247925	1.5009831190109253	-0.0921717956662178	0.330446720123291	0.06147744134068489	-0.15709362924098969	0.12163318693637848	0.1102060079574585	0.09714141488075256	0.3623552620410919	0.3863956928253174	0.4304945468902588	0.13399869203567505	-0.470086932182312	-0.04835696890950203	-0.1674676239490509	0.026464462280273438	-0.020703673362731934	0.16745328903198242	0.3940790891647339	0.147981196641922	0.4880264401435852	-0.13799741864204407	0.1420818269252777	0.6052970886230469	0.001722574234008789	0.0037962570786476135	0.1470230519771576	-0.005791708827018738	-0.000848621129989624	-0.04357174038887024
6	0.053464144468307495	0.12988434731960297	-0.004095758777111769	0.14743809401988983	-0.34898483753204346	-0.18163879215717316	0.21248187124729156	-0.6495781540870667	0.830771803855896	0.390926718711853	0.057790227234363556	0.06255828589200974	1.188097596168518	-1.5653666257858276	0.16336393356323242	0.2272001951932907	0.47921788692474365	0.09912967681884766	-0.39338019490242004	0.3023240864276886	1.2441706657409668	1.5008561611175537	-0.09205495566129684	0.3331270217895508	0.06348146498203278	-0.14688782393932343	0.11616992950439453	0.10219104588031769	0.0954553484916687	0.347408652305603	0.37230104207992554	0.40810853242874146	0.10431408882141113	-0.46665966510772705	-0.051057059317827225	-0.1623935103416443	0.022712349891662598	-0.021910667419433594	0.14832131564617157	0.3555901348590851	0.11603981256484985	0.48010534048080444	-0.11765360832214355	0.11792704463005066	0.5154192447662354	-0.011771917343139648	0.008360669016838074	0.12416020035743713	-0.0054232776165008545	-0.0007599592208862305	-0.040147826075553894
7	0.05474899709224701	0.12703880667686462	-0.0018275952897965908	0.14940370619297028	-0.3470923602581024	-0.17483867704868317	0.21978740394115448	-0.6416316032409668	0.8325971961021423	0.3816241919994354	0.05674660578370094	0.05936187878251076	1.1885181665420532	-1.565812110900879	0.16615119576454163	0.23394498229026794	0.4812525510787964	0.10865553468465805	-0.39554595947265625	0.30445730686187744	1.253653645515442	1.5005122423171997	-0.09183736890554428	0.3354131281375885	0.06413915753364563	-0.13863834738731384	0.11094258725643158	0.09456798434257507	0.093880295753479	0.33193790912628174	0.3586057424545288	0.38743913173675537	0.0784561038017273	-0.46319514513015747	-0.053251348435878754	-0.15697693824768066	0.017905235290527344	-0.022456049919128418	0.1312602311372757	0.32097214460372925	0.0928238034248352	0.47311002016067505	-0.10012611746788025	0.09687095880508423	0.43975114822387695	-0.02092421054840088	0.014442764222621918	0.10621845722198486	-0.005138665437698364	-0.0007480382919311523	-0.03617964684963226
8	0.05602971091866493	0.12433881312608719	0.0003419450076762587	0.15122081339359283	-0.3452296257019043	-0.16836127638816833	0.22682610154151917	-0.6340805888175964	0.8339100480079651	0.37239891290664673	0.055660173296928406	0.05627920851111412	1.1888138055801392	-1.5662648677825928	0.16861434280872345	0.24003908038139343	0.48293083906173706	0.11805407702922821	-0.39738523960113525	0.30619892477989197	1.2617607116699219	1.5000191926956177	-0.09147724509239197	0.3373757600784302	0.0643804669380188	-0.13186168670654297	0.10482252389192581	0.08781328797340393	0.09275078773498535	0.3172263503074646	0.34546926617622375	0.36704540252685547	0.05666613578796387	-0.45961737632751465	-0.05466733127832413	-0.1505240797996521	0.01201629638671875	-0.019913911819458008	0.11613517999649048	0.2903394401073456	0.07706061005592346	0.4656815826892853	-0.08490234613418579	0.07833912968635559	0.3771573305130005	-0.02721250057220459	0.023795105516910553	0.09037777781486511	-0.005112960934638977	-0.0006258487701416016	-0.03304481506347656
9	0.05732421576976776	0.12176433950662613	0.002365305321291089	0.15291623771190643	-0.343382328748703	-0.16214962303638458	0.23360617458820343	-0.6269497871398926	0.8348638415336609	0.36323949694633484	0.05455991253256798	0.05334091559052467	1.188998818397522	-1.5666086673736572	0.17079660296440125	0.24555855989456177	0.4843349754810333	0.12728279829025269	-0.3989420533180237	0.30759087204933167	1.268739938735962	1.4994237422943115	-0.09088556468486786	0.3390282392501831	0.06527146697044373	-0.12414287775754929	0.09806987643241882	0.08188262581825256	0.09172782301902771	0.3037489950656891	0.33201202750205994	0.3504142165184021	0.04408061504364014	-0.45443326234817505	-0.05491478368639946	-0.14343112707138062	0.011330842971801758	-0.01849830150604248	0.1028701663017273	0.2625100314617157	0.05941763520240784	0.45922771096229553	-0.0716283917427063	0.06207674741744995	0.32421350479125977	-0.03127455711364746	0.03585703670978546	0.076332688331604	-0.005266815423965454	-0.0003457069396972656	-0.03154464066028595
