Iteration,MeanEpisodeLength,MeanReward
0,11.83,-0.19
1,30.04,-0.46
2,27.46,-0.51
3,30.24,-0.37
4,29.77,-0.38
5,31.57,-0.32
6,32.64,-0.23
7,30.71,-0.28
8,32.83,-0.36
9,30.36,-0.46
10,31.54,-0.2
11,33.1,-0.21
12,31.73,-0.32
13,30.72,-0.17
14,28.08,-0.09
15,30.16,-0.22
16,32.53,-0.34
17,32.17,-0.21
18,32.24,-0.17
19,33,-0.37
20,29.53,-0.16
21,30.13,-0.29
22,33.59,-0.18
23,29,-0.26
24,32.08,-0.12
25,33.01,-0.15
26,30.19,-0.12
27,35.02,-0.35
28,33.28,-0.3
29,34.85,-0.3
30,30.65,-0.13
31,33.29,-0.09
32,32.03,-0.13
33,27.87,-0.23
34,33.67,-0.15
35,30.83,-0.14
36,32.38,-0.05
37,33.69,-0.13
38,36.07,-0.11
39,34.57,-0.22
40,29.02,-0.06
41,30.66,-0.07
42,36.83,-0.08
43,27.01,-0.2
44,29.49,-0.01
45,33.14,-0.03
46,32.76,-0.17
47,32.89,-0.02
48,33.52,-0
49,31.9,0.07
50,30.27,0.04
51,30.33,-0.02
52,29.29,0.06
53,35.69,0.08
54,32.88,0.02
55,33.14,-0.02
56,28.79,-0.14
57,32.55,0.03
58,31.02,0.05
59,33.25,0.03
60,31.18,0.08
61,32.3,0.04
62,32.74,0.13
63,31.77,-0
64,33.89,0.19
65,31.17,0.21
66,31.73,0.12
67,33.59,0.2
68,32.78,0.22
69,28.98,0.11
70,30.13,0.11
71,28.38,0.12
72,29.94,0.2
73,35.33,0.27
74,31.55,0.27
75,33.29,0.24
76,30.53,0.2
77,34.65,0.21
78,29.12,0.16
79,32.18,0.35
80,30.27,0.24
81,30.83,0.33
82,33.14,0.38
83,30.8,0.2
84,35.55,0.32
85,31.58,0.32
86,32.05,0.42
87,33.85,0.42
88,34.12,0.42
89,34.24,0.4
90,32.69,0.35
91,34.57,0.49
92,32.51,0.34
93,28.09,0.29
94,34.78,0.46
95,33.42,0.42
96,30.54,0.22
97,30.16,0.38
98,30.37,0.56
99,32.83,0.42
100,39.26,0.53
101,35.15,0.57
102,32.97,0.49
103,32.48,0.6
104,31.18,0.26
105,38.35,0.56
106,33.48,0.42
107,31.48,0.45
108,32.96,0.43
109,34.61,0.49
110,29.75,0.44
111,32.31,0.53
112,33.12,0.47
113,37.77,0.6
114,33.19,0.53
115,32.01,0.56
116,33.42,0.58
117,34.25,0.61
118,35.19,0.66
119,35.75,0.64
120,32.83,0.53
121,30.86,0.47
122,33,0.64
123,28.83,0.49
124,32.42,0.71
125,32.6,0.54
126,35.27,0.67
127,32.51,0.67
128,32.92,0.61
129,32.33,0.61
130,35.04,0.77
131,34.19,0.74
132,37.14,0.8
133,37.52,0.81
134,35.22,0.82
135,33.1,0.71
136,32.22,0.69
137,34.92,0.67
138,32.4,0.77
139,32.98,0.7
140,36.18,0.85
141,36.17,0.77
142,36.13,0.87
143,33.97,0.79
144,27.76,0.56
145,32.56,0.67
146,33.63,0.84
147,32.97,0.75
