Iteration,Baseline,MethodA,MethodB
0,11.83,19.6175610627073,24.3625713118251
1,30.04,37.1180788547444,21.0183349932739
2,27.46,41.6272490031318,17.3229145924472
3,30.24,38.6388872773726,11.3229145924472
4,29.77,28.67771993834,22.8489960371341
5,31.57,36.7563740727396,27.3830375314245
6,32.64,32.3401712142599,21.3830375314245
7,30.71,57.7910416803619,23.3689973194226
8,32.83,53.6621596075221,20.2912928545843
9,30.36,62.7035069982551,26.7751707145358
10,31.54,52.4689478519489,20.7751707145358
11,33.1,80.0368575638557,26.9840238834555
12,31.73,82.9480696652643,22.5261234657358
13,30.72,66.7033701389203,21.3732905172418
14,28.08,59.9756153554209,15.3732905172418
15,30.16,67.3896626239134,15.104864069294
16,32.53,77.434773176709,25.5941149704462
17,32.17,79.7692973125771,23.4926084854819
18,32.24,76.8038812831612,33.5674410445091
19,33,89.500253107577,27.5674410445091
20,29.53,85.3545831701672,22.8657979539457
21,30.13,79.6087975311092,22.4841410462049
22,33.59,92.5383701526987,16.4841410462049
23,29,97.6775540802682,14.9892344520492
24,32.08,111.245354102047,27.366365971571
25,33.01,96.1225090666895,28.0475668222852
26,30.19,107.926368248492,27.1118626855877
27,35.02,112.59737535425,29.8056357441706
28,33.28,91.3541127508664,30.4829488168963
29,34.85,119.536633164317,24.4829488168963
30,30.65,108.698660223093,28.7963629761502
31,33.29,117.786113898598,33.211772946489
32,32.03,148.580814561144,30.7900883599025
33,27.87,141.908257433195,35.1976472243688
34,33.67,137.490423857838,29.1976472243688
35,30.83,130.306558026602,35.1676155738051
36,32.38,125.986745196069,35.1785436471284
37,33.69,141.188572961322,32.2990536253005
38,36.07,137.577676487669,45.7580052051132
39,34.57,129.27960551538,39.7580052051132
40,29.02,144.788741810034,33.7580052051132
41,30.66,138.766574753775,37.6850550412194
42,36.83,161.194219116302,38.5211595627203
43,27.01,147.987367539166,32.5211595627203
44,29.49,161.775810019417,30.2974306244997
45,33.14,152.310671382756,27.3790571343836
46,32.76,160.483782767308,31.8071288252394
47,32.89,164.068705471902,41.8437596450293
48,33.52,161.731772652517,35.8437596450293
49,31.9,188.806345191041,32.6168276933089
50,30.27,177.739102292034,33.6466934092275
51,30.33,184.065996858371,27.6466934092275
52,29.29,195.428540510962,39.6973773507127
53,35.69,180.661720653521,50.9651105384908
54,32.88,189.551092659203,45.2254403332151
55,33.14,167.674983233154,39.2254403332151
56,28.79,174.086657876326,48.8463675895378
57,32.55,159.241111478797,44.2961265322048
58,31.02,180.145893116913,42.6801659239738
59,33.25,185.887426041589,38.5221332060398
60,31.18,185.239372933733,38.2563305780931
61,32.3,205.942749694403,33.7197359175845
62,32.74,188.435808066211,29.8783366090426
63,31.77,191.538622926195,31.4573290029213
64,33.89,202.246148838283,35.348811973035
65,31.17,194.89392096078,40.6171342423182
66,31.73,211.104673103204,43.0895284719584
67,33.59,204.114041128467,40.9396041962728
68,32.78,223.373006175905,34.9396041962728
69,28.98,219.134266119574,61.0889725736626
70,30.13,206.639208182299,55.0889725736626
71,28.38,223.843742223546,49.0889725736626
72,29.94,227.585951961359,53.7644677671574
73,35.33,229.203409111334,47.7644677671574
74,31.55,199.161621572048,52.8183667631106
75,33.29,218.622153709806,46.8183667631106
76,30.53,205.817847585137,42.6631542924543
77,34.65,244.433467972272,38.1031239508309
78,29.12,233.163313447402,38.5031731241965
79,32.18,228.953582684216,34.4624272505716
80,30.27,221.91478000867,48.8911035957152
81,30.83,228.257317529513,49.9328476687866
82,33.14,230.680694693207,47.2031831807497
83,30.8,246.809341535111,41.2031831807497
84,35.55,243.989281422575,52.6435410235843
85,31.58,255.405661233406,51.195459223732
86,32.05,243.732163497994,46.1064677950161
87,33.85,223.243977208639,51.4021532178446
88,34.12,257.925905724484,45.4021532178446
89,34.24,260.083464599111,43.0623182950269
90,32.69,252.928390933191,54.8587402470455
91,34.57,259.385957228636,48.8587402470455
92,32.51,255.037787406568,48.5737417643972
93,28.09,257.714889188217,52.4112742118177
94,34.78,257.401315694221,54.4750304615389
95,33.42,246.640071802968,48.4750304615389
96,30.54,254.081479059251,42.4750304615389
97,30.16,240.262581624502,41.5842914329923
98,30.37,269.37966311467,52.613630966089
99,32.83,260.824519030134,50.8935170151372
100,39.26,268.936478497897,45.4285546545911
101,35.15,281.830369542363,58.4249516798107
102,32.97,236.859538957579,52.8751934739701
103,32.48,264.85244615278,48.4559781641079
104,31.18,278.922197759031,52.758890837165
105,38.35,244.200337545944,59.3603320420122
106,33.48,313.111455375433,53.3603320420122
107,31.48,293.579262939483,47.3603320420122
108,32.96,272.564553200804,61.4903519675136
109,34.61,292.781003831922,55.4903519675136
110,29.75,284.027002560135,55.0522151726034
111,32.31,306.479960315246,53.6258169094574
112,33.12,301.628306540862,47.6258169094574
113,37.77,239.582993410787,45.9069880915821
114,33.19,282.440609527821,54.7061346181625
115,32.01,335.042037280812,48.7061346181625
116,33.42,286.844850223355,46.2231458748481
117,34.25,242.449910575197,60.133487303103
118,35.19,333.133092494251,62.6132455234476
119,35.75,266.124875461346,56.6132455234476
120,32.83,255.832672607054,61.7739273889585
121,30.86,258.486649361251,55.7739273889585
122,33,281.054832610139,66.3479981907061
123,28.83,343.900863020053,66.522075004348
124,32.42,296.457717067597,65.7843230600429
125,32.6,292.101714486862,68.003350768721
126,35.27,346.922369550037,62.003350768721
127,32.51,319.672642426687,56.003350768721
128,32.92,326.787961064346,57.797480768746
129,32.33,264.794967834783,61.1310795246522
130,35.04,316.913225621108,55.1310795246522
131,34.19,370.318660444849,61.1881652500983
132,37.14,343.490790414161,63.0914638752469
133,37.52,276.760436352434,68.1971961417198
134,35.22,297.492133275606,67.7991485123192
135,33.1,327.859168726113,71.9634481189962
136,32.22,360.091571450788,69.5890053697894
137,34.92,316.389758545541,63.5890053697894
138,32.4,323.638076133871,79.7074127113889
139,32.98,290.538728969519,73.7074127113889
140,36.18,323.448207489433,67.7074127113889
141,36.17,343.6732597445,62.9257818671798
142,36.13,330.73434337023,66.9613272220504
143,33.97,354.177745434112,60.9613272220504
144,27.76,354.791207290671,66.8339039849555
145,32.56,309.97998691366,68.8664488496629
146,33.63,349.710652963577,62.8664488496629
147,32.97,309.012183030519,66.8194398776688
148,37.71,361.163018991733,73.0666691572697
149,33.42,342.771547367297,67.0666691572697
150,36.32,364.560079194287,61.0666691572697
151,34.35,363.499479123907,55.0666691572697
152,36.08,337.502699560741,64.3418800177437
153,36.16,411.453169173989,75.245111645799
154,33.08,341.090013103877,69.245111645799
155,37.83,324.970419832461,68.377129710946
156,36.38,361.26871786356,62.377129710946
157,36.22,371.939978517889,65.9822743237238
158,38.41,332.665842742771,74.828785211203
159,38.28,378.789366704352,74.5630302990682
160,34.78,393.554432023582,68.5630302990682
161,38.96,345.007790462065,68.2089518179335
162,36.19,392.020719392504,62.2089518179335
163,41.05,304.751924660054,69.1253810839399
164,39.75,324.252847226858,70.3947163847659
165,35.86,333.395150327477,67.9703029571702
166,40.93,407.699350488519,66.3014799372753
167,36.98,359.810353585721,85.1910938030757
168,36.76,334.184922996978,80.1316052951343
169,35.81,345.402821397591,74.1316052951343
170,33.79,383.937267214107,76.3605976323581
171,35.52,285.953053457343,70.3605976323581
172,40.53,387.079734675244,71.2361603104229
173,38.33,397.215945270343,74.0172959346217
174,36.03,385.435574974138,75.8353543016657
175,40.03,449.37491960147,80.8109661052906
176,34.37,353.355257338062,74.8109661052906
177,39.57,384.227648805598,70.5406133756699
178,37.39,402.667293379099,86.4433263635729
179,40.8,394.461889945802,80.4433263635729
180,35.28,287.529051852869,75.6623804887394
181,39.22,447.136971342922,72.2871372752367
182,39.91,385.440642922515,79.2447269353308
183,39.87,358.456617661025,73.2447269353308
184,38.78,320.255271036979,67.2447269353308
185,35.92,358.117938233804,91.2173555899775
186,40.96,353.12850435222,85.2173555899775
187,38.75,419.74122880788,79.2173555899775
188,41.6,421.646133613158,73.2173555899775
189,40.41,348.16194323643,70.9693406432908
190,38.04,419.205060301205,64.9693406432908
191,40.58,351.542335926815,73.9246379606849
192,39.83,417.615896678802,85.8646086062714
193,35.38,451.204397103171,79.8646086062714
194,41.56,396.071987314964,85.8539645665895
195,38.08,423.997136493691,80.3627008802314
196,36.86,354.722074700772,77.4516800634968
197,44.04,359.105385176171,80.3360963753111
198,44.49,407.408687399933,79.492611721036
199,39.43,399.36231136907,86.5673325792931
200,42.93,382.451738117838,80.5673325792931
201,45.41,375.404101803656,77.5395040524441
202,44.67,415.92360188469,92.2770700408169
203,39.22,385.110263464833,92.8881859554129
204,37.07,358.632004079518,87.2866403674288
205,36.4,394.118232897582,81.2866403674288
206,37.98,408.606698868831,88.8554491224989
207,37.23,352.212572137317,82.8554491224989
208,36.59,383.650709131428,81.8568605725155
209,38.34,335.528579526205,78.5851630469391
210,40.09,379.275554416885,83.6480116094342
211,41.36,385.618395597523,78.241071497081
212,38.5,420.016183174828,79.5044009646904
213,40.83,417.361084294907,85.3940293266735
214,38.77,416.839311479004,79.3940293266735
215,44.93,395.351818414214,77.0226694744472
216,47.75,448.431438925771,77.8929158492688
217,36.43,398.956435394616,97.10937329896
218,45.12,420.649606920853,91.10937329896
219,41.34,401.21869894916,85.10937329896
220,37.78,352.475070470184,93.3970841336472
221,39.19,402.868977123301,87.6750066696713
222,42.25,420.951456115372,81.6750066696713
223,47.57,403.755871549972,90.7037802731027
224,45.48,406.958545191411,90.2865862945956
225,41.39,448.484401157895,90.5080779750658
226,46.61,357.542582706356,84.5080779750658
227,35.2,420.804507363402,93.5300924214598
228,41.93,401.418649651103,87.5300924214598
229,37.5,418.778690072776,84.3261452258609
230,47.32,429.98605542131,85.2490440831329
231,49.32,417.079451581356,80.3972798979803
232,41.86,387.550025314726,80.9461124549236
233,37.04,379.508629440889,93.5159000267198
234,44.89,355.05215039136,89.0357812372986
235,45.08,371.932781544025,83.0357812372986
236,45.09,444.328209570783,94.893413858502
237,40.82,480,88.893413858502
238,45.64,457.470984662854,88.9214577940753
239,44.81,443.519564694222,86.6068103141232
240,46.7,398.147106905089,82.3712175834939
241,43.83,450.642799199153,97.2617262085761
242,43.19,387.205724375312,91.2617262085761
243,38.63,480,94.5065771715375
244,39.74,448.113038144228,95.2881025358849
245,48.95,390.652351215554,100.082946206877
246,42.97,408.586217722427,94.0829462068769
