Iteration,MeanEpisodeLength,MeanReward
0,17.18,-0.47
1,31.84,-0.64
2,29.72,-0.52
3,35.49,-0.45
4,35.14,-0.62
5,37.51,-0.63
6,42.6,-0.49
7,45.2,-0.5
8,36.86,-0.55
9,42.55,-0.74
10,43.56,-0.64
11,39.65,-0.52
12,42.35,-0.55
13,36.89,-0.55
14,38.24,-0.46
15,39.23,-0.45
16,37.94,-0.5
17,38.39,-0.35
18,35.59,-0.4
19,40.99,-0.44
20,36.77,-0.43
21,40.03,-0.54
22,43.79,-0.39
23,36.51,-0.32
24,41.33,-0.37
25,36.3,-0.36
26,42.94,-0.4
27,41.15,-0.46
28,36.53,-0.44
29,39.33,-0.33
30,38.97,-0.19
31,41.97,-0.35
32,41.78,-0.27
33,40.07,-0.34
34,40.65,-0.28
35,38.69,-0.23
36,39.72,-0.41
37,39.81,-0.16
38,40.08,-0.2
39,39.64,-0.37
40,43.97,-0.13
41,37.36,-0.23
42,37.92,-0.25
43,41.1,-0.07
44,40.41,-0.19
45,37.71,-0.25
46,38.28,-0.12
47,41.4,-0.16
48,42.57,0.02
49,39.98,-0.13
50,40.75,-0.09
51,41.67,0.03
52,39.57,-0.11
53,39.23,-0.1
54,39.98,-0
55,42.21,0.07
56,44,0.07
57,41.39,0.05
58,43.02,0.07
59,38.5,0.06
60,40.87,-0
61,42.26,0.05
62,38.85,0.12
63,44.01,0.15
64,41.3,0.16
65,42.37,0.11
66,39.18,0.15
67,38.4,0.19
68,44.29,0.21
69,39.74,0.28
70,40.51,0.3
71,40.16,0.16
72,42.94,0.29
73,43.88,0.24
74,42.77,0.33
75,39.67,0.28
76,41.67,0.34
77,41.45,0.33
78,42.4,0.42
79,41.86,0.32
80,42.09,0.49
81,42.13,0.43
82,43.35,0.48
83,42.27,0.45
84,42.73,0.53
85,42.83,0.4
86,40.97,0.35
87,43.27,0.65
88,43.32,0.49
89,43.78,0.47
90,40.24,0.46
91,43.72,0.51
92,42.23,0.55
93,39.57,0.47
94,45.16,0.61
95,42.12,0.59
