Iteration,MeanEpisodeLength,MeanReward
0,19.94,-0.54
1,21.5,-0.77
2,28.96,-0.89
3,30.31,-0.94
4,36.25,-0.87
5,103.29,-2.67
6,37.44,-1.13
7,34.61,-0.69
8,34.83,-0.67
9,37.11,-0.87
10,34.55,-0.62
11,33.49,-0.69
12,26.47,-0.49
13,30.86,-0.55
14,34.63,-0.62
15,38.78,-0.91
16,34.22,-0.57
17,31.94,-0.58
18,35.74,-0.74
19,35.27,-0.66
20,36.65,-0.72
21,32.23,-0.78
22,41.03,-0.73
23,30.95,-0.57
24,33.78,-0.62
25,34.14,-0.52
26,37.6,-0.72
27,41.78,-1.03
28,30.55,-0.43
29,39.77,-0.79
30,33.68,-0.74
31,35.71,-0.54
32,36.51,-0.62
33,33.19,-0.59
34,37.15,-0.74
35,39.47,-0.78
36,36.24,-0.73
37,35.76,-0.51
38,35.65,-0.72
39,31.82,-0.5
40,31.45,-0.66
41,39.43,-0.58
42,41.35,-0.54
43,30.07,-0.44
44,33.28,-0.73
45,36.19,-0.48
46,43.25,-0.61
47,35.17,-0.51
48,35.67,-0.55
49,34.39,-0.54
50,36.56,-0.46
51,33.02,-0.62
52,33.76,-0.33
53,26.9,-0.29
54,27.18,-0.39
55,32.93,-0.54
56,31.38,-0.4
57,31.24,-0.63
58,29.27,-0.3
59,32.08,-0.5
60,27.82,-0.37
61,34.59,-0.45
62,33.87,-0.5
63,30.39,-0.37
64,31.52,-0.36
65,27.78,-0.43
66,33.14,-0.2
67,26.92,-0.49
68,27.32,-0.44
69,27.48,-0.27
70,28.87,-0.36
71,27.93,-0.27
72,26.58,-0.41
73,26.94,-0.22
74,28.04,-0.38
75,27.91,-0.29
76,29.58,-0.26
77,23.42,-0.18
78,23.96,-0.18
79,25.92,-0.07
80,21.04,-0.22
81,19.37,-0.19
82,23.43,-0.13
83,20.52,-0.1
84,19.41,-0.27
85,19.53,-0.05
86,19.42,-0.07
87,23.06,-0.14
88,18.94,-0.03
89,16.82,-0.12
90,17.82,-0.03
91,19.05,-0.07
92,14.87,-0.08
93,16.11,-0.13
94,16.72,0.03
95,17.58,0.01
96,16.46,-0.01
97,16.34,-0.02
98,16.16,-0.09
99,17.4,-0.14
100,16.65,0.03
101,19.02,0.06
102,17.44,-0.08
103,18.04,0.01
104,16.58,-0.06
105,17.75,0.03
106,16.69,0.03
107,16.6,0.02
108,20.39,0.05
109,17.99,-0
110,21.58,0.09
111,18.28,0.03
112,18.73,0.06
113,17.58,-0.01
114,17.79,0.07
115,23.62,0.14
116,22.22,0.14
117,20.15,0.04
118,24.38,0.1
119,23.09,0.13
120,23.08,0.14
121,22.03,0.1
122,23.17,0.18
123,25.12,0.18
124,24.11,0.2
125,25.57,0.2
126,23.44,0.1
127,27.75,0.3
128,27.66,0.29
129,31.17,0.28
130,31.39,0.29
131,29.42,0.22
132,28.09,0.24
133,35.85,0.27
134,31.98,0.35
135,31.64,0.3
136,30.02,0.3
137,33.28,0.32
138,32.08,0.32
139,26.28,0.24
140,30.77,0.35
141,31.34,0.4
142,32.95,0.29
143,32.88,0.39
144,35.66,0.32
145,35.43,0.39
146,39.69,0.45
147,41.5,0.51
148,33.8,0.44
149,33.88,0.37
150,40.89,0.4
151,29.87,0.38
152,33.35,0.41
153,39.86,0.49
154,38.26,0.42
155,43.93,0.58
156,38.61,0.39
157,38.76,0.46
158,38.84,0.49
159,36.7,0.53
160,33.67,0.43
161,38.81,0.48
162,37.9,0.49
163,41.18,0.58
164,35.95,0.51
165,39.84,0.53
166,42.78,0.54
167,40.42,0.51
168,44.88,0.63
169,41.38,0.49
170,40.29,0.54
171,43.17,0.55
172,46.76,0.71
173,40.86,0.56
174,41.49,0.61
175,40.85,0.65
176,40.72,0.68
177,41.81,0.64
178,38.27,0.59
179,43.39,0.54
180,45.04,0.67
181,50.53,0.75
182,41.68,0.57
183,45.79,0.82
184,46.76,0.67
185,47.31,0.79
186,41.86,0.72
187,43.68,0.68
188,49.59,0.89
189,41.1,0.6
190,47.32,0.64
191,50.36,0.92
192,51.19,0.83
193,44.96,0.73
194,49.36,0.93
195,47.18,0.77
196,47.9,0.82
197,43.68,0.83
198,50.82,0.9
199,51.22,0.8
200,46.37,0.76
201,48.74,0.97
202,46.85,0.81
203,48.48,0.81
204,43.15,0.65
205,44.04,0.71
206,52.36,0.93
207,51.21,0.87
208,44.36,0.9
209,45.15,0.86
210,45.64,0.83
211,48.5,0.77
212,56.99,1.1
213,50.7,1.01
214,48.78,0.99
215,43.88,0.76
216,57.36,1.06
217,44.55,0.84
218,49.55,1.02
219,53.85,1.04
220,51.41,1.02
221,61.23,1.23
222,51.71,1.08
223,48.68,0.97
224,45.01,0.85
225,62.56,1.36
226,50.46,1.09
227,44.2,0.88
228,53.68,1.11
229,59.59,1.23
230,49.74,1
231,50.07,1.16
232,51.08,1.08
233,50.49,1.04
234,48.6,1.03
235,59.57,1.34
236,49.93,1.02
237,60.48,1.33
238,49.6,1
239,45.69,0.94
240,39.54,0.85
241,52.79,1.21
242,61.93,1.27
243,64.27,1.5
244,62.55,1.3
245,47.62,0.97
246,46.23,1.03
247,49.63,1.12
248,61.87,1.3
249,59.05,1.22
250,56.79,1.12
251,52.65,1.09
252,54.41,1.29
253,51.99,1.07
254,54.83,1.17
255,51.96,1.13
256,62.92,1.42
257,56.51,1.27
258,65.76,1.43
259,57.16,1.3
260,59.35,1.25
261,61.25,1.25
262,63.76,1.41
263,61.09,1.4
264,52.45,1.1
265,48.55,1.04
266,59.5,1.28
267,63.95,1.4
268,63.21,1.42
269,54.63,1.17
270,66.41,1.41
271,57.64,1.23
272,64.01,1.38
273,59.75,1.24
274,62.8,1.3
275,67.62,1.5
276,66.74,1.38
277,61.59,1.33
278,57.57,1.08
279,54.9,1.1
280,59.96,1.4
281,64.54,1.28
282,58.04,1.15
283,64.21,1.41
284,62.3,1.36
285,47.75,0.9
286,66.75,1.43
287,59.59,1.21
288,52.68,1.06
289,57.66,1.25
290,56.26,1.22
291,62.36,1.28
292,60.42,1.29
293,60.58,1.36
294,59.05,1.27
295,61.63,1.34
296,58.37,1.27
297,58.15,1.37
298,59.73,1.33
299,59.87,1.21
300,57.45,1.32
301,58.32,1.2
302,47.64,0.99
303,56.88,1.11
304,61.43,1.36
305,57.94,1.36
306,59,1.36
307,66.11,1.51
308,56.46,1.36
309,57.73,1.25
310,57.86,1.34
311,60.1,1.44
312,54.47,1.24
313,54.94,1.25
314,53.42,1.3
315,52.56,1.19
316,53.76,1.32
317,57.87,1.44
318,54.95,1.26
319,54.47,1.26
320,55.63,1.35
321,63.67,1.57
322,46.09,1.05
323,53.97,1.31
324,58.97,1.33
325,59.67,1.52
326,41.03,0.92
327,54.08,1.33
328,54.12,1.22
329,58.12,1.54
330,62.58,1.66
331,49.63,1.25
332,48.51,1.08
333,56.45,1.42
334,55.14,1.33
335,61.6,1.54
336,58.78,1.49
337,58.32,1.53
338,56.37,1.42
339,58.63,1.51
340,52.87,1.25
341,53.17,1.32
342,53.1,1.41
343,54.55,1.32
344,53.43,1.36
345,50.31,1.26
346,56.14,1.53
347,54.2,1.37
348,59.85,1.55
349,54.17,1.48
350,52.52,1.38
351,49.81,1.26
352,49.66,1.26
353,54.11,1.42
354,52.09,1.32
355,43.85,1.16
356,56,1.43
357,54.19,1.43
358,49.79,1.27
359,53.58,1.45
360,60.83,1.73
361,56.16,1.5
362,47.56,1.24
363,52.9,1.45
364,53.23,1.43
365,54.57,1.51
366,44.97,1.13
367,59.46,1.61
368,53.68,1.55
369,53.55,1.5
370,53.87,1.47
371,53.98,1.44
372,48.21,1.22
373,48.67,1.38
374,52.91,1.39
375,47.93,1.25
376,57.41,1.63
377,52.87,1.49
378,61.75,1.76
379,55.63,1.48
380,56.4,1.58
381,63.51,1.72
382,59.29,1.57
383,51.87,1.48
384,56.28,1.58
385,47.54,1.4
386,46.83,1.36
387,49.68,1.3
388,45.26,1.32
389,49.23,1.25
390,45.36,1.16
391,54.11,1.45
392,52.9,1.33
393,54.56,1.53
394,54.51,1.46
395,54.77,1.49
396,47.33,1.28
397,51.52,1.47
398,46.7,1.31
399,54.79,1.61
400,51.58,1.51
401,52.95,1.45
402,54.11,1.6
403,58.58,1.74
404,54.14,1.63
405,52.91,1.42
406,52.96,1.52
407,49.6,1.4
408,51.92,1.49
409,45.19,1.2
410,46.89,1.2
411,44.47,1.17
412,61.35,1.79
413,53.44,1.51
414,56.54,1.61
415,51.45,1.51
416,58.52,1.69
417,49.12,1.37
418,49.93,1.47
419,49.26,1.39
420,57.57,1.7
421,50.58,1.45
422,60.29,1.73
423,52.82,1.55
424,50.64,1.47
425,59.56,1.72
426,52.02,1.46
427,56.43,1.5
428,52.22,1.54
429,53.73,1.48
430,56.89,1.69
431,58.03,1.63
432,51.59,1.45
433,63.8,1.83
434,46.83,1.28
435,61.68,1.88
436,55.84,1.6
437,58.9,1.68
438,57.84,1.67
439,55.93,1.58
440,51.12,1.42
441,57.62,1.54
442,51.37,1.43
443,64.01,1.81
444,55.56,1.61
445,55,1.65
446,49.11,1.29
447,59.14,1.71
448,64.58,1.85
449,57.49,1.6
450,56.41,1.62
451,60.4,1.81
452,62.56,1.96
453,59.99,1.8
454,55.47,1.6
455,57.56,1.68
456,63.31,1.89
457,58.01,1.6
458,57.16,1.69
459,55.83,1.58
460,63.19,1.75
461,58.72,1.67
462,53.15,1.51
463,52.05,1.45
464,55.94,1.58
465,62.73,1.75
466,67.41,1.97
467,59.73,1.75
468,56.84,1.58
469,64.41,1.94
470,61.03,1.74
471,63.88,1.75
472,60.35,1.77
473,58.26,1.7
474,67.86,2.08
475,51.66,1.35
476,56.42,1.58
477,52.37,1.45
478,61.05,1.76
479,66.88,1.91
480,64.71,1.91
481,47.58,1.32
482,64.62,1.71
483,61.54,1.71
484,64.4,1.9
485,64.33,1.91
486,72.31,2.13
487,67.94,1.81
488,52.27,1.37
489,57.14,1.59
490,56.71,1.57
491,68.09,1.96
492,58.13,1.6
493,64.28,1.85
494,53.58,1.47
495,61.72,1.79
496,58.72,1.67
497,61.29,1.65
498,60.3,1.69
499,59.25,1.61
500,59.56,1.72
501,62.58,1.75
502,65.58,1.81
503,61.5,1.67
504,55.93,1.6
505,59.25,1.46
506,60.84,1.61
507,66.05,1.91
508,68.16,1.99
509,72.53,2.1
510,55.73,1.42
511,72.65,1.96
512,61.19,1.72
513,70.45,1.95
514,73.13,1.86
515,63.93,1.7
516,69.94,1.72
517,68.71,1.78
518,68.71,1.86
519,69.26,1.96
520,71.76,1.8
521,65.65,1.67
522,71.53,1.88
523,60.41,1.64
524,66.65,1.78
525,61.65,1.61
526,58.22,1.42
527,60.99,1.74
528,58.78,1.56
529,60.67,1.55
530,59.29,1.47
531,66.41,1.67
532,76.57,1.91
533,62.14,1.49
534,59.08,1.45
535,58.76,1.35
536,61.1,1.62
537,67.86,1.79
538,56.6,1.47
539,68.32,1.64
540,64.17,1.67
541,49.82,1.2
542,66.7,1.74
543,69.76,1.77
544,58.7,1.55
545,55.47,1.37
546,70.61,1.85
547,62.41,1.62
548,54.86,1.4
549,47.39,1.03
550,61.38,1.47
551,60.6,1.43
552,62.98,1.51
553,69.38,1.8
554,63.45,1.62
555,66.79,1.6
556,58.97,1.4
557,72.05,1.76
558,64.68,1.53
559,67.05,1.66
560,69.15,1.79
561,64.12,1.57
562,63.09,1.63
563,58.66,1.4
564,65.21,1.58
565,59.43,1.44
566,61.26,1.42
567,57.44,1.53
568,67.79,1.6
569,67.66,1.73
570,51.71,1.26
571,61.34,1.47
572,60.86,1.52
573,65.16,1.57
574,56.37,1.45
575,70.6,1.75
576,66.85,1.64
577,48.35,1.15
578,67.03,1.56
579,58.39,1.42
580,57.64,1.37
581,62.97,1.54
582,53.36,1.28
583,59.78,1.46
584,58.64,1.5
585,60.22,1.53
586,61.09,1.43
587,59.56,1.54
588,49.27,1.13
589,61.4,1.41
590,54.87,1.3
591,50.32,1.21
592,63.18,1.51
593,64.38,1.6
594,61.2,1.48
595,52.82,1.28
596,58.4,1.47
597,64.51,1.63
598,49.23,1.14
599,66.48,1.68
600,61.78,1.51
601,58.68,1.41
602,62.63,1.63
603,69.75,1.63
604,67.38,1.71
605,55.4,1.37
606,68.31,1.68
607,60.4,1.45
608,54.55,1.35
609,58.57,1.41
610,55.77,1.37
611,56.73,1.41
612,60.51,1.49
613,63.84,1.73
614,57.97,1.5
615,57.21,1.37
616,46.24,1.11
617,61.9,1.54
618,64.82,1.64
619,64.1,1.53
620,63.15,1.59
621,58.56,1.5
622,56.22,1.39
623,56.84,1.39
624,64.18,1.61
625,58.49,1.44
626,59.26,1.51
627,58.71,1.44
628,52.28,1.23
629,58.15,1.51
630,48.09,1.13
631,49.63,1.28
632,53.93,1.43
633,56.65,1.39
634,55.84,1.49
635,63.06,1.6
636,58.05,1.42
637,54.96,1.31
638,56.67,1.41
639,61.18,1.62
640,57.71,1.43
641,58.95,1.5
642,58.66,1.57
643,56.92,1.43
644,60.3,1.54
645,62.36,1.52
646,52.19,1.2
647,61.43,1.55
648,63.29,1.69
649,55.94,1.45
650,50.4,1.36
651,62.36,1.56
652,60.23,1.57
653,57.31,1.45
654,58.36,1.41
655,59.72,1.6
656,65.52,1.7
657,51.1,1.3
658,62.38,1.63
659,62.5,1.55
660,62.97,1.63
661,59,1.61
662,62.16,1.59
663,55.16,1.46
664,64.3,1.64
665,57.18,1.57
666,63.13,1.6
667,60.49,1.5
668,58.54,1.52
669,55.89,1.48
670,57.82,1.57
671,63.02,1.63
672,58.23,1.45
673,61.78,1.61
674,63.18,1.64
675,56.63,1.57
676,48.55,1.16
677,72.06,1.99
678,59.26,1.61
679,62.16,1.69
680,52.46,1.32
681,70.06,1.83
682,57.74,1.54
683,57.26,1.48
684,59.29,1.58
685,65,1.68
686,59.57,1.62
687,60.7,1.5
688,62.93,1.71
689,59.08,1.64
690,66.32,1.73
691,70.92,1.92
692,57.85,1.53
693,55.62,1.44
694,63.56,1.64
695,56.12,1.4
696,60.65,1.52
697,57.66,1.53
698,53.97,1.38
699,65.28,1.85
700,64.21,1.72
701,64.49,1.7
702,68.3,1.89
703,59.68,1.61
704,62.81,1.68
705,61.97,1.71
706,67.21,1.79
707,61.9,1.66
708,51.42,1.37
709,64.34,1.7
710,57.94,1.46
711,65.24,1.74
712,62.9,1.74
713,60.22,1.55
714,73.42,2.04
715,60.69,1.7
716,64.86,1.71
717,54.47,1.4
718,57.13,1.5
719,58.84,1.59
720,64.07,1.83
721,67.71,1.89
722,65.07,1.71
723,66.46,1.78
724,57.51,1.51
725,58.68,1.53
726,66.35,1.74
727,66.25,1.82
728,55.17,1.48
729,65.77,1.7
730,62.93,1.72
731,57.47,1.56
732,54.48,1.48
733,60.04,1.59
734,61.98,1.57
735,49.53,1.37
736,63.64,1.67
737,58.29,1.54
738,59.92,1.57
739,54.01,1.45
740,54.49,1.44
741,59.65,1.61
742,61.45,1.59
743,61.87,1.68
744,61.17,1.65
745,59.43,1.56
746,55.71,1.48
747,61.63,1.62
748,54.73,1.44
749,63,1.67
750,59.31,1.53
751,56.97,1.61
752,65.48,1.77
753,68.14,1.83
754,56.17,1.4
755,64.96,1.77
756,60.12,1.56
757,57.66,1.48
758,63.73,1.64
759,66.34,1.78
760,51.97,1.35
761,65.34,1.77
762,61.12,1.55
763,59.31,1.51
764,65.45,1.77
765,52.51,1.39
766,62.73,1.71
767,61.87,1.66
768,59.48,1.58
769,58.05,1.54
770,61.03,1.6
771,58.99,1.53
772,59.57,1.57
773,54.85,1.41
774,56.25,1.48
775,56.16,1.45
776,53.54,1.32
777,58.4,1.48
778,61.24,1.54
779,54.78,1.41
780,57.52,1.48
781,58.14,1.5
782,56.42,1.44
783,58,1.45
784,59.21,1.6
785,60.58,1.52
786,53.48,1.32
787,47.83,1.17
788,53.33,1.33
789,62.93,1.56
790,50.56,1.28
791,63.94,1.56
792,57.61,1.46
793,59.27,1.51
794,64.6,1.68
795,60.33,1.57
796,64.02,1.65
797,58.4,1.51
798,53.42,1.29
799,65.16,1.66
800,55.67,1.43
801,60.17,1.5
802,54.61,1.37
803,58.18,1.46
804,54.41,1.4
805,55.62,1.46
806,62.08,1.51
807,52.46,1.34
808,66.75,1.75
809,59.69,1.48
810,55.86,1.42
811,53.69,1.32
812,54.88,1.41
813,52.29,1.31
814,54.9,1.41
815,57.01,1.45
816,55.98,1.47
817,56.1,1.44
818,51.19,1.33
819,56.8,1.51
820,57.07,1.46
821,53.85,1.42
822,53.59,1.37
823,56.34,1.48
824,56.12,1.42
825,54.5,1.45
826,56.5,1.47
827,51.88,1.33
828,44.49,1.12
829,53.7,1.37
830,56.16,1.51
831,58.46,1.51
832,58.02,1.5
833,53.29,1.4
834,59.96,1.53
835,55.94,1.43
836,49.16,1.27
837,54.33,1.39
838,54.98,1.4
839,50.56,1.29
840,55.92,1.45
841,52.37,1.4
842,52.6,1.34
843,54.44,1.45
844,63.7,1.6
845,51.51,1.37
846,53.24,1.38
847,56.04,1.39
848,54.61,1.51
849,54,1.46
850,54.34,1.4
851,64.2,1.69
852,58.39,1.55
853,60.53,1.57
854,57.27,1.54
855,53.8,1.4
856,57.71,1.5
857,49.25,1.3
858,56.87,1.49
859,57.18,1.54
860,53.69,1.45
861,57.43,1.5
862,52.86,1.31
863,53.03,1.41
864,58.83,1.53
865,55.03,1.41
866,57.78,1.53
867,64.09,1.64
868,55.83,1.49
869,52,1.37
870,55.44,1.41
871,61.33,1.58
872,65.04,1.69
873,54,1.39
874,55.2,1.44
875,52.88,1.41
876,53.98,1.39
877,59.1,1.55
878,54.9,1.4
879,57.33,1.47
880,55.35,1.44
881,55.69,1.52
882,58.39,1.61
883,54.19,1.42
884,48.25,1.31
885,52.66,1.36
886,57.57,1.46
887,56.86,1.51
888,59.34,1.6
889,64.09,1.64
890,55.1,1.48
891,60.62,1.64
892,52.79,1.41
893,55.09,1.52
894,53.53,1.46
895,54.35,1.42
896,55.47,1.44
897,55.83,1.43
898,50.49,1.34
899,52.82,1.43
900,58.88,1.62
901,64.3,1.76
902,56.56,1.52
903,56.07,1.46
904,54.12,1.5
905,58.83,1.66
906,56.33,1.51
907,51.97,1.37
908,51.23,1.44
909,52.21,1.39
910,56.55,1.47
911,56.91,1.53
912,49.34,1.28
913,57.48,1.54
914,54.4,1.5
915,55.88,1.51
916,53.92,1.51
917,54.85,1.46
918,52.79,1.41
919,49.94,1.34
920,55.48,1.47
921,53.55,1.45
922,55.07,1.49
923,56.58,1.45
924,59.94,1.62
925,53.54,1.46
926,60.05,1.61
927,51.95,1.39
928,53.7,1.39
929,52.14,1.46
930,61.52,1.58
931,56.45,1.51
932,56.6,1.46
933,53.78,1.47
934,59.69,1.55
935,53.63,1.46
936,46.14,1.21
937,53.01,1.41
938,55.82,1.46
939,56.52,1.57
940,58.9,1.58
941,50.28,1.39
942,61.48,1.7
943,50.89,1.4
944,59.46,1.65
945,50.36,1.39
946,56.77,1.54
947,55.21,1.49
948,55.12,1.51
949,56.21,1.58
950,52.59,1.45
951,57.09,1.62
952,57.8,1.57
953,52.58,1.37
954,63.45,1.81
955,62.15,1.75
956,53.33,1.45
957,55.47,1.5
958,54.7,1.47
959,58.55,1.59
960,65.02,1.8
961,51.79,1.47
962,56.76,1.58
963,53.28,1.45
964,51,1.41
965,54.57,1.6
966,53.68,1.41
967,61.99,1.64
968,55.92,1.53
969,57.97,1.59
970,61.57,1.8
971,51.99,1.39
972,58.64,1.6
973,54.02,1.45
974,56.39,1.61
975,60.86,1.71
976,58.16,1.53
977,59.94,1.65
978,65.81,1.81
979,54.56,1.48
980,64.05,1.77
981,61.56,1.68
982,51.19,1.44
983,49.6,1.43
984,56.5,1.56
985,58.2,1.66
986,54.5,1.52
987,61.3,1.63
988,54.44,1.47
989,53.62,1.51
990,65.4,1.78
991,62.14,1.78
992,60.4,1.67
993,59.84,1.65
994,55.8,1.6
995,64.07,1.79
996,51.56,1.38
997,54.05,1.46
998,63.37,1.81
999,59.61,1.59
1000,53.77,1.51
1001,60.16,1.66
1002,56.34,1.59
1003,54.24,1.63
1004,58.69,1.59
1005,57.44,1.58
1006,59.02,1.62
1007,55,1.55
1008,61.93,1.69
1009,66.35,1.87
1010,54.36,1.49
1011,62.21,1.77
1012,59.4,1.66
1013,50.94,1.44
1014,52.21,1.36
1015,54.18,1.55
1016,65.63,1.88
1017,59.4,1.75
1018,55.51,1.58
1019,58.08,1.73
1020,59.94,1.77
1021,58.95,1.68
1022,62.42,1.79
1023,58.16,1.63
1024,51.82,1.48
1025,69.83,1.91
1026,55.38,1.56
1027,57.77,1.58
1028,55.11,1.55
1029,55.88,1.54
1030,60.36,1.74
1031,60.32,1.71
1032,61.96,1.76
1033,60.64,1.81
1034,56.85,1.53
1035,47.7,1.33
1036,57.61,1.63
1037,57.21,1.57
1038,59.28,1.69
1039,54.05,1.54
1040,56.51,1.55
1041,57.51,1.59
1042,50.32,1.47
1043,55.35,1.53
1044,54.71,1.6
1045,61.15,1.72
1046,59.37,1.69
1047,57.27,1.64
1048,57.34,1.64
1049,54.68,1.53
1050,57.26,1.67
1051,58.73,1.7
1052,60.24,1.68
1053,49.83,1.4
1054,53.89,1.53
1055,57.34,1.67
1056,60.83,1.75
1057,68.18,1.97
1058,57.48,1.61
1059,51.26,1.41
1060,59.73,1.73
1061,52.27,1.44
1062,57.97,1.63
1063,53.44,1.51
1064,54.89,1.52
1065,58.52,1.7
1066,58.68,1.66
1067,55.38,1.65
1068,60.31,1.76
1069,58.96,1.66
1070,64.15,1.81
1071,55.82,1.57
1072,57.11,1.59
1073,62.09,1.79
1074,60.65,1.69
1075,56.47,1.62
1076,51.88,1.52
1077,58.01,1.62
1078,58.09,1.75
1079,56.57,1.56
1080,57.9,1.62
1081,56.29,1.55
1082,59.62,1.79
1083,63.04,1.79
1084,54.15,1.54
1085,55.7,1.6
1086,51.58,1.53
1087,57.92,1.69
1088,60.48,1.76
1089,56.37,1.57
1090,62.02,1.78
1091,58.46,1.7
1092,48.24,1.4
1093,53.95,1.54
1094,61.39,1.82
1095,58.37,1.7
1096,56.58,1.64
1097,58.7,1.7
1098,62.01,1.78
1099,58.92,1.69
1100,51.71,1.48
1101,64.25,1.82
1102,60.25,1.64
1103,49.87,1.48
1104,56.64,1.67
1105,53.6,1.42
1106,64.13,1.94
1107,58.57,1.71
1108,61.02,1.77
1109,54.13,1.58
1110,59.96,1.77
1111,56.2,1.59
1112,54.98,1.69
1113,58.99,1.8
1114,61.17,1.71
1115,56.09,1.6
1116,56.88,1.67
1117,59.32,1.68
1118,57.41,1.7
1119,58.26,1.72
1120,63.65,1.81
1121,65.36,1.88
1122,64.89,1.9
1123,59.92,1.72
1124,53.51,1.57
1125,61.88,1.78
1126,57.96,1.68
1127,59.21,1.69
1128,58.91,1.61
1129,57.29,1.69
1130,67.39,1.96
1131,61.55,1.77
1132,57.78,1.63
1133,55.09,1.59
1134,59.62,1.77
1135,63.34,1.86
1136,56.51,1.64
1137,54.25,1.53
1138,62.68,1.76
1139,60.81,1.73
1140,59.71,1.73
1141,58.09,1.73
1142,55.83,1.58
1143,61.71,1.79
1144,57.59,1.64
1145,60.57,1.77
1146,53.53,1.52
1147,56.6,1.62
1148,56.75,1.69
1149,60.42,1.76
1150,55.71,1.67
1151,60.01,1.73
1152,55.49,1.61
1153,61.46,1.8
1154,60.72,1.79
1155,57.05,1.64
1156,62.48,1.77
1157,59.95,1.75
1158,57.27,1.61
1159,58.25,1.69
1160,55.99,1.63
1161,52.89,1.57
1162,63.68,1.86
1163,58.11,1.72
1164,54,1.65
1165,58.17,1.7
1166,65.93,1.93
1167,58.84,1.8
1168,55.93,1.58
1169,57.13,1.64
1170,56.58,1.64
1171,51.88,1.55
1172,58.98,1.72
1173,61.54,1.77
1174,51.18,1.57
1175,54.68,1.52
1176,59.28,1.7
1177,55.39,1.69
1178,55.44,1.62
1179,55.86,1.58
1180,59.06,1.72
1181,68.06,2
1182,61.26,1.85
1183,56.71,1.8
1184,58.03,1.71
1185,59.64,1.74
1186,57.13,1.66
1187,62.93,1.78
1188,60.36,1.75
1189,59.78,1.7
1190,60.12,1.8
1191,60.48,1.78
1192,59.01,1.78
1193,60.59,1.82
1194,61.03,1.82
1195,55.94,1.68
1196,63.36,1.86
1197,57.76,1.69
1198,57.74,1.74
1199,57.68,1.68
1200,60.32,1.78
1201,60.41,1.81
1202,62.62,1.89
1203,54.68,1.63
1204,65.99,1.97
1205,70.32,2.01
1206,59.95,1.8
1207,64.83,1.92
1208,54.26,1.61
1209,60.25,1.84
1210,69.03,2.09
1211,61.32,1.83
1212,61.39,1.88
1213,63.99,1.85
1214,61.98,1.81
1215,61.66,1.81
1216,66.62,1.92
1217,55.56,1.63
1218,59.88,1.75
1219,48.39,1.38
1220,55.68,1.74
1221,51.98,1.5
1222,56.56,1.65
1223,62.13,1.93
1224,58.77,1.74
1225,63.37,1.8
1226,54.73,1.64
1227,58.46,1.82
1228,60.36,1.82
1229,69.25,2.12
1230,54.8,1.67
1231,59.25,1.78
1232,62.85,1.9
1233,58.98,1.87
1234,55.32,1.64
1235,55.6,1.66
1236,66.57,1.94
1237,55.98,1.59
1238,55.49,1.6
1239,60.58,1.86
1240,67.27,2.03
1241,61.48,1.86
1242,64.86,1.98
1243,62.3,1.91
1244,54.94,1.62
1245,57.96,1.7
1246,63.34,1.95
1247,55.98,1.58
1248,57.1,1.64
1249,60.65,1.75
1250,65.73,1.95
1251,57.84,1.7
1252,52.86,1.69
1253,59.28,1.8
1254,58.13,1.66
1255,61.04,1.82
1256,61.93,1.84
1257,63.83,1.91
1258,56.94,1.75
1259,65.08,2.01
1260,58.25,1.69
1261,60.91,1.86
1262,64.87,2.02
1263,60.71,1.76
1264,55.34,1.58
1265,60.17,1.84
1266,56.1,1.73
1267,58.13,1.77
1268,61.38,1.83
1269,62.96,1.91
1270,67.41,2.16
1271,62.21,1.89
1272,59.34,1.82
1273,62.47,1.83
1274,58.26,1.79
1275,54.15,1.55
1276,64.08,1.84
1277,60.82,1.8
1278,66.91,1.96
1279,64.88,1.99
1280,58.62,1.69
1281,59.27,1.74
1282,62.68,1.84
1283,65.82,1.96
1284,60.76,1.91
1285,62.93,1.94
1286,57.74,1.75
1287,60.78,1.9
1288,62.78,1.91
1289,68.27,2.08
1290,58.28,1.77
1291,61.48,1.77
1292,55.14,1.66
1293,65.09,2.04
1294,58.06,1.69
1295,58.89,1.8
1296,62.57,1.83
1297,57.56,1.7
1298,62.25,1.96
1299,59.68,1.85
1300,53.87,1.66
1301,60.41,1.85
1302,56.49,1.61
1303,56.61,1.75
1304,59.45,1.8
1305,62.42,1.92
1306,67.15,2.01
1307,62.63,1.95
1308,59.48,1.89
