time	left_hip_pitch_joint_actual	left_hip_roll_joint_actual	left_hip_yaw_joint_actual	left_knee_joint_actual	left_ankle_pitch_joint_actual	left_ankle_roll_joint_actual	right_hip_pitch_joint_actual	right_hip_roll_joint_actual	right_hip_yaw_joint_actual	right_knee_joint_actual	right_ankle_pitch_joint_actual	right_ankle_roll_joint_actual	waist_roll_joint_actual	waist_yaw_joint_actual	left_shoulder_pitch_joint_actual	left_shoulder_roll_joint_actual	left_shoulder_yaw_joint_actual	left_elbow_joint_actual	left_wrist_roll_joint_actual	left_wrist_pitch_joint_actual	left_wrist_yaw_joint_actual	right_shoulder_pitch_joint_actual	right_shoulder_roll_joint_actual	right_shoulder_yaw_joint_actual	right_elbow_joint_actual	right_wrist_roll_joint_actual	right_wrist_pitch_joint_actual	right_wrist_yaw_joint_actual	left_hip_pitch_joint_ref	left_hip_roll_joint_ref	left_hip_yaw_joint_ref	left_knee_joint_ref	left_ankle_pitch_joint_ref	left_ankle_roll_joint_ref	right_hip_pitch_joint_ref	right_hip_roll_joint_ref	right_hip_yaw_joint_ref	right_knee_joint_ref	right_ankle_pitch_joint_ref	right_ankle_roll_joint_ref	waist_roll_joint_ref	waist_yaw_joint_ref	left_shoulder_pitch_joint_ref	left_shoulder_roll_joint_ref	left_shoulder_yaw_joint_ref	left_elbow_joint_ref	left_wrist_roll_joint_ref	left_wrist_pitch_joint_ref	left_wrist_yaw_joint_ref	right_shoulder_pitch_joint_ref	right_shoulder_roll_joint_ref	right_shoulder_yaw_joint_ref	right_elbow_joint_ref	right_wrist_roll_joint_ref	right_wrist_pitch_joint_ref	right_wrist_yaw_joint_ref	left_hip_pitch_joint_error	left_hip_roll_joint_error	left_hip_yaw_joint_error	left_knee_joint_error	left_ankle_pitch_joint_error	left_ankle_roll_joint_error	right_hip_pitch_joint_error	right_hip_roll_joint_error	right_hip_yaw_joint_error	right_knee_joint_error	right_ankle_pitch_joint_error	right_ankle_roll_joint_error	waist_roll_joint_error	waist_yaw_joint_error	left_shoulder_pitch_joint_error	left_shoulder_roll_joint_error	left_shoulder_yaw_joint_error	left_elbow_joint_error	left_wrist_roll_joint_error	left_wrist_pitch_joint_error	left_wrist_yaw_joint_error	right_shoulder_pitch_joint_error	right_shoulder_roll_joint_error	right_shoulder_yaw_joint_error	right_elbow_joint_error	right_wrist_roll_joint_error	right_wrist_pitch_joint_error	right_wrist_yaw_joint_error
0.000000	-0.000035	0.000010	-0.000001	-0.000002	-0.000024	0.000001	-0.000030	0.000010	-0.000001	-0.000003	-0.000023	0.000001	0.000032	0.000016	0.000121	0.008239	-0.001905	-0.000111	-0.000070	-0.000003	-0.000048	0.000151	-0.008451	0.001879	-0.000127	0.000072	-0.000004	0.000049	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000035	0.000010	-0.000001	-0.000002	-0.000024	0.000001	-0.000030	0.000010	-0.000001	-0.000003	-0.000023	0.000001	0.000032	0.000016	0.000121	0.008239	-0.001905	-0.000111	-0.000070	-0.000003	-0.000048	0.000151	-0.008451	0.001879	-0.000127	0.000072	-0.000004	0.000049
0.020000	-0.056864	-0.002303	-0.051441	0.088811	-0.125670	-0.033234	-0.080990	-0.008654	-0.061471	0.132811	-0.123884	0.001524	-0.013229	-0.015198	-0.014438	0.049660	-0.046089	0.061534	0.020011	0.008050	-0.002036	-0.029669	-0.033037	0.043349	0.114478	0.037954	0.012342	0.013929	-0.015777	0.134898	-0.126732	0.283071	-1.306577	-0.333828	-0.333727	-0.133799	-0.129018	0.315098	-1.390926	0.008432	-0.077993	-0.083185	0.164140	0.588560	-0.662296	0.811536	0.170143	0.275215	-0.050120	0.276495	-0.316647	0.585506	1.224735	0.302153	0.359390	0.324640	-0.041087	-0.137201	0.075291	-0.194261	1.180906	0.300594	0.252738	0.125145	0.067547	-0.182286	1.267042	-0.006908	0.064764	0.067987	-0.178577	-0.538900	0.616207	-0.750002	-0.150133	-0.267166	0.048084	-0.306164	0.283610	-0.542157	-1.110257	-0.264199	-0.347049	-0.310711
0.040000	-0.144878	-0.014053	-0.104874	0.240048	-0.370079	-0.111048	-0.215754	-0.048567	-0.146671	0.361917	-0.386464	0.004256	-0.049924	-0.045548	-0.038986	0.135441	-0.157412	0.222815	0.060211	0.034526	-0.008745	-0.082093	-0.074463	0.151904	0.408006	0.114916	0.052873	0.058491	-0.028578	0.156281	-0.101534	0.337865	-1.152687	-0.364721	-0.395593	-0.142302	-0.138703	0.328398	-1.389698	0.008816	-0.086091	-0.100278	0.058077	0.657096	-0.760603	0.893088	0.200096	0.303533	-0.060839	0.264341	-0.369520	0.685502	1.384600	0.365830	0.416144	0.409406	-0.116300	-0.170334	-0.003340	-0.097817	0.782608	0.253672	0.179839	0.093735	-0.007968	0.033519	1.003234	-0.004560	0.036167	0.054730	-0.097063	-0.521655	0.603192	-0.670273	-0.139885	-0.269007	0.052094	-0.346434	0.295058	-0.533597	-0.976594	-0.250914	-0.363272	-0.350916
0.060000	-0.209004	-0.031389	-0.068614	0.363256	-0.502965	-0.184143	-0.282594	-0.101180	-0.194059	0.497495	-0.570597	0.010317	-0.106738	-0.070381	-0.045810	0.219262	-0.277070	0.404185	0.091910	0.072441	-0.018697	-0.095102	-0.096158	0.273437	0.728236	0.185366	0.109465	0.122436	-0.021658	0.140681	-0.071287	0.365050	-1.108155	-0.345628	-0.365323	-0.163806	-0.191946	0.310238	-1.093857	0.028747	-0.108098	-0.079438	0.060965	0.629485	-0.682992	0.709638	0.152211	0.257149	-0.054780	0.200330	-0.310110	0.635869	1.229959	0.357302	0.333661	0.399111	-0.187346	-0.172070	0.002673	-0.001793	0.605191	0.161486	0.082728	0.062625	-0.002114	0.187257	0.523260	-0.018431	0.001360	0.009057	-0.106775	-0.410223	0.405922	-0.305453	-0.060301	-0.184709	0.036083	-0.295431	0.213952	-0.362433	-0.501723	-0.171937	-0.224195	-0.276676
0.080000	-0.212288	-0.005521	0.005438	0.431616	-0.607768	-0.240757	-0.271617	-0.116232	-0.238725	0.539618	-0.629183	0.020926	-0.136157	-0.071433	-0.012939	0.279251	-0.363635	0.536185	0.102083	0.111593	-0.029588	-0.051935	-0.106399	0.368761	0.962546	0.237796	0.165237	0.188780	-0.004047	0.158668	-0.010644	0.437562	-1.093570	-0.332035	-0.306444	-0.197373	-0.244617	0.330099	-0.810853	0.050987	-0.137115	-0.057664	0.112817	0.621599	-0.573214	0.635211	0.084200	0.204397	-0.059157	0.062205	-0.204475	0.624123	1.126999	0.365148	0.278693	0.346040	-0.208242	-0.164188	0.016082	-0.005946	0.485801	0.091277	0.034827	0.081141	0.005892	0.209519	0.181670	-0.030061	0.000958	-0.013769	-0.125756	-0.342348	0.209580	-0.099026	0.017883	-0.092804	0.029569	-0.114140	0.098076	-0.255362	-0.164454	-0.127352	-0.113456	-0.157260
0.100000	-0.176278	0.043973	0.083777	0.468651	-0.683080	-0.274309	-0.216046	-0.105578	-0.282064	0.523155	-0.608832	0.034495	-0.147806	-0.057964	0.048569	0.330268	-0.414477	0.615528	0.096012	0.144334	-0.040766	0.016512	-0.112891	0.445177	1.100517	0.279371	0.212336	0.244254	0.000904	0.195597	0.035373	0.519203	-0.870678	-0.315292	-0.266889	-0.219732	-0.263238	0.322183	-0.603140	0.083495	-0.158394	-0.045539	0.089303	0.650461	-0.517548	0.638172	0.054833	0.165507	-0.074673	-0.106462	-0.164543	0.693843	1.085541	0.393392	0.277139	0.298181	-0.177182	-0.151625	0.048404	-0.050552	0.187598	0.040984	0.050843	0.114154	-0.018826	0.200972	-0.005693	-0.049000	0.010588	-0.012425	-0.040735	-0.320193	0.103071	-0.022644	0.041179	-0.021174	0.033906	0.122974	0.051652	-0.248666	0.014976	-0.114021	-0.064803	-0.053928
0.120000	-0.135318	0.090154	0.126502	0.495813	-0.688827	-0.290595	-0.158981	-0.086973	-0.309787	0.497830	-0.554486	0.060670	-0.155423	-0.037199	0.110136	0.380527	-0.448236	0.659354	0.082894	0.167433	-0.052309	0.076336	-0.121449	0.511069	1.168686	0.314640	0.249305	0.283252	0.000149	0.208447	0.053424	0.539982	-0.502827	-0.316327	-0.258950	-0.225859	-0.278890	0.310008	-0.762747	0.164805	-0.150966	-0.032523	-0.004029	0.621955	-0.536682	0.602218	0.030729	0.143401	-0.085335	-0.200060	-0.193052	0.705799	1.086130	0.409652	0.276192	0.273780	-0.135467	-0.118293	0.073079	-0.044168	-0.186000	0.025733	0.099969	0.138887	-0.030898	0.187823	0.208260	-0.104135	-0.004457	-0.004676	0.114165	-0.241429	0.088447	0.057136	0.052165	0.024032	0.033025	0.276396	0.071603	-0.194730	0.082555	-0.095013	-0.026887	0.009473
0.140000	-0.094127	0.126621	0.108503	0.506506	-0.638009	-0.305035	-0.128181	-0.068690	-0.314560	0.498321	-0.510709	0.096829	-0.156382	-0.004649	0.150801	0.424451	-0.479559	0.680630	0.063980	0.182207	-0.062879	0.111762	-0.136959	0.558978	1.198156	0.337397	0.276052	0.306643	-0.017731	0.189762	0.052293	0.506651	-0.305728	-0.361506	-0.265821	-0.201580	-0.280096	0.300084	-0.884984	0.197498	-0.125858	-0.011723	-0.058846	0.581029	-0.591769	0.597387	-0.012493	0.169557	-0.072614	-0.173422	-0.225849	0.666729	1.136296	0.369701	0.278384	0.276165	-0.076396	-0.063141	0.056210	-0.000144	-0.332281	0.056471	0.137640	0.132891	-0.034464	0.198238	0.374275	-0.100669	-0.030524	0.007075	0.209647	-0.156578	0.112211	0.083243	0.076473	0.012650	0.009734	0.285184	0.088890	-0.107751	0.061860	-0.032304	-0.002332	0.030478
0.160000	-0.053181	0.157446	0.067992	0.486769	-0.546115	-0.327084	-0.128265	-0.045398	-0.291767	0.520905	-0.473531	0.126572	-0.145248	0.031819	0.165675	0.453906	-0.507456	0.690283	0.038748	0.193379	-0.070672	0.124148	-0.159104	0.583821	1.207369	0.343343	0.293309	0.318831	-0.031476	0.142838	0.053896	0.425042	-0.208041	-0.413100	-0.263542	-0.121340	-0.241780	0.312051	-0.799533	0.186335	-0.082720	0.002847	-0.103173	0.504717	-0.574524	0.585689	-0.056077	0.219952	-0.069360	-0.075600	-0.231679	0.610878	1.132724	0.330154	0.272844	0.295044	-0.021705	0.014608	0.014096	0.061727	-0.338074	0.086016	0.135278	0.075942	-0.049987	0.208854	0.326002	-0.059763	-0.062528	0.028973	0.268848	-0.050811	0.067068	0.104594	0.094824	-0.026573	-0.001312	0.199748	0.072575	-0.027057	0.074645	0.013189	0.020465	0.023787
0.180000	-0.034648	0.181725	0.049333	0.463402	-0.411524	-0.354404	-0.142862	-0.011351	-0.242315	0.534987	-0.413993	0.139352	-0.128327	0.055547	0.159367	0.465960	-0.522782	0.698021	0.008320	0.205451	-0.075841	0.124001	-0.181711	0.593561	1.196464	0.341476	0.302424	0.324560	-0.045237	0.110325	0.066380	0.343622	-0.099222	-0.447603	-0.243064	-0.030735	-0.191957	0.329493	-0.536941	0.161834	-0.018346	0.009873	-0.132606	0.416279	-0.510521	0.605442	-0.101305	0.268233	-0.074130	0.029568	-0.241905	0.614846	1.075205	0.335032	0.273191	0.312401	0.010589	0.071400	-0.017048	0.119780	-0.312302	0.093199	0.100202	0.019384	-0.050358	0.205494	0.122948	-0.022483	-0.109981	0.045674	0.291973	0.049681	-0.012261	0.092579	0.109625	-0.062782	-0.001711	0.094433	0.060194	-0.021285	0.121260	0.006444	0.029232	0.012158
