time	root_x	root_y	root_z
0.000000	-0.000001	0.000004	0.912527
0.020000	-0.003965	-0.000252	0.906447
0.040000	-0.014620	-0.001259	0.896501
0.060000	-0.018863	-0.002778	0.888831
0.080000	-0.011724	-0.007805	0.885475
0.100000	0.003534	-0.015623	0.884301
0.120000	0.020142	-0.024673	0.882922
0.140000	0.033400	-0.033348	0.879343
0.160000	0.041413	-0.040854	0.873284
0.180000	0.044741	-0.047031	0.866339
0.200000	0.046411	-0.051915	0.861716
0.220000	0.048929	-0.056241	0.861008
0.240000	0.052181	-0.059892	0.864355
0.260000	0.054330	-0.062005	0.869853
0.280000	0.052173	-0.063175	0.875603
0.300000	0.044895	-0.063517	0.880654
0.320000	0.035285	-0.062501	0.884277
0.340000	0.027462	-0.060018	0.885160
0.360000	0.025218	-0.058043	0.882737
0.380000	0.029478	-0.058042	0.876962
0.400000	0.036589	-0.061468	0.873543
0.420000	0.045130	-0.065803	0.872406
0.440000	0.052932	-0.069065	0.872172
0.460000	0.058563	-0.071161	0.871479
0.480000	0.062291	-0.072698	0.869838
0.500000	0.065844	-0.074330	0.867940
0.520000	0.069532	-0.076439	0.865776
0.540000	0.072967	-0.078616	0.863699
0.560000	0.076110	-0.080572	0.862123
0.580000	0.079381	-0.082270	0.861462
0.600000	0.083281	-0.083804	0.862063
0.620000	0.088118	-0.085185	0.864063
0.640000	0.093788	-0.086307	0.867222
0.660000	0.099752	-0.087010	0.870740
0.680000	0.105569	-0.087069	0.873794
0.700000	0.110917	-0.086488	0.876115
0.720000	0.115645	-0.085464	0.877767
0.740000	0.119984	-0.084210	0.878953
0.760000	0.124041	-0.082792	0.879910
0.780000	0.127864	-0.081372	0.880946
0.800000	0.131445	-0.080212	0.882350
0.820000	0.134806	-0.079607	0.884213
0.840000	0.138034	-0.079850	0.886297
0.860000	0.141100	-0.081141	0.888161
0.880000	0.143630	-0.083401	0.889618
0.900000	0.145488	-0.086139	0.890445
0.920000	0.147041	-0.088978	0.890234
0.940000	0.149070	-0.091753	0.888329
0.960000	0.152217	-0.094557	0.884153
0.980000	0.156209	-0.097751	0.879635
1.000000	0.160018	-0.100043	0.875486
1.020000	0.162853	-0.100779	0.872795
1.040000	0.164884	-0.100288	0.871969
1.060000	0.166359	-0.098984	0.872233
1.080000	0.167076	-0.097407	0.873095
1.100000	0.167059	-0.096105	0.874470
1.120000	0.166796	-0.095417	0.876448
1.140000	0.166841	-0.095495	0.879029
1.160000	0.167523	-0.096401	0.881954
1.180000	0.168795	-0.098182	0.884729
1.200000	0.169997	-0.100760	0.887007
1.220000	0.170509	-0.103624	0.888231
1.240000	0.170316	-0.106248	0.887741
1.260000	0.170013	-0.108360	0.884884
1.280000	0.170198	-0.110122	0.879415
1.300000	0.170513	-0.112348	0.875137
1.320000	0.170957	-0.113782	0.872791
1.340000	0.171031	-0.113509	0.872121
1.360000	0.170362	-0.112045	0.872376
1.380000	0.168813	-0.110130	0.872740
1.400000	0.166513	-0.108319	0.872728
1.420000	0.163821	-0.106856	0.872326
1.440000	0.161217	-0.105759	0.871785
1.460000	0.159132	-0.104973	0.871354
1.480000	0.157657	-0.104364	0.871141
1.500000	0.156641	-0.103872	0.871101
1.520000	0.155741	-0.103495	0.871137
1.540000	0.154437	-0.103201	0.871103
1.560000	0.152498	-0.102970	0.870895
1.580000	0.150053	-0.102715	0.870556
1.600000	0.147280	-0.102299	0.870103
1.620000	0.144278	-0.101600	0.869510
1.640000	0.141063	-0.100522	0.868805
1.660000	0.137660	-0.099037	0.868051
1.680000	0.134140	-0.097218	0.867277
1.700000	0.130588	-0.095187	0.866470
1.720000	0.127078	-0.093039	0.865618
1.740000	0.123650	-0.090804	0.864746
1.760000	0.120283	-0.088465	0.863887
1.780000	0.116915	-0.085993	0.863043
1.800000	0.113545	-0.083425	0.862278
1.820000	0.110433	-0.080895	0.862167
1.840000	0.107857	-0.078610	0.862458
1.860000	0.105578	-0.076675	0.862877
1.880000	0.103277	-0.075193	0.863404
1.900000	0.100817	-0.074147	0.864174
1.920000	0.098076	-0.073402	0.865251
1.940000	0.094927	-0.072796	0.866556
1.960000	0.091418	-0.072219	0.867917
1.980000	0.087678	-0.071564	0.869110
2.000000	0.083895	-0.070754	0.869924
2.020000	0.080421	-0.069795	0.870285
2.040000	0.077639	-0.068696	0.870316
2.060000	0.075715	-0.067529	0.870264
2.080000	0.074680	-0.066531	0.870266
2.100000	0.074459	-0.065818	0.870458
2.120000	0.074846	-0.065251	0.870685
2.140000	0.075376	-0.064598	0.870714
2.160000	0.075619	-0.063502	0.870488
2.180000	0.075404	-0.061948	0.869956
2.200000	0.074683	-0.059844	0.869364
2.220000	0.073692	-0.057208	0.869018
2.240000	0.072867	-0.054038	0.869165
2.260000	0.072545	-0.050275	0.869849
2.280000	0.072863	-0.045920	0.870921
2.300000	0.073814	-0.041047	0.872105
2.320000	0.075307	-0.035639	0.873110
2.340000	0.077219	-0.029522	0.873673
2.360000	0.079478	-0.022570	0.873605
2.380000	0.082015	-0.014766	0.872812
2.400000	0.084870	-0.006073	0.871323
2.420000	0.087879	0.003423	0.869821
2.440000	0.091878	0.014041	0.868337
2.460000	0.097314	0.025707	0.866641
2.480000	0.104107	0.038153	0.864637
2.500000	0.111668	0.051026	0.862782
2.520000	0.119825	0.063676	0.861091
2.540000	0.128239	0.075681	0.859485
2.560000	0.136708	0.086965	0.857787
2.580000	0.145372	0.097673	0.856058
2.600000	0.154875	0.108076	0.854967
2.620000	0.165804	0.118621	0.855398
2.640000	0.178351	0.129453	0.857464
2.660000	0.192112	0.140629	0.860955
2.680000	0.206421	0.152008	0.865180
2.700000	0.220448	0.163118	0.869121
2.720000	0.233304	0.173269	0.871951
2.740000	0.244436	0.181828	0.873489
2.760000	0.253887	0.188449	0.874065
2.780000	0.262130	0.193240	0.874246
2.800000	0.269841	0.196644	0.874760
2.820000	0.277706	0.198898	0.876018
2.840000	0.285881	0.200109	0.877883
2.860000	0.293913	0.200564	0.879660
2.880000	0.301202	0.200702	0.880813
2.900000	0.307669	0.200904	0.881365
2.920000	0.314019	0.201363	0.881549
2.940000	0.321207	0.202463	0.881465
2.960000	0.329824	0.204798	0.880903
2.980000	0.339957	0.208728	0.879591
3.000000	0.351398	0.214262	0.877252
3.020000	0.363874	0.221110	0.873492
3.040000	0.377151	0.228824	0.867879
3.060000	0.391001	0.236920	0.860110
3.080000	0.405295	0.245016	0.850005
3.100000	0.420154	0.252926	0.837816
3.120000	0.437050	0.261592	0.825694
3.140000	0.455088	0.268637	0.816562
3.160000	0.473476	0.272624	0.811124
3.180000	0.491807	0.275721	0.808548
3.200000	0.509568	0.278618	0.808887
3.220000	0.526898	0.280335	0.813150
3.240000	0.545835	0.282404	0.819570
3.260000	0.566534	0.284912	0.826962
3.280000	0.588412	0.287671	0.834590
3.300000	0.610771	0.290425	0.842158
3.320000	0.633221	0.292933	0.849590
3.340000	0.655497	0.295530	0.856415
3.360000	0.676738	0.298421	0.861206
3.380000	0.696042	0.301441	0.862159
3.400000	0.714508	0.305577	0.858963
3.420000	0.732084	0.308657	0.854609
3.440000	0.749563	0.309098	0.852897
3.460000	0.767113	0.307993	0.853837
3.480000	0.784044	0.306427	0.856528
3.500000	0.800130	0.305383	0.860022
3.520000	0.815652	0.305193	0.863599
3.540000	0.830820	0.305859	0.866814
3.560000	0.845848	0.307287	0.869640
3.580000	0.861088	0.309398	0.872222
3.600000	0.876749	0.311987	0.874611
3.620000	0.892517	0.314430	0.876623
3.640000	0.908166	0.315903	0.878148
3.660000	0.923614	0.315946	0.878893
3.680000	0.938709	0.314764	0.878251
3.700000	0.953313	0.313081	0.875748
