time	left_foot_x	left_foot_y	left_foot_z	right_foot_x	right_foot_y	right_foot_z
0.020000	-0.038368	0.221027	0.084663	0.242283	-0.452289	0.187360
0.040000	-0.038330	0.221031	0.079061	0.242317	-0.452247	0.181666
0.060000	-0.038246	0.221052	0.069518	0.242395	-0.452181	0.172078
0.080000	-0.038109	0.221090	0.056024	0.242517	-0.452116	0.158589
0.100000	-0.037211	0.222245	0.041516	0.242561	-0.451601	0.141436
0.120000	-0.036081	0.224465	0.038490	0.241484	-0.447316	0.122274
0.140000	-0.035961	0.224527	0.039945	0.238136	-0.437528	0.102123
0.160000	-0.035939	0.224351	0.041037	0.232165	-0.422376	0.081897
0.180000	-0.035934	0.224326	0.041492	0.224221	-0.402868	0.062710
0.200000	-0.035977	0.224376	0.041589	0.221831	-0.390205	0.051464
0.220000	-0.036321	0.226636	0.042603	0.223399	-0.386256	0.049655
0.240000	-0.038318	0.230375	0.044997	0.220867	-0.381742	0.050964
0.260000	-0.040610	0.228359	0.047477	0.218858	-0.379203	0.051559
0.280000	-0.039005	0.219758	0.049465	0.220622	-0.378514	0.048427
0.300000	-0.032033	0.202362	0.050750	0.224605	-0.377659	0.042171
0.320000	-0.020944	0.174338	0.051318	0.226149	-0.377909	0.039872
0.340000	-0.006771	0.136045	0.051876	0.225869	-0.378455	0.040397
0.360000	0.010098	0.088913	0.052861	0.225338	-0.379601	0.041454
0.380000	0.028363	0.039678	0.052224	0.224924	-0.382100	0.044188
0.400000	0.044080	-0.002316	0.045792	0.224855	-0.388547	0.051886
0.420000	0.049811	-0.014557	0.042554	0.223029	-0.402147	0.066975
0.440000	0.051322	-0.017461	0.041929	0.218921	-0.426241	0.093912
0.460000	0.051837	-0.018749	0.041711	0.214811	-0.459688	0.138093
0.480000	0.051733	-0.019477	0.041635	0.212768	-0.500702	0.199979
0.500000	0.051000	-0.020144	0.041598	0.214715	-0.551003	0.278597
0.520000	0.049950	-0.020926	0.041541	0.221561	-0.612543	0.371970
0.540000	0.049012	-0.021785	0.041520	0.234790	-0.686859	0.475529
0.560000	0.048292	-0.022801	0.041668	0.255774	-0.773162	0.586675
0.580000	0.048272	-0.023887	0.042241	0.285385	-0.866353	0.701881
0.600000	0.048668	-0.024955	0.043351	0.325437	-0.958807	0.819192
0.620000	0.049009	-0.030636	0.047273	0.373149	-1.033433	0.936580
0.640000	0.048464	-0.049028	0.054332	0.410492	-1.071780	1.039518
0.660000	0.046371	-0.078158	0.061996	0.420732	-1.085695	1.123148
0.680000	0.040103	-0.114107	0.067255	0.408785	-1.092967	1.198811
0.700000	0.029663	-0.152203	0.067331	0.383061	-1.096549	1.269075
0.720000	0.019199	-0.187983	0.059551	0.351826	-1.092952	1.329881
0.740000	0.013077	-0.218573	0.045930	0.324002	-1.082641	1.380275
0.760000	0.011219	-0.227943	0.038055	0.305705	-1.072733	1.420438
0.780000	0.009999	-0.228282	0.038889	0.295954	-1.068282	1.449581
0.800000	0.009559	-0.228004	0.040303	0.289307	-1.067142	1.467332
0.820000	0.009644	-0.228111	0.041208	0.282053	-1.068783	1.473536
0.840000	0.010026	-0.228467	0.041862	0.272270	-1.072456	1.467157
0.860000	0.010596	-0.228999	0.042440	0.260267	-1.077509	1.448079
0.880000	0.011266	-0.229583	0.042963	0.246868	-1.083432	1.417148
0.900000	0.012763	-0.230181	0.043061	0.232278	-1.088922	1.374194
0.920000	0.014184	-0.230685	0.042994	0.216645	-1.092150	1.318250
