time	left_hand_x	left_hand_y	left_hand_z	right_hand_x	right_hand_y	right_hand_z
0.020000	0.009218	0.176967	1.168993	-0.016262	-0.190609	1.167304
0.040000	0.009316	0.178411	1.163376	-0.016337	-0.190722	1.161690
0.060000	0.009451	0.179819	1.153905	-0.016407	-0.190881	1.152098
0.080000	0.009448	0.180590	1.141276	-0.016494	-0.191172	1.139778
0.100000	0.008470	0.180222	1.131886	-0.017063	-0.191494	1.130402
0.120000	0.006339	0.179516	1.127642	-0.018290	-0.191554	1.124981
0.140000	0.003254	0.178518	1.128112	-0.019960	-0.191712	1.123035
0.160000	-0.000176	0.177766	1.130685	-0.021800	-0.192006	1.122030
0.180000	-0.003514	0.176994	1.133523	-0.023673	-0.192553	1.120869
0.200000	-0.006605	0.176014	1.135879	-0.025635	-0.193447	1.119332
0.220000	-0.011179	0.177551	1.135574	-0.030457	-0.196613	1.116778
0.240000	-0.017056	0.183049	1.129957	-0.038304	-0.203172	1.112033
0.260000	-0.021898	0.188408	1.122088	-0.045833	-0.210970	1.107281
0.280000	-0.025476	0.191443	1.117832	-0.052857	-0.219133	1.106505
0.300000	-0.028357	0.192529	1.118585	-0.059013	-0.226863	1.109792
0.320000	-0.029758	0.192383	1.122136	-0.065074	-0.234022	1.115649
0.340000	-0.029553	0.191416	1.126922	-0.070870	-0.241165	1.122964
0.360000	-0.028873	0.190432	1.130098	-0.076606	-0.248373	1.129467
0.380000	-0.030153	0.190005	1.129439	-0.083079	-0.255239	1.131789
0.400000	-0.034809	0.189829	1.125336	-0.090495	-0.261781	1.128646
0.420000	-0.041247	0.188999	1.117655	-0.099020	-0.267765	1.121212
0.440000	-0.047476	0.186609	1.110566	-0.107519	-0.272056	1.114528
0.460000	-0.051832	0.182806	1.108367	-0.114206	-0.274237	1.113434
0.480000	-0.054323	0.178532	1.110192	-0.118420	-0.275505	1.116780
0.500000	-0.054975	0.174265	1.114508	-0.120425	-0.276731	1.123142
0.520000	-0.054513	0.170440	1.119462	-0.120626	-0.278135	1.130310
0.540000	-0.055848	0.167709	1.122470	-0.120920	-0.280003	1.133846
0.560000	-0.061535	0.166424	1.122344	-0.123135	-0.282949	1.130535
0.580000	-0.069826	0.165924	1.119065	-0.127616	-0.286217	1.122229
0.600000	-0.077746	0.165104	1.112476	-0.133207	-0.288830	1.111437
0.620000	-0.083182	0.163342	1.106459	-0.137511	-0.290258	1.103500
0.640000	-0.086597	0.161232	1.107135	-0.139768	-0.290340	1.103345
0.660000	-0.087963	0.159440	1.111362	-0.139695	-0.290510	1.107917
0.680000	-0.087386	0.157842	1.117363	-0.137849	-0.291006	1.115085
0.700000	-0.086369	0.156950	1.122589	-0.135428	-0.291779	1.121664
0.720000	-0.087345	0.157159	1.124748	-0.133938	-0.293097	1.124034
0.740000	-0.091140	0.158143	1.123989	-0.133631	-0.295267	1.121414
0.760000	-0.095843	0.158462	1.121543	-0.134506	-0.297285	1.117494
0.780000	-0.099256	0.157688	1.120875	-0.135955	-0.298032	1.115902
0.800000	-0.100570	0.156778	1.122067	-0.137122	-0.297954	1.117818
0.820000	-0.100315	0.156276	1.124113	-0.137514	-0.297727	1.122313
0.840000	-0.098766	0.156200	1.126545	-0.136920	-0.297532	1.128196
0.860000	-0.096187	0.156411	1.129070	-0.135428	-0.297245	1.134246
0.880000	-0.094400	0.157095	1.130095	-0.133692	-0.297173	1.137853
0.900000	-0.095018	0.158199	1.128400	-0.132520	-0.297582	1.137353
0.920000	-0.096767	0.159057	1.125619	-0.131818	-0.297751	1.134777
0.940000	-0.097308	0.159306	1.123213	-0.131245	-0.296918	1.132841
0.960000	-0.095696	0.159631	1.122067	-0.130548	-0.295073	1.133032
0.980000	-0.092401	0.160534	1.121877	-0.129700	-0.292799	1.134961
1.000000	-0.087850	0.161786	1.121613	-0.128532	-0.290652	1.137348
1.020000	-0.082550	0.163114	1.121057	-0.126870	-0.288676	1.139178
1.040000	-0.077124	0.164628	1.120089	-0.124925	-0.286741	1.139991
1.060000	-0.072072	0.166322	1.118597	-0.122877	-0.284793	1.139850
1.080000	-0.067207	0.167893	1.117031	-0.120786	-0.282692	1.139497
1.100000	-0.062108	0.169343	1.115733	-0.118656	-0.280378	1.139258
1.120000	-0.056536	0.170849	1.114474	-0.116556	-0.278050	1.139080
1.140000	-0.050530	0.172419	1.112811	-0.114378	-0.275975	1.138714
1.160000	-0.044312	0.173901	1.110536	-0.112000	-0.274252	1.137965
1.180000	-0.038106	0.175172	1.107747	-0.109408	-0.272836	1.136844
1.200000	-0.032111	0.176199	1.104668	-0.106625	-0.271695	1.135510
1.220000	-0.026484	0.176999	1.101436	-0.103708	-0.270818	1.134150
1.240000	-0.021315	0.177594	1.098045	-0.100703	-0.270235	1.132745
1.260000	-0.016579	0.178004	1.094321	-0.097652	-0.269989	1.131086
1.280000	-0.012199	0.178207	1.090301	-0.094537	-0.270078	1.129068
1.300000	-0.008081	0.178207	1.086192	-0.091267	-0.270447	1.126784
1.320000	-0.004159	0.178071	1.081964	-0.087741	-0.271064	1.124238
1.340000	-0.000386	0.177860	1.077328	-0.083957	-0.271897	1.121242
1.360000	0.003342	0.177541	1.072062	-0.079931	-0.272879	1.117521
1.380000	0.007118	0.177046	1.066195	-0.075632	-0.273909	1.112973
1.400000	0.010978	0.176413	1.059883	-0.071167	-0.274881	1.107705
1.420000	0.014927	0.175815	1.053189	-0.066736	-0.275781	1.101731
1.440000	0.018937	0.175416	1.046114	-0.062347	-0.276699	1.095006
1.460000	0.022948	0.175280	1.038704	-0.057770	-0.277697	1.087625
1.480000	0.026905	0.175411	1.031019	-0.052759	-0.278776	1.079747
1.500000	0.030802	0.175764	1.023092	-0.047202	-0.279908	1.071442
1.520000	0.034690	0.176193	1.014944	-0.041180	-0.281018	1.062749
1.540000	0.038658	0.176537	1.006609	-0.034923	-0.281964	1.053699
1.560000	0.042876	0.176736	0.998141	-0.028659	-0.282643	1.044304
1.580000	0.047510	0.176826	0.989688	-0.022486	-0.283077	1.034601
1.600000	0.052555	0.176895	0.981244	-0.016360	-0.283413	1.024566
1.620000	0.057937	0.177000	0.972575	-0.010256	-0.283796	1.014134
1.640000	0.063648	0.177093	0.963538	-0.004195	-0.284255	1.003306
1.660000	0.069619	0.177107	0.954119	0.001881	-0.284776	0.992104
1.680000	0.075656	0.177103	0.944340	0.008056	-0.285340	0.980532
1.700000	0.081628	0.177206	0.934318	0.014288	-0.285888	0.968716
1.720000	0.087570	0.177495	0.924033	0.020477	-0.286403	0.956751
1.740000	0.093545	0.177940	0.913307	0.026630	-0.286967	0.944676
1.760000	0.099666	0.178496	0.902072	0.032798	-0.287620	0.932547
1.780000	0.105958	0.179127	0.890416	0.039022	-0.288357	0.920425
1.800000	0.112320	0.179837	0.878471	0.045295	-0.289134	0.908323
1.820000	0.118667	0.180638	0.866383	0.051529	-0.289883	0.896310
1.840000	0.124950	0.181503	0.854231	0.057711	-0.290622	0.884464
1.860000	0.131142	0.182390	0.842081	0.063926	-0.291415	0.872928
1.880000	0.137321	0.183316	0.829964	0.070220	-0.292322	0.861839
1.900000	0.143585	0.184301	0.817925	0.076597	-0.293403	0.851219
1.920000	0.149897	0.185322	0.806150	0.083078	-0.294628	0.840962
1.940000	0.156118	0.186373	0.794865	0.089661	-0.295890	0.830908
1.960000	0.162132	0.187462	0.784033	0.096298	-0.297112	0.820875
1.980000	0.167889	0.188552	0.773467	0.102951	-0.298252	0.810806
2.000000	0.173417	0.189568	0.763087	0.109592	-0.299281	0.800823
2.020000	0.178792	0.190432	0.752974	0.116209	-0.300200	0.791061
2.040000	0.184049	0.191101	0.743349	0.122783	-0.301050	0.781560
2.060000	0.189127	0.191585	0.734465	0.129233	-0.301853	0.772447
2.080000	0.194001	0.191938	0.726251	0.135476	-0.302605	0.763916
2.100000	0.198711	0.192187	0.718410	0.141488	-0.303334	0.756008
2.120000	0.203233	0.192302	0.710832	0.147325	-0.304110	0.748599
2.140000	0.207504	0.192289	0.703436	0.153082	-0.305030	0.741465
2.160000	0.211471	0.192136	0.696097	0.158746	-0.306097	0.734476
2.180000	0.215084	0.191811	0.688837	0.164183	-0.307242	0.727625
2.200000	0.218363	0.191288	0.681763	0.169281	-0.308447	0.720941
2.220000	0.221366	0.190567	0.675010	0.174042	-0.309727	0.714449
2.240000	0.224105	0.189662	0.668734	0.178413	-0.311076	0.708245
2.260000	0.226549	0.188575	0.663039	0.182229	-0.312488	0.702532
2.280000	0.228705	0.187309	0.657856	0.185452	-0.313946	0.697429
2.300000	0.230614	0.185868	0.653206	0.188182	-0.315393	0.692920
2.320000	0.232259	0.184283	0.649402	0.190512	-0.316771	0.688921
2.340000	0.233624	0.182669	0.646423	0.192544	-0.318045	0.685202
2.360000	0.234775	0.181131	0.643738	0.194319	-0.319184	0.681504
2.380000	0.235795	0.179661	0.640940	0.195780	-0.320185	0.677859
2.400000	0.236696	0.178209	0.637926	0.196986	-0.321154	0.674412
2.420000	0.237379	0.176779	0.634782	0.198141	-0.322199	0.671067
2.440000	0.237669	0.175426	0.631724	0.199323	-0.323316	0.667663
2.460000	0.237439	0.174169	0.628982	0.200394	-0.324427	0.664269
2.480000	0.236736	0.172999	0.626566	0.201249	-0.325461	0.661048
2.500000	0.235731	0.171892	0.624393	0.201892	-0.326402	0.658066
2.520000	0.234556	0.170822	0.622497	0.202327	-0.327270	0.655340
2.540000	0.233277	0.169790	0.620875	0.202566	-0.328087	0.652846
2.560000	0.231925	0.168829	0.619484	0.202615	-0.328832	0.650610
2.580000	0.230487	0.167977	0.618320	0.202448	-0.329449	0.648745
2.600000	0.228933	0.167236	0.617337	0.202112	-0.329900	0.647273
2.620000	0.227298	0.166601	0.616409	0.201696	-0.330188	0.646090
2.640000	0.225645	0.166076	0.615423	0.201216	-0.330356	0.645090
2.660000	0.223957	0.165631	0.614380	0.200606	-0.330462	0.644257
2.680000	0.222167	0.165245	0.613396	0.199842	-0.330543	0.643574
2.700000	0.220231	0.164949	0.612564	0.198972	-0.330612	0.642981
2.720000	0.218165	0.164764	0.611885	0.197996	-0.330655	0.642472
