time	left_foot_x	left_foot_y	left_foot_z	right_foot_x	right_foot_y	right_foot_z
0.020000	-0.005258	0.094009	0.068851	-0.002533	-0.104015	0.064928
0.040000	-0.014440	0.090652	0.073364	-0.002388	-0.123842	0.060787
0.060000	-0.024931	0.105088	0.073790	0.005975	-0.150508	0.053091
0.080000	-0.038159	0.138069	0.062876	0.018040	-0.179113	0.040844
0.100000	-0.054505	0.182997	0.047179	0.022510	-0.187941	0.038084
0.120000	-0.067888	0.216091	0.039989	0.023338	-0.188749	0.039514
0.140000	-0.071786	0.223308	0.042001	0.023719	-0.188619	0.040605
0.160000	-0.077081	0.229529	0.045996	0.023902	-0.188500	0.041249
0.180000	-0.087402	0.240799	0.050160	0.023928	-0.188229	0.041639
0.200000	-0.101073	0.255696	0.054484	0.023883	-0.187977	0.041845
0.220000	-0.118458	0.277638	0.058261	0.019428	-0.184836	0.044724
0.240000	-0.135899	0.304037	0.061094	0.008244	-0.176366	0.048705
0.260000	-0.149358	0.322598	0.063874	0.004058	-0.172417	0.045696
0.280000	-0.157887	0.330242	0.066979	0.001939	-0.173322	0.039876
0.300000	-0.159838	0.328167	0.069798	0.001830	-0.173989	0.039944
0.320000	-0.155433	0.315984	0.072108	0.002040	-0.174284	0.040734
0.340000	-0.144261	0.293914	0.072988	0.002134	-0.174703	0.041281
0.360000	-0.127653	0.263307	0.072305	0.001966	-0.176316	0.042500
0.380000	-0.106186	0.229332	0.067847	0.002118	-0.180778	0.047539
0.400000	-0.085272	0.200113	0.058624	0.003513	-0.191203	0.059092
0.420000	-0.080708	0.188940	0.048888	0.006515	-0.209869	0.077677
0.440000	-0.083074	0.186480	0.038638	0.009496	-0.236142	0.106383
0.460000	-0.083212	0.186347	0.038505	0.011693	-0.268449	0.150483
0.480000	-0.083417	0.186376	0.039860	0.013370	-0.305968	0.211465
0.500000	-0.084047	0.185965	0.040830	0.015481	-0.350268	0.289713
0.520000	-0.085357	0.185235	0.041349	0.018530	-0.402583	0.383442
0.540000	-0.086852	0.184586	0.041557	0.023684	-0.463758	0.487747
0.560000	-0.087996	0.184117	0.041645	0.031822	-0.533411	0.600065
0.580000	-0.088178	0.183753	0.041813	0.045432	-0.609048	0.716468
0.600000	-0.087898	0.183431	0.042036	0.068152	-0.686320	0.833719
0.620000	-0.086819	0.183730	0.042502	0.101429	-0.751111	0.949396
0.640000	-0.081764	0.189185	0.044750	0.135939	-0.785323	1.056089
0.660000	-0.075061	0.197070	0.050107	0.155924	-0.790653	1.151450
0.680000	-0.073119	0.203047	0.055393	0.157344	-0.780772	1.241759
0.700000	-0.078396	0.200653	0.057386	0.142451	-0.761816	1.326752
0.720000	-0.079228	0.196183	0.056321	0.118275	-0.736400	1.398069
0.740000	-0.077331	0.191264	0.053988	0.094076	-0.708718	1.453444
0.760000	-0.073774	0.185831	0.051116	0.074286	-0.681753	1.495842
0.780000	-0.068582	0.179910	0.047398	0.057359	-0.655633	1.526211
0.800000	-0.062073	0.174101	0.042526	0.041308	-0.631262	1.544446
0.820000	-0.059289	0.172076	0.040451	0.025667	-0.613007	1.550385
0.840000	-0.058839	0.171980	0.040832	0.010333	-0.603273	1.542797
0.860000	-0.058744	0.172158	0.041402	-0.004272	-0.599947	1.521187
0.880000	-0.058695	0.172531	0.041833	-0.018667	-0.599355	1.485446
0.900000	-0.058743	0.173053	0.042042	-0.033780	-0.598252	1.435244
0.920000	-0.059001	0.173360	0.042027	-0.049591	-0.594289	1.370369
0.940000	-0.059610	0.173166	0.041984	-0.065258	-0.585972	1.291012
0.960000	-0.060546	0.172536	0.042031	-0.080349	-0.572695	1.198247
0.980000	-0.061684	0.171720	0.042131	-0.094715	-0.554545	1.094577
1.000000	-0.062936	0.170941	0.042215	-0.107875	-0.531487	0.982849
1.020000	-0.064402	0.170223	0.042268	-0.118899	-0.502624	0.865021
1.040000	-0.066320	0.169391	0.042255	-0.126585	-0.466836	0.742694
1.060000	-0.069086	0.168297	0.042224	-0.130223	-0.423303	0.617538
1.080000	-0.073011	0.166909	0.042194	-0.130262	-0.371430	0.493268
1.100000	-0.077888	0.165337	0.042193	-0.128078	-0.310915	0.376231
1.120000	-0.083685	0.163953	0.042397	-0.124983	-0.243053	0.274244
1.140000	-0.092616	0.164546	0.043365	-0.122676	-0.170942	0.193807
1.160000	-0.111243	0.171651	0.043030	-0.122775	-0.096863	0.135005
1.180000	-0.130564	0.184798	0.042779	-0.126136	-0.021980	0.092480
1.200000	-0.146403	0.198253	0.044071	-0.133463	0.052896	0.061419
1.220000	-0.160528	0.211968	0.045345	-0.137218	0.095859	0.043124
1.240000	-0.171930	0.226055	0.047467	-0.137936	0.105557	0.038950
1.260000	-0.181781	0.241682	0.052342	-0.137920	0.105905	0.039780
1.280000	-0.191725	0.261165	0.060246	-0.138143	0.105480	0.040746
1.300000	-0.202216	0.286385	0.069695	-0.138428	0.105548	0.041337
1.320000	-0.212036	0.317384	0.077523	-0.138880	0.105796	0.041933
1.340000	-0.220729	0.354082	0.081156	-0.139973	0.105556	0.043258
1.360000	-0.228307	0.395747	0.080890	-0.141879	0.104375	0.045686
1.380000	-0.235739	0.442729	0.077602	-0.144398	0.102431	0.048737
1.400000	-0.243138	0.494614	0.073785	-0.146653	0.100802	0.051449
1.420000	-0.251329	0.551111	0.070970	-0.148112	0.100031	0.053329
1.440000	-0.259459	0.608864	0.069660	-0.148567	0.100295	0.054217
1.460000	-0.267511	0.666303	0.068980	-0.148279	0.101011	0.054278
1.480000	-0.274250	0.721028	0.068170	-0.147464	0.102063	0.053805
1.500000	-0.280841	0.772437	0.067213	-0.146585	0.102979	0.053186
1.520000	-0.286044	0.817388	0.065421	-0.145798	0.103761	0.052642
1.540000	-0.291684	0.854928	0.062731	-0.145394	0.104020	0.052357
1.560000	-0.297051	0.883427	0.057876	-0.145401	0.103908	0.052416
1.580000	-0.304244	0.904049	0.050755	-0.145889	0.103394	0.052952
1.600000	-0.307141	0.915523	0.045337	-0.146640	0.103629	0.054198
1.620000	-0.307729	0.921808	0.043135	-0.148070	0.104280	0.056570
1.640000	-0.308189	0.924624	0.042646	-0.150610	0.105796	0.060139
1.660000	-0.308579	0.925460	0.042799	-0.154151	0.108301	0.064764
1.680000	-0.308678	0.925374	0.043160	-0.160348	0.115754	0.067943
1.700000	-0.308545	0.924923	0.043583	-0.166812	0.124131	0.070768
1.720000	-0.308307	0.924375	0.044073	-0.174127	0.135762	0.071549
1.740000	-0.307911	0.923667	0.044657	-0.180568	0.145825	0.071475
1.760000	-0.307528	0.922920	0.045336	-0.183255	0.152065	0.072586
1.780000	-0.306951	0.922071	0.045994	-0.184730	0.155804	0.074122
1.800000	-0.306414	0.921133	0.046781	-0.186137	0.158670	0.076024
1.820000	-0.305802	0.920006	0.047559	-0.188048	0.160891	0.077817
1.840000	-0.305139	0.918749	0.048300	-0.190080	0.162644	0.079573
1.860000	-0.304472	0.917542	0.048978	-0.192220	0.163466	0.080950
1.880000	-0.304328	0.916730	0.049623	-0.193916	0.163406	0.082017
1.900000	-0.304987	0.916717	0.050294	-0.195345	0.161648	0.082886
1.920000	-0.306953	0.917760	0.051276	-0.198018	0.159115	0.082525
