time Pelvis_px Pelvis_py Pelvis_pz Pelvis_qx Pelvis_qy Pelvis_qz Pelvis_qw Left_Hip_px Left_Hip_py Left_Hip_pz Left_Hip_qx Left_Hip_qy Left_Hip_qz Left_Hip_qw Right_Hip_px Right_Hip_py Right_Hip_pz Right_Hip_qx Right_Hip_qy Right_Hip_qz Right_Hip_qw Spine1_px Spine1_py Spine1_pz Spine1_qx Spine1_qy Spine1_qz Spine1_qw Left_Knee_px Left_Knee_py Left_Knee_pz Left_Knee_qx Left_Knee_qy Left_Knee_qz Left_Knee_qw Right_Knee_px Right_Knee_py Right_Knee_pz Right_Knee_qx Right_Knee_qy Right_Knee_qz Right_Knee_qw Spine2_px Spine2_py Spine2_pz Spine2_qx Spine2_qy Spine2_qz Spine2_qw Left_Ankle_px Left_Ankle_py Left_Ankle_pz Left_Ankle_qx Left_Ankle_qy Left_Ankle_qz Left_Ankle_qw Right_Ankle_px Right_Ankle_py Right_Ankle_pz Right_Ankle_qx Right_Ankle_qy Right_Ankle_qz Right_Ankle_qw Spine3_px Spine3_py Spine3_pz Spine3_qx Spine3_qy Spine3_qz Spine3_qw Left_Foot_px Left_Foot_py Left_Foot_pz Left_Foot_qx Left_Foot_qy Left_Foot_qz Left_Foot_qw Right_Foot_px Right_Foot_py Right_Foot_pz Right_Foot_qx Right_Foot_qy Right_Foot_qz Right_Foot_qw Neck_px Neck_py Neck_pz Neck_qx Neck_qy Neck_qz Neck_qw Left_Collar_px Left_Collar_py Left_Collar_pz Left_Collar_qx Left_Collar_qy Left_Collar_qz Left_Collar_qw Right_Collar_px Right_Collar_py Right_Collar_pz Right_Collar_qx Right_Collar_qy Right_Collar_qz Right_Collar_qw Head_px Head_py Head_pz Head_qx Head_qy Head_qz Head_qw Left_Shoulder_px Left_Shoulder_py Left_Shoulder_pz Left_Shoulder_qx Left_Shoulder_qy Left_Shoulder_qz Left_Shoulder_qw Right_Shoulder_px Right_Shoulder_py Right_Shoulder_pz Right_Shoulder_qx Right_Shoulder_qy Right_Shoulder_qz Right_Shoulder_qw Left_Elbow_px Left_Elbow_py Left_Elbow_pz Left_Elbow_qx Left_Elbow_qy Left_Elbow_qz Left_Elbow_qw Right_Elbow_px Right_Elbow_py Right_Elbow_pz Right_Elbow_qx Right_Elbow_qy Right_Elbow_qz Right_Elbow_qw Left_Wrist_px Left_Wrist_py Left_Wrist_pz Left_Wrist_qx Left_Wrist_qy Left_Wrist_qz Left_Wrist_qw Right_Wrist_px Right_Wrist_py Right_Wrist_pz Right_Wrist_qx Right_Wrist_qy Right_Wrist_qz Right_Wrist_qw Left_Hand_px Left_Hand_py Left_Hand_pz Left_Hand_qx Left_Hand_qy Left_Hand_qz Left_Hand_qw Right_Hand_px Right_Hand_py Right_Hand_pz Right_Hand_qx Right_Hand_qy Right_Hand_qz Right_Hand_qw
0.000000 0.27275896 -0.57902980 -0.67389830 -0.15665999 -0.16139018 0.69273107 0.68522592 0.32007453 -0.53456986 -0.76092184 -0.14704271 -0.17808111 0.67129496 0.70429304 0.21240231 -0.59233680 -0.76736087 -0.14257629 -0.12177258 0.69052158 0.69858672 0.25914586 -0.54259800 -0.55586550 -0.17219720 -0.16548323 0.68124248 0.69200584 0.37371087 -0.50395393 -1.14655364 -0.11483030 -0.13857807 0.69666705 0.69445316 0.16022575 -0.60431910 -1.15490651 -0.14309206 -0.12822583 0.68610539 0.70167105 0.27765003 -0.56651980 -0.41342780 -0.15061622 -0.16276494 0.68180572 0.69711070 0.36072844 -0.47245470 -1.56684256 -0.16510111 -0.19627575 0.68739847 0.67948570 0.15387210 -0.55736290 -1.57026434 -0.06900075 -0.09296080 0.69193144 0.71262055 0.27625670 -0.57207185 -0.35437460 -0.14583326 -0.16753243 0.70162806 0.67704038 0.45261273 -0.55360436 -1.61908019 -0.16502823 -0.19632148 0.68741616 0.67947230 0.15264422 -0.68086857 -1.63269234 -0.06900115 -0.09298007 0.69193730 0.71261238 0.23973626 -0.53846210 -0.14018232 -0.15645354 -0.18309394 0.66559025 0.70639122 0.33137950 -0.51837920 -0.23692346 -0.11468933 -0.11540604 0.71213609 0.68292754 0.18397893 -0.58403630 -0.24392170 -0.20418996 -0.23635941 0.65818464 0.68500634 0.27081886 -0.58092034 -0.06474768 -0.19295335 -0.17677280 0.59681238 0.75850872 0.42843240 -0.45017320 -0.25051310 -0.48531777 0.37861384 0.62394133 0.48147214 0.08131760 -0.62945400 -0.25739422 0.22491428 -0.63161826 0.37128153 0.64235661 0.47193280 -0.43364176 -0.49447244 -0.40102841 0.41043666 0.68049504 0.45568023 0.04567791 -0.64569813 -0.50382450 0.20984933 -0.65603677 0.49759310 0.52723821 0.56384724 -0.50576020 -0.75819440 -0.43618219 0.42958238 0.75367073 0.23913285 0.04136272 -0.75828400 -0.77301294 0.37813921 -0.72495365 0.50126004 0.28318074 0.56956273 -0.53877735 -0.84314180 -0.43618193 0.42958236 0.75367096 0.23913262 0.08020768 -0.79457146 -0.84855550 0.37813911 -0.72495355 0.50126025 0.28318061
0.010000 0.27275097 -0.57898860 -0.67389184 -0.15689838 -0.16176480 0.69267634 0.68513833 0.32004380 -0.53448707 -0.76090650 -0.14734093 -0.17842976 0.67131587 0.70412250 0.21242438 -0.59234990 -0.76736605 -0.14278450 -0.12204887 0.69060128 0.69841715 0.25908253 -0.54256830 -0.55586200 -0.17258440 -0.16584808 0.68127612 0.69178892 0.37371245 -0.50392220 -1.14653778 -0.11558416 -0.13878509 0.69633700 0.69461770 0.16031930 -0.60449190 -1.15491629 -0.14329001 -0.12842274 0.68589877 0.70179659 0.27760420 -0.56642060 -0.41341490 -0.15110732 -0.16296951 0.68172090 0.69703961 0.36031452 -0.47222027 -1.56679821 -0.16550567 -0.19668938 0.68746048 0.67920486 0.15390307 -0.55734500 -1.57025146 -0.06922513 -0.09345403 0.69198985 0.71247759 0.27623934 -0.57196950 -0.35436073 -0.14641228 -0.16772310 0.70150378 0.67699693 0.45230213 -0.55328640 -1.61898327 -0.16543272 -0.19673468 0.68747768 0.67919214 0.15282677 -0.68086755 -1.63264847 -0.06922474 -0.09347397 0.69199519 0.71246978 0.23980518 -0.53839350 -0.14014870 -0.15701767 -0.18321445 0.66528635 0.70652108 0.33137030 -0.51821226 -0.23694310 -0.11527380 -0.11560130 0.71204974 0.68288619 0.18403856 -0.58403260 -0.24385440 -0.20476175 -0.23652266 0.65800577 0.68495122 0.27098600 -0.58085240 -0.06475507 -0.19304418 -0.17692616 0.59696307 0.75833124 0.42837778 -0.44993973 -0.25052187 -0.48515331 0.37838370 0.62439211 0.48123445 0.08144086 -0.62963660 -0.25718120 0.22396147 -0.63189032 0.37103340 0.64256528 0.47203338 -0.43353176 -0.49446154 -0.40054870 0.41005270 0.68149723 0.45494947 0.04570569 -0.64615595 -0.50357910 0.20790541 -0.65692988 0.49672404 0.52771558 0.56359910 -0.50566894 -0.75835280 -0.43678018 0.42925663 0.75372597 0.23845120 0.04161815 -0.75888610 -0.77254460 0.37680945 -0.72389225 0.50141690 0.28736001 0.56925255 -0.53870004 -0.84329880 -0.43678056 0.42925668 0.75372580 0.23845108 0.07994318 -0.79484700 -0.84850750 0.37680921 -0.72389224 0.50141706 0.28736013
0.020000 0.27274495 -0.57895917 -0.67387780 -0.15697671 -0.16188793 0.69265834 0.68510952 0.32003033 -0.53444400 -0.76088953 -0.14743907 -0.17854446 0.67132282 0.70406634 0.21242824 -0.59233826 -0.76735580 -0.14285286 -0.12213950 0.69062777 0.69836117 0.25905830 -0.54254270 -0.55584884 -0.17271191 -0.16596806 0.68128725 0.69171732 0.37370962 -0.50389600 -1.14652061 -0.11583358 -0.13885262 0.69622742 0.69467255 0.16034664 -0.60453300 -1.15490758 -0.14335510 -0.12848708 0.68583014 0.70183858 0.27758577 -0.56637210 -0.41339870 -0.15126935 -0.16303635 0.68169274 0.69701628 0.36017355 -0.47212663 -1.56677175 -0.16563939 -0.19682566 0.68748073 0.67911230 0.15390946 -0.55732270 -1.57023525 -0.06929896 -0.09361666 0.69200901 0.71243045 0.27623036 -0.57192000 -0.35434425 -0.14660367 -0.16778542 0.70146260 0.67698282 0.45219526 -0.55316526 -1.61893964 -0.16556648 -0.19687086 0.68749772 0.67909977 0.15288307 -0.68085090 -1.63262200 -0.06929845 -0.09363699 0.69201422 0.71242279 0.23982492 -0.53835500 -0.14012551 -0.15720426 -0.18325360 0.66518530 0.70656452 0.33136424 -0.51814150 -0.23693770 -0.11546704 -0.11566518 0.71202104 0.68287267 0.18405509 -0.58401540 -0.24382013 -0.20495096 -0.23657618 0.65794636 0.68493314 0.27103830 -0.58081430 -0.06474548 -0.19311638 -0.17696565 0.59705183 0.75823372 0.42835686 -0.44984698 -0.25051300 -0.48509889 0.37830791 0.62454064 0.48115615 0.08147836 -0.62968080 -0.25709865 0.22364584 -0.63198002 0.37095114 0.64263446 0.47206378 -0.43347997 -0.49444640 -0.40038961 0.40992612 0.68182784 0.45470821 0.04571148 -0.64629126 -0.50348590 0.20726187 -0.65722453 0.49643643 0.52787243 0.56350480 -0.50563157 -0.75840710 -0.43705814 0.42924086 0.75364516 0.23822569 0.04166426 -0.75911940 -0.77248335 0.37723837 -0.72335693 0.50154306 0.28792448 0.56911015 -0.53866520 -0.84335536 -0.43705822 0.42924065 0.75364519 0.23822565 0.07990983 -0.79498583 -0.84853107 0.37723861 -0.72335698 0.50154294 0.28792438
0.030000 0.27268907 -0.57905006 -0.67386204 -0.15722684 -0.16200171 0.69265531 0.68502832 0.31993663 -0.53452330 -0.76088840 -0.14761717 -0.17859566 0.67122379 0.70411040 0.21236399 -0.59247536 -0.76732800 -0.14299802 -0.12231711 0.69069433 0.69823451 0.25900274 -0.54262260 -0.55583644 -0.17314379 -0.16596997 0.68137821 0.69151931 0.37352365 -0.50389920 -1.14652646 -0.11575857 -0.13873192 0.69627601 0.69466044 0.16032592 -0.60479240 -1.15488183 -0.14346228 -0.12863942 0.68585273 0.70176676 0.27761498 -0.56636360 -0.41338253 -0.15176079 -0.16302719 0.68179659 0.69681005 0.35997620 -0.47216445 -1.56677985 -0.16557892 -0.19679518 0.68749957 0.67911688 0.15390918 -0.55763180 -1.57021558 -0.06938424 -0.09376703 0.69200410 0.71240712 0.27629796 -0.57187766 -0.35432400 -0.14715941 -0.16776771 0.70150890 0.67681857 0.45198950 -0.55321550 -1.61894310 -0.16550595 -0.19684017 0.68751654 0.67910435 0.15293029 -0.68116150 -1.63260007 -0.06938355 -0.09378732 0.69200935 0.71239942 0.24002445 -0.53823650 -0.14009482 -0.15754748 -0.18337979 0.66526279 0.70638238 0.33147717 -0.51800020 -0.23698407 -0.11601627 -0.11565684 0.71210004 0.68269857 0.18421320 -0.58398956 -0.24372628 -0.20551019 -0.23652469 0.65794713 0.68478268 0.27128083 -0.58064130 -0.06470203 -0.19324856 -0.17698116 0.59718261 0.75809339 0.42838833 -0.44961268 -0.25067145 -0.48527260 0.37824026 0.62483270 0.48065465 0.08164039 -0.62969434 -0.25689876 0.22307717 -0.63173786 0.37134784 0.64284105 0.47201929 -0.43337664 -0.49462718 -0.40072806 0.40971099 0.68212375 0.45415984 0.04558688 -0.64654870 -0.50322770 0.20636865 -0.65691808 0.49655865 0.52848852 0.56339407 -0.50556610 -0.75847450 -0.43749680 0.42930920 0.75344168 0.23794104 0.04167534 -0.75930670 -0.77251040 0.37789614 -0.72286434 0.50165289 0.28810775 0.56891070 -0.53859967 -0.84342870 -0.43749692 0.42930950 0.75344158 0.23794065 0.07989123 -0.79509720 -0.84860885 0.37789545 -0.72286433 0.50165326 0.28810794
0.040000 0.27254116 -0.57922790 -0.67383060 -0.15751546 -0.16213298 0.69265174 0.68493454 0.31974503 -0.53468794 -0.76087390 -0.14782254 -0.17865449 0.67110924 0.70416155 0.21220640 -0.59270644 -0.76728270 -0.14316459 -0.12252277 0.69077161 0.69808793 0.25885520 -0.54278785 -0.55580890 -0.17364287 -0.16597173 0.68148345 0.69128998 0.37322554 -0.50397563 -1.14651966 -0.11567042 -0.13859138 0.69633263 0.69464640 0.16021963 -0.60516480 -1.15483892 -0.14358461 -0.12881568 0.68587863 0.70168407 0.27756540 -0.56642620 -0.41335080 -0.15232933 -0.16301602 0.68191672 0.69657098 0.35966516 -0.47228098 -1.56677556 -0.16550774 -0.19675989 0.68752147 0.67912219 0.15382760 -0.55806124 -1.57017946 -0.06948106 -0.09394089 0.69199788 0.71238089 0.27629277 -0.57190100 -0.35428765 -0.14780298 -0.16774637 0.70156203 0.67662855 0.45166880 -0.55334663 -1.61893320 -0.16543478 -0.19680471 0.68753849 0.67910974 0.15290342 -0.68159276 -1.63256133 -0.06948019 -0.09396116 0.69200318 0.71237311 0.24017224 -0.53817165 -0.14004654 -0.15794394 -0.18352633 0.66535214 0.70617164 0.33152450 -0.51790940 -0.23702502 -0.11665231 -0.11564639 0.71219098 0.68249705 0.18431301 -0.58403190 -0.24360472 -0.20615787 -0.23646433 0.65794742 0.68460851 0.27147830 -0.58051370 -0.06463908 -0.19357373 -0.17695956 0.59747098 0.75778813 0.42834112 -0.44941422 -0.25084233 -0.48547360 0.37816003 0.62517056 0.48007516 0.08174464 -0.62978170 -0.25665417 0.22241711 -0.63145618 0.37180983 0.64307946 0.47188467 -0.43332994 -0.49482363 -0.40111953 0.40945988 0.68246541 0.45352695 0.04535913 -0.64691870 -0.50291470 0.20533201 -0.65656068 0.49670263 0.52920069 0.56285450 -0.50603790 -0.75599830 -0.43798407 0.42955047 0.75293568 0.23821043 0.04206647 -0.75973797 -0.77206355 0.37905054 -0.72189676 0.50228739 0.28791165 0.56825453 -0.53900350 -0.84098620 -0.43798417 0.42955037 0.75293558 0.23821070 0.08021636 -0.79549190 -0.84821220 0.37905040 -0.72189685 0.50228721 0.28791197
0.050000 0.27242568 -0.57930450 -0.67380750 -0.15774195 -0.16225665 0.69260631 0.68489908 0.31959412 -0.53474240 -0.76085866 -0.14803760 -0.17874152 0.67104337 0.70415705 0.21208401 -0.59281564 -0.76725040 -0.14334791 -0.12273321 0.69072350 0.69806095 0.25873858 -0.54286885 -0.55578450 -0.17401057 -0.16609054 0.68148418 0.69116833 0.37299007 -0.50399256 -1.14651310 -0.11575599 -0.13870523 0.69634317 0.69459894 0.16011724 -0.60528590 -1.15480888 -0.14379841 -0.12902488 0.68581408 0.70166491 0.27750780 -0.56645860 -0.41332614 -0.15279354 -0.16311292 0.68188319 0.69647949 0.35944360 -0.47233468 -1.56677222 -0.16567585 -0.19693798 0.68750041 0.67905097 0.15369096 -0.55815750 -1.57014608 -0.06970761 -0.09409327 0.69200597 0.71233072 0.27626792 -0.57192266 -0.35426130 -0.14833853 -0.16788981 0.70155909 0.67647882 0.45148980 -0.55335790 -1.61892068 -0.16560291 -0.19698272 0.68751730 0.67903863 0.15282802 -0.68169580 -1.63251519 -0.06970666 -0.09411372 0.69201123 0.71232306 0.24022347 -0.53815466 -0.14001346 -0.15833636 -0.18349131 0.66544602 0.70600434 0.33150676 -0.51783705 -0.23704532 -0.11718449 -0.11579886 0.71222222 0.68234735 0.18435615 -0.58410470 -0.24352750 -0.20669815 -0.23657467 0.65789762 0.68445531 0.27158797 -0.58044183 -0.06459945 -0.19373290 -0.17700098 0.59769864 0.75755834 0.42827413 -0.44928834 -0.25094270 -0.48557139 0.37826094 0.62521527 0.47983863 0.08184803 -0.63001066 -0.25650266 0.22130791 -0.63175660 0.37202162 0.64304459 0.47172764 -0.43328240 -0.49494517 -0.40150379 0.40958446 0.68218184 0.45350095 0.04536575 -0.64764880 -0.50271340 0.20459135 -0.65659556 0.49700521 0.52916018 0.56275350 -0.50600530 -0.75605710 -0.43820534 0.42974200 0.75260696 0.23849700 0.04209405 -0.75997293 -0.77215606 0.37912094 -0.72146531 0.50283627 0.28794245 0.56809040 -0.53892297 -0.84106750 -0.43820565 0.42974185 0.75260674 0.23849704 0.08015102 -0.79576320 -0.84833410 0.37912094 -0.72146511 0.50283647 0.28794259
0.060000 0.27226700 -0.57938670 -0.67376465 -0.15806054 -0.16250163 0.69263205 0.68474153 0.31939500 -0.53481040 -0.76083046 -0.14834112 -0.17889104 0.67100732 0.70408959 0.21193208 -0.59297335 -0.76720100 -0.14359124 -0.12313043 0.69069683 0.69796732 0.25855562 -0.54292923 -0.55575120 -0.17449931 -0.16631865 0.68149727 0.69097733 0.37269990 -0.50406545 -1.14649800 -0.11582721 -0.13880801 0.69637841 0.69453118 0.16006741 -0.60550610 -1.15477109 -0.14410455 -0.12931352 0.68574656 0.70161499 0.27738985 -0.56644780 -0.41328960 -0.15342084 -0.16332861 0.68186555 0.69630824 0.35917527 -0.47246945 -1.56676245 -0.16577688 -0.19706824 0.68749440 0.67899454 0.15359184 -0.55837065 -1.57010674 -0.07000821 -0.09422618 0.69199617 0.71229324 0.27618644 -0.57189280 -0.35422227 -0.14903365 -0.16815546 0.70153982 0.67628002 0.45125183 -0.55346507 -1.61890030 -0.16570421 -0.19711299 0.68751115 0.67898240 0.15279162 -0.68191430 -1.63246632 -0.07000712 -0.09424701 0.69200127 0.71228565 0.24021430 -0.53808725 -0.13996822 -0.15883964 -0.18355564 0.66556001 0.70576710 0.33141570 -0.51768330 -0.23705900 -0.11787602 -0.11607662 0.71224871 0.68215342 0.18435293 -0.58415650 -0.24343249 -0.20740077 -0.23679625 0.65781635 0.68424417 0.27164823 -0.58030000 -0.06454145 -0.19386000 -0.17722787 0.59809472 0.75716000 0.42809886 -0.44903445 -0.25104913 -0.48600746 0.37807694 0.62533582 0.47938483 0.08192181 -0.63025785 -0.25632328 0.22020446 -0.63204066 0.37214418 0.64307335 0.47138828 -0.43301964 -0.49508023 -0.40213231 0.40927639 0.68192775 0.45360457 0.04533160 -0.64835835 -0.50248444 0.20380064 -0.65663687 0.49737927 0.52906259 0.56265450 -0.50593394 -0.75613660 -0.43853826 0.43006464 0.75215185 0.23873866 0.04219446 -0.76026916 -0.77214060 0.37765010 -0.72129311 0.50359869 0.28897255 0.56788900 -0.53880670 -0.84117085 -0.43853851 0.43006504 0.75215168 0.23873813 0.07998662 -0.79615210 -0.84840685 0.37764978 -0.72129287 0.50359917 0.28897250
0.070000 0.27218804 -0.57943970 -0.67369920 -0.15835686 -0.16278184 0.69272202 0.68451551 0.31928527 -0.53486276 -0.76078130 -0.14862405 -0.17904942 0.67101507 0.70398228 0.21187153 -0.59311830 -0.76713410 -0.14380650 -0.12357527 0.69070138 0.69783982 0.25843728 -0.54294133 -0.55570300 -0.17493399 -0.16657549 0.68151738 0.69078560 0.37252578 -0.50416430 -1.14646125 -0.11585579 -0.13885972 0.69642582 0.69446849 0.16015690 -0.60574204 -1.15472126 -0.14439324 -0.12957668 0.68569980 0.70155277 0.27731898 -0.56639180 -0.41323647 -0.15398728 -0.16358741 0.68187009 0.69611796 0.35902298 -0.47263253 -1.56673145 -0.16576842 -0.19709850 0.68750581 0.67897628 0.15363385 -0.55861944 -1.57005763 -0.07027429 -0.09428677 0.69197000 0.71228443 0.27614272 -0.57181627 -0.35416666 -0.14963918 -0.16844919 0.70150929 0.67610479 0.45110542 -0.55362660 -1.61886120 -0.16569572 -0.19714291 0.68752237 0.67896432 0.15287387 -0.68216443 -1.63241500 -0.07027282 -0.09430784 0.69197496 0.71227695 0.24021304 -0.53798854 -0.13990885 -0.15927236 -0.18369802 0.66565197 0.70554574 0.33134887 -0.51749784 -0.23704290 -0.11847913 -0.11638106 0.71225909 0.68198614 0.18436979 -0.58416320 -0.24333590 -0.20801339 -0.23705046 0.65773106 0.68405214 0.27170226 -0.58013433 -0.06446760 -0.19397061 -0.17759601 0.59855018 0.75668536 0.42794204 -0.44873740 -0.25110504 -0.48663929 0.37766369 0.62548735 0.47887152 0.08200491 -0.63042890 -0.25616273 0.21951464 -0.63220170 0.37213256 0.64315766 0.47104883 -0.43262540 -0.49516240 -0.40278984 0.40863217 0.68179594 0.45380001 0.04533358 -0.64878106 -0.50229350 0.20324937 -0.65666799 0.49769521 0.52893905 0.56309760 -0.50561700 -0.75601774 -0.43882755 0.43015789 0.75183942 0.23902352 0.04292399 -0.76000320 -0.76961450 0.37487621 -0.72290523 0.50362358 0.28851203 0.56827180 -0.53842900 -0.84107930 -0.43882792 0.43015816 0.75183913 0.23902281 0.08072582 -0.79621300 -0.84572140 0.37487580 -0.72290521 0.50362378 0.28851225
0.080000 0.27220544 -0.57955396 -0.67365485 -0.15851586 -0.16296873 0.69283273 0.68432212 0.31929198 -0.53498920 -0.76074900 -0.14886757 -0.17905626 0.67083859 0.70409723 0.21190831 -0.59330120 -0.76709210 -0.14389416 -0.12374416 0.69050955 0.69798173 0.25842062 -0.54301393 -0.55567557 -0.17521688 -0.16677253 0.68169699 0.69048911 0.37236226 -0.50414807 -1.14644110 -0.11588129 -0.13892751 0.69637234 0.69450434 0.16020772 -0.60575354 -1.15468681 -0.14445568 -0.12962412 0.68555414 0.70167347 0.27731190 -0.56635460 -0.41319224 -0.15431380 -0.16383522 0.68201891 0.69584159 0.35887042 -0.47256222 -1.56670737 -0.16574359 -0.19719447 0.68749197 0.67896845 0.15363891 -0.55847940 -1.57000518 -0.07026539 -0.09416640 0.69196466 0.71230641 0.27613795 -0.57174370 -0.35411918 -0.15000103 -0.16876146 0.70163849 0.67581265 0.45096990 -0.55354390 -1.61882615 -0.16567072 -0.19723872 0.68750860 0.67895655 0.15284640 -0.68202280 -1.63236523 -0.07026394 -0.09418734 0.69196973 0.71229887 0.24016431 -0.53781950 -0.13988406 -0.15946792 -0.18398215 0.66579197 0.70529543 0.33128515 -0.51729983 -0.23702598 -0.11882756 -0.11670823 0.71241457 0.68170717 0.18437143 -0.58411180 -0.24328566 -0.20840112 -0.23732364 0.65783096 0.68374336 0.27166137 -0.57990510 -0.06441259 -0.19406103 -0.17783446 0.59883090 0.75638408 0.42779260 -0.44841436 -0.25106317 -0.48711920 0.37732556 0.62563267 0.47846013 0.08203699 -0.63046650 -0.25603270 0.21886574 -0.63220657 0.37241025 0.64321330 0.47076702 -0.43223310 -0.49513900 -0.40309589 0.40862578 0.68179990 0.45352797 0.04521150 -0.64911765 -0.50211780 0.20207822 -0.65711465 0.49759260 0.52892944 0.56308150 -0.50554126 -0.75609386 -0.43891202 0.43000940 0.75182613 0.23917702 0.04300671 -0.76021780 -0.76969230 0.37397954 -0.72441175 0.50292719 0.28710823 0.56826430 -0.53831524 -0.84116940 -0.43891167 0.43000943 0.75182635 0.23917687 0.08107152 -0.79661340 -0.84557910 0.37397947 -0.72441220 0.50292685 0.28710814
0.090000 0.27223352 -0.57963070 -0.67362904 -0.15859269 -0.16305903 0.69288621 0.68422871 0.31931484 -0.53507180 -0.76072900 -0.14898530 -0.17905942 0.67075316 0.70415290 0.21194573 -0.59341115 -0.76706743 -0.14393647 -0.12382566 0.69041641 0.69805069 0.25843218 -0.54307050 -0.55565790 -0.17535390 -0.16686776 0.68178390 0.69034549 0.37230274 -0.50416160 -1.14642692 -0.11589324 -0.13896024 0.69634661 0.69452168 0.16025177 -0.60578024 -1.15466559 -0.14448577 -0.12964660 0.68548354 0.70173219 0.27732813 -0.56635790 -0.41316652 -0.15447215 -0.16395521 0.68209081 0.69570774 0.35881641 -0.47254977 -1.56669140 -0.16573115 -0.19724104 0.68748555 0.67896451 0.15366062 -0.55843260 -1.56997514 -0.07026082 -0.09410736 0.69196222 0.71231700 0.27615535 -0.57173000 -0.35409188 -0.15017665 -0.16891287 0.70170079 0.67567110 0.45092422 -0.55352545 -1.61880469 -0.16565828 -0.19728530 0.68750218 0.67895260 0.15285203 -0.68197510 -1.63233638 -0.07025936 -0.09412822 0.69196733 0.71230940 0.24016044 -0.53775924 -0.13986778 -0.15956284 -0.18412012 0.66585950 0.70517416 0.33127403 -0.51722540 -0.23701352 -0.11899677 -0.11686692 0.71248961 0.68157202 0.18439184 -0.58410850 -0.24325699 -0.20858937 -0.23745621 0.65787900 0.68359364 0.27166128 -0.57981570 -0.06438171 -0.19412303 -0.17796777 0.59898589 0.75621409 0.42774000 -0.44827923 -0.25103858 -0.48735347 0.37716221 0.62570200 0.47825970 0.08207200 -0.63050630 -0.25596530 0.21855123 -0.63221037 0.37254403 0.64323891 0.47065040 -0.43206424 -0.49512340 -0.40324688 0.40862306 0.68180084 0.45339475 0.04517160 -0.64930240 -0.50202805 0.20151143 -0.65733254 0.49754098 0.52892351 0.56308675 -0.50549585 -0.75614090 -0.43897434 0.42986544 0.75187219 0.23917664 0.04309152 -0.76037025 -0.76975850 0.37358099 -0.72543492 0.50224589 0.28623503 0.56828076 -0.53825515 -0.84122140 -0.43897470 0.42986550 0.75187201 0.23917646 0.08136345 -0.79684390 -0.84550357 0.37358079 -0.72543503 0.50224573 0.28623523
