Wall time,Step,Value
1774600909.217873,0,-1.2434282302856445
1774600909.2388403,1,-1.2434282302856445
1774600909.258629,2,-1.2434282302856445
1774600909.2790933,3,-1.2434282302856445
1774600909.2990196,4,-1.2434282302856445
1774600909.3194056,5,-1.2434282302856445
1774600909.3409228,6,-1.2434282302856445
1774600909.3609755,7,-1.2434282302856445
1774600909.3814104,8,-1.2434282302856445
1774600909.4004784,9,-1.2434282302856445
1774600909.422872,10,-1.2434282302856445
1774600909.442517,11,-1.2434282302856445
1774600909.4619036,12,-1.2434282302856445
1774600909.4820147,13,-1.2434282302856445
1774600909.5034552,14,-1.2434282302856445
1774600909.524267,15,-1.2434282302856445
1774600909.5440764,16,-1.2434282302856445
1774600909.5634055,17,-1.2434282302856445
1774600909.585122,18,-1.2434282302856445
1774600909.604452,19,-1.2434282302856445
1774600909.6253812,20,-1.2434282302856445
1774600909.648741,21,-1.2434282302856445
1774600909.6646016,22,-1.2434282302856445
1774600909.687353,23,-1.2434282302856445
1774600909.7075639,24,-1.2434282302856445
1774600909.7273397,25,-1.2434282302856445
1774600909.7472773,26,-1.2434282302856445
1774600909.7671313,27,-1.2434282302856445
1774600909.7885928,28,-1.2434282302856445
1774600909.8082364,29,-1.2434282302856445
1774600909.8289564,30,-1.2434282302856445
1774600909.8514192,31,-1.2434282302856445
1774600909.871059,32,-1.2434282302856445
1774600909.889598,33,-1.2434282302856445
1774600909.9107437,34,-1.2434282302856445
1774600909.9310915,35,-1.2434282302856445
1774600909.9517632,36,-1.2434282302856445
1774600909.9721029,37,-1.2434282302856445
1774600909.9907343,38,-1.2434282302856445
1774600910.0151463,39,-1.2434282302856445
1774600910.0337994,40,-1.2434282302856445
1774600910.052619,41,-1.2434282302856445
1774600910.0748136,42,-1.2434282302856445
1774600910.0941758,43,-1.2434282302856445
1774600910.11504,44,-1.2434282302856445
1774600910.1361518,45,-1.2434282302856445
1774600910.1556776,46,-1.2434282302856445
1774600910.1769092,47,-1.2434282302856445
1774600910.1972587,48,-1.2434282302856445
1774600910.2164202,49,-1.2434282302856445
1774600910.235604,50,-1.2434282302856445
1774600910.2595203,51,-1.2434282302856445
1774600910.2777388,52,-1.2434282302856445
1774600910.2963934,53,-1.2434282302856445
1774600910.320986,54,-1.2434282302856445
1774600910.338329,55,-1.2434282302856445
1774600910.3584654,56,-1.2434282302856445
1774600910.3801847,57,-1.2434282302856445
1774600910.400096,58,-1.2434282302856445
1774600910.4190693,59,-1.2434282302856445
1774600910.4396665,60,-1.2434282302856445
1774600910.461843,61,-1.2434282302856445
1774600910.481657,62,-1.2434282302856445
1774600910.5029714,63,-1.2434282302856445
1774600910.5212648,64,-1.2434282302856445
1774600910.5431838,65,-1.2434282302856445
1774600910.5625587,66,-1.2434282302856445
1774600910.5831902,67,-1.2434282302856445
1774600910.603861,68,-1.2434282302856445
1774600910.6246803,69,-1.2434282302856445
1774600910.6445818,70,-1.2434282302856445
1774600910.6655676,71,-1.2434282302856445
1774600910.6856198,72,-1.2373294830322266
1774600910.7114708,73,-1.2149450778961182
1774600910.7264411,74,-1.2149450778961182
1774600910.746269,75,-1.2101970911026
1774600910.7671335,76,-1.2101970911026
1774600910.7864606,77,-1.2319034337997437
1774600910.807908,78,-1.1600232124328613
1774600910.8282685,79,-1.0101386308670044
1774600910.8467588,80,-0.8405593037605286
1774600910.8685467,81,-0.6933645009994507
1774600910.887829,82,-0.6852247714996338
1774600910.9083316,83,-0.6852247714996338
1774600910.9295928,84,-0.6852247714996338
1774600910.9498634,85,-0.6852247714996338
1774600910.9712415,86,-0.6852247714996338
1774600910.9913642,87,-0.6852247714996338
1774600911.0106952,88,-0.6852247714996338
1774600911.031369,89,-0.6852247714996338
1774600911.0504823,90,-0.6852247714996338
1774600911.0714097,91,-0.6852247714996338
1774600911.092609,92,-0.6852247714996338
1774600911.1135502,93,-0.6852247714996338
1774600911.1340632,94,-0.6852247714996338
1774600911.1544774,95,-0.6852247714996338
1774600911.1759715,96,-0.6852247714996338
1774600911.1972458,97,-0.6852247714996338
1774600911.215571,98,-0.6852247714996338
1774600911.2349315,99,-0.6852247714996338
1774600911.2534559,100,-0.6852247714996338
1774600911.2741146,101,-0.6852247714996338
1774600911.2958481,102,-0.6852247714996338
1774600911.3174758,103,-0.6852247714996338
1774600911.3368554,104,-0.6852247714996338
1774600911.357361,105,-0.6852247714996338
1774600911.3776088,106,-0.6852247714996338
1774600911.3982103,107,-0.6852247714996338
1774600911.4195096,108,-0.6852247714996338
1774600911.4401095,109,-0.6852247714996338
1774600911.4604871,110,-0.6852247714996338
1774600911.4807532,111,-0.6852247714996338
1774600911.4992476,112,-0.6852247714996338
1774600911.52019,113,-0.6852247714996338
1774600911.5390344,114,-0.6852247714996338
1774600911.5610905,115,-0.6852247714996338
1774600911.5804455,116,-0.6852247714996338
1774600911.6043053,117,-0.6852247714996338
1774600911.621269,118,-0.6852247714996338
1774600911.6423514,119,-0.6852247714996338
1774600911.6630251,120,-0.6852247714996338
1774600911.683219,121,-0.6852247714996338
1774600911.7044418,122,-0.6852247714996338
1774600911.7241652,123,-0.6852247714996338
1774600911.7452252,124,-0.6852247714996338
1774600911.7642813,125,-0.6852247714996338
1774600911.7856698,126,-0.6852247714996338
1774600911.8057609,127,-0.6852247714996338
1774600911.8258858,128,-0.6852247714996338
1774600911.849776,129,-0.6852247714996338
1774600911.8663306,130,-0.6852247714996338
1774600911.8880098,131,-0.6852247714996338
1774600911.9076004,132,-0.6852247714996338
1774600911.9289737,133,-0.6852247714996338
1774600911.9489372,134,-0.6852247714996338
1774600911.9686143,135,-0.6852247714996338
1774600911.9898963,136,-0.6852247714996338
1774600912.009849,137,-0.6852247714996338
1774600912.0301118,138,-0.6852247714996338
1774600912.0495663,139,-0.6852247714996338
1774600912.0699835,140,-0.6852247714996338
1774600912.0907583,141,-0.6852247714996338
1774600912.111285,142,-0.6852247714996338
1774600912.1327567,143,-0.6852247714996338
1774600912.1517832,144,-0.6852247714996338
1774600912.172578,145,-0.6852247714996338
1774600912.1935909,146,-0.6852247714996338
1774600912.213369,147,-0.6852247714996338
1774600912.2344642,148,-0.6852247714996338
1774600912.2569187,149,-0.6852247714996338
1774600912.2758787,150,-0.6852247714996338
1774600912.2946796,151,-0.6852247714996338
1774600912.3161469,152,-0.6852247714996338
1774600912.3362105,153,-0.6852247714996338
1774600912.3553154,154,-0.6852247714996338
1774600912.3756332,155,-0.6852247714996338
1774600912.3967288,156,-0.6852247714996338
1774600912.417478,157,-0.6852247714996338
1774600912.4374459,158,-0.6852247714996338
1774600912.4582968,159,-0.6852247714996338
1774600912.4773955,160,-0.6852247714996338
1774600912.498479,161,-0.6852247714996338
1774600912.5194926,162,-0.6852247714996338
1774600912.5392723,163,-0.6852247714996338
1774600912.55941,164,-0.6852247714996338
1774600912.5799086,165,-0.6852247714996338
1774600912.6004593,166,-0.6852247714996338
1774600912.620173,167,-0.6852247714996338
1774600912.6404574,168,-0.6852247714996338
1774600912.6611574,169,-0.6852247714996338
1774600912.6822402,170,-0.6852247714996338
1774600912.701681,171,-0.6852247714996338
1774600912.7227852,172,-0.6852247714996338
1774600912.741861,173,-0.6852247714996338
1774600912.7628458,174,-0.6852247714996338
1774600912.7834778,175,-0.6852247714996338
1774600912.803748,176,-0.6852247714996338
1774600912.8241446,177,-0.6852247714996338
1774600912.8451016,178,-0.6852247714996338
1774600912.8649797,179,-0.6852247714996338
1774600912.8858798,180,-0.6173930764198303
1774600912.9068134,181,-0.5020792484283447
1774600912.9266243,182,-0.39490512013435364
1774600912.9458573,183,-0.3365699350833893
1774600912.9667141,184,-0.3338566720485687
1774600912.987473,185,-0.3338566720485687
1774600913.0064974,186,-0.3338566720485687
1774600913.027855,187,-0.3338566720485687
1774600913.0480704,188,-0.3338566720485687
1774600913.0676,189,-0.3338566720485687
1774600913.0889277,190,-0.3338566720485687
1774600913.1088583,191,-0.3338566720485687
1774600913.1295204,192,-0.3338566720485687
1774600913.1500425,193,-0.3338566720485687
1774600913.1698103,194,-0.3338566720485687
1774600913.1916738,195,-0.3338566720485687
1774600913.2102392,196,-0.3338566720485687
1774600913.2314327,197,-0.3338566720485687
1774600913.25147,198,-0.3338566720485687
1774600913.2725134,199,-0.3338566720485687
1774600913.2935688,200,-0.3338566720485687
1774600913.313043,201,-0.3338566720485687
1774600913.3334281,202,-0.3338566720485687
1774600913.3541768,203,-0.3338566720485687
1774600913.374584,204,-0.3338566720485687
1774600913.3951597,205,-0.3338566720485687
1774600913.4151292,206,-0.3338566720485687
1774600913.435328,207,-0.3338566720485687
1774600913.454919,208,-0.3338566720485687
1774600913.4752123,209,-0.3338566720485687
1774600913.4975166,210,-0.3338566720485687
1774600913.5176704,211,-0.3338566720485687
1774600913.5384378,212,-0.3338566720485687
1774600913.5585456,213,-0.3338566720485687
1774600913.5786734,214,-0.3338566720485687
1774600913.5983639,215,-0.3338566720485687
1774600913.619098,216,-0.3338566720485687
1774600913.6393678,217,-0.3338566720485687
1774600913.6603303,218,-0.3338566720485687
1774600913.6808991,219,-0.3338566720485687
1774600913.7018166,220,-0.3338566720485687
