Wall time,Step,Value
1774600909.2204413,0,0.0
1774600909.2415688,1,0.0
1774600909.260879,2,0.0
1774600909.2813644,3,0.0
1774600909.3015962,4,0.0
1774600909.3226848,5,0.0
1774600909.3436592,6,0.0
1774600909.3630564,7,0.0
1774600909.3841531,8,0.0
1774600909.4027863,9,0.0
1774600909.4257743,10,0.0
1774600909.444007,11,0.0
1774600909.4643793,12,0.0
1774600909.4845583,13,0.0
1774600909.5065045,14,0.0
1774600909.5258026,15,0.0
1774600909.5463226,16,0.0
1774600909.5649042,17,0.0
1774600909.5884876,18,0.0
1774600909.606554,19,0.0
1774600909.6271734,20,0.0
1774600909.65093,21,0.0
1774600909.6664753,22,0.0
1774600909.691414,23,0.0
1774600909.711515,24,0.0
1774600909.7298148,25,0.0
1774600909.7493515,26,0.0
1774600909.769933,27,0.0
1774600909.7913244,28,0.0
1774600909.811262,29,0.0
1774600909.8313808,30,0.0
1774600909.8546114,31,0.0
1774600909.8738465,32,0.0
1774600909.891656,33,0.0
1774600909.9132588,34,0.0
1774600909.9336317,35,0.0
1774600909.9550228,36,0.0
1774600909.9757814,37,0.0
1774600909.9934146,38,0.0
1774600910.0173066,39,0.0
1774600910.037153,40,0.0
1774600910.0547001,41,0.0
1774600910.0780938,42,0.0
1774600910.0963845,43,0.0
1774600910.1183283,44,0.0
1774600910.1382005,45,0.0
1774600910.1582904,46,0.0
1774600910.1794662,47,0.0
1774600910.2000518,48,0.0
1774600910.2195354,49,0.0
1774600910.2379055,50,0.0
1774600910.2611196,51,0.0
1774600910.279523,52,0.0
1774600910.2979975,53,0.0
1774600910.3235343,54,0.0
1774600910.3416595,55,0.0
1774600910.36014,56,0.0
1774600910.3822029,57,0.0
1774600910.401649,58,0.0
1774600910.4211347,59,0.0
1774600910.4421017,60,0.0
1774600910.4641006,61,0.0
1774600910.4843671,62,0.0
1774600910.5059872,63,0.0
1774600910.523199,64,0.0
1774600910.545313,65,0.0
1774600910.5653121,66,0.0
1774600910.586403,67,0.0
1774600910.6066496,68,0.0
1774600910.6266646,69,0.0
1774600910.647368,70,4.4646525382995605
1774600910.667337,71,4.437304973602295
1774600910.6881056,72,4.367921829223633
1774600910.714483,73,4.309785842895508
1774600910.7285495,74,4.305833339691162
1774600910.7493954,75,4.303651332855225
1774600910.7701476,76,4.317995071411133
1774600910.789014,77,4.317995071411133
1774600910.810192,78,4.306746482849121
1774600910.8306112,79,4.306201457977295
1774600910.8484085,80,4.2750725746154785
1774600910.8702707,81,4.251878261566162
1774600910.8896775,82,4.247590065002441
1774600910.9104614,83,4.313106536865234
1774600910.9312856,84,4.283083915710449
1774600910.9522908,85,4.258408546447754
1774600910.9736047,86,4.190253734588623
1774600910.994644,87,4.148129940032959
1774600911.0130439,88,4.058002948760986
1774600911.0347793,89,4.014101982116699
1774600911.052956,90,3.9563369750976562
1774600911.0734875,91,3.9247701168060303
1774600911.0956295,92,3.893098831176758
1774600911.1160815,93,3.880962371826172
1774600911.1368425,94,3.852341413497925
1774600911.1596155,95,3.8119280338287354
1774600911.1798103,96,3.8119280338287354
1774600911.200726,97,3.795850992202759
1774600911.2188048,98,3.795850992202759
1774600911.2363884,99,3.7049732208251953
1774600911.2554185,100,3.6937808990478516
1774600911.2759056,101,3.70622181892395
1774600911.2982228,102,3.6656014919281006
1774600911.3205965,103,3.6577277183532715
1774600911.3384945,104,3.700990915298462
1774600911.3587756,105,3.7363715171813965
1774600911.3791444,106,3.7396047115325928
1774600911.400389,107,3.723423480987549
1774600911.423231,108,3.723273754119873
1774600911.4435606,109,3.6853556632995605
1774600911.4631855,110,3.655637502670288
1774600911.4835842,111,3.655308246612549
1774600911.5011215,112,3.636190414428711
1774600911.5224133,113,3.6039462089538574
1774600911.5405822,114,3.5755934715270996
1774600911.5633247,115,3.5107221603393555
1774600911.583154,116,3.5148234367370605
1774600911.6074789,117,3.4914939403533936
1774600911.6236124,118,3.4896793365478516
1774600911.6440537,119,3.475292682647705
1774600911.6652095,120,3.453187942504883
1774600911.6849356,121,3.4300832748413086
1774600911.7062836,122,3.3691699504852295
1774600911.7258263,123,3.3691699504852295
1774600911.7484102,124,3.3023269176483154
1774600911.7682204,125,3.3023269176483154
1774600911.7877252,126,3.292816162109375
1774600911.8089943,127,3.2386910915374756
1774600911.82788,128,3.1989541053771973
1774600911.853224,129,3.186108350753784
1774600911.8696237,130,3.1358306407928467
1774600911.8907259,131,3.059889316558838
1774600911.9109852,132,3.0475029945373535
1774600911.9321713,133,2.9398176670074463
1774600911.9503932,134,2.9050498008728027
1774600911.9709678,135,2.895663022994995
1774600911.993001,136,2.884051561355591
1774600912.012588,137,2.8903656005859375
1774600912.0325577,138,2.916450262069702
1774600912.0514662,139,2.9572858810424805
1774600912.0723822,140,2.973742961883545
1774600912.0929966,141,2.999617338180542
1774600912.1131864,142,2.9998974800109863
1774600912.1353307,143,2.969235897064209
