Wall time,Step,Value
1775199174.6559699,3,0.6685603260993958
1775199174.676296,4,0.618912935256958
1775199174.7974744,10,0.45143774151802063
1775199174.8797636,14,0.3420027494430542
1775199174.9001908,15,0.3450956344604492
1775199174.9605665,18,0.3272126019001007
1775199174.9815464,19,0.31014102697372437
1775199175.0015683,20,0.31055504083633423
1775199175.0422468,22,0.29861217737197876
1775199175.0630076,23,0.28797581791877747
1775199175.1240134,26,0.5837300419807434
1775199175.1449196,27,0.5011758208274841
1775199175.2669077,33,0.7165744304656982
1775199175.3687627,38,0.45569977164268494
1775199175.4097087,40,0.32709893584251404
1775199175.551957,47,-0.13194340467453003
1775199175.5716782,48,-0.2922222316265106
1775199175.5940733,49,-0.4449549913406372
1775199175.634269,51,-0.590386688709259
1775199175.6948118,54,-1.0402292013168335
1775199175.7563696,57,-1.3836771249771118
1775199175.817184,60,-1.6897770166397095
1775199175.8375416,61,-1.7517938613891602
1775199175.8573635,62,-1.7517938613891602
1775199175.879012,63,-1.8248323202133179
1775199175.9187932,65,-2.0301432609558105
1775199175.9398022,66,-2.0301432609558105
1775199175.9593945,67,-2.102787733078003
1775199175.9801874,68,-2.3036978244781494
1775199176.0215247,70,-2.3527514934539795
1775199176.041717,71,-2.3997092247009277
1775199176.1644402,77,-2.5919008255004883
1775199176.2046359,79,-2.534433126449585
1775199176.2243843,80,-2.4606151580810547
1775199176.2673094,82,-2.371352434158325
1775199176.3271391,85,-2.247079849243164
1775199176.407676,89,-2.0285274982452393
1775199176.4281123,90,-1.9518133401870728
1775199176.6113796,99,-1.3896417617797852
1775199176.6327333,100,-1.3896417617797852
1775199176.6940439,103,-1.234985589981079
1775199176.7537801,106,-1.457879900932312
1775199176.7754526,107,-1.466517448425293
1775199176.8154066,109,-1.4251818656921387
1775199176.9585598,116,-1.1824308633804321
1775199177.060972,121,-1.0213267803192139
1775199177.1440532,125,-0.9610790610313416
1775199177.162987,126,-0.9651220440864563
1775199177.2035456,128,-1.0003646612167358
1775199177.2446141,130,-1.0410254001617432
1775199177.265027,131,-1.0735336542129517
1775199177.3664036,136,-0.9685036540031433
