# time m_tauc_0 m_tauc_1 m_tauc_2 m_tauc_3 m_tauc_4 m_tauc_5 m_tauc_6 m_tauc_7 m_tauc_8 m_tauc_9 m_tauc_10 m_tauc_11 m_tauc_12 m_tauc_13 m_tauc_14 m_tauc_15 m_tauc_16 m_tauc_17 m_tauc_18 m_tauc_19 m_tauc_20 m_tauc_21 m_tauc_22 m_tauc_23
0.180000 -26.240873 44.693878 40.902939 -25.960838 36.768585 3.086731 -5.371411 -45.835392 -43.397373 -18.855583 39.857307 -5.840811 -8.519670 -5.073465 -7.614172 0.392434 0.339984 -9.747849 10.355290 9.939067 13.955198 -8.163807 -0.495370 15.408667
0.200000 20.361519 -27.789413 6.281466 7.207994 -28.144598 4.505431 25.432562 -8.978433 21.531357 4.626905 -12.670856 -2.087896 -5.586679 5.438459 1.818599 4.778137 -5.904144 9.806108 -8.963915 2.728395 -3.127675 -1.542809 1.219630 -14.071058
0.220000 32.856972 -23.717737 -12.008871 10.889972 -11.621812 -0.582459 33.496944 19.282738 30.821033 22.184322 -28.326138 -0.103971 -5.520013 1.423360 2.751634 4.777813 -4.031809 0.069037 -0.929575 0.158361 -3.434366 2.459469 4.208042 1.075957
0.240000 -20.123583 8.803423 4.068255 -11.154263 21.559761 -0.483766 -8.682368 -8.915049 -9.842194 -15.603799 19.623854 1.960855 -6.019702 -6.913619 -11.614359 0.802244 -0.288228 -2.556394 4.212544 -2.696921 2.838325 -4.338958 -4.974213 0.252926
0.260000 -14.319634 7.275027 8.506972 8.455793 -16.201979 2.445807 11.343642 -21.721901 -2.986583 -30.734781 23.283796 1.516942 10.541448 -5.592996 1.420137 -0.472467 0.940008 -3.041766 1.030359 7.073532 5.697031 -4.278044 -0.114464 1.556026
0.280000 -25.192047 -12.964685 -8.908798 3.127789 -3.153184 -2.326359 34.227226 18.262543 6.310937 0.916218 -18.403950 0.750222 -10.576020 8.970078 0.501272 5.259171 -5.240973 5.887513 -4.663408 -4.143231 1.227653 -2.603714 -1.704873 -1.326496
0.300000 1.678118 17.940763 -6.570927 0.942735 5.072942 -0.149476 17.684820 -3.684183 -4.241819 -2.742880 11.960495 -0.729981 -4.099852 -8.207984 2.437075 -0.318673 -1.342856 -5.578779 4.392480 5.118111 2.435763 -1.091655 -0.888588 1.884028
0.320000 -12.425613 7.829821 -4.350211 -0.196179 3.686117 1.226611 5.040943 -4.573890 -7.937960 3.965914 -3.451149 0.293593 -8.417198 0.630149 -5.865681 0.766638 -0.373485 0.513405 0.399548 1.505107 4.231139 -2.352908 -0.293668 0.682687
0.340000 -26.906164 -10.179443 -1.131665 9.950055 -13.901841 1.846114 32.142731 9.184265 -16.195543 -7.519176 6.815872 -1.955811 1.201926 -1.410968 2.381708 0.767677 -0.264152 -2.343168 1.088640 4.487470 0.512850 -1.061842 -3.687438 2.239856
0.360000 -0.796993 4.171134 0.929943 4.042852 -0.287882 -2.810982 39.422192 6.000403 -5.804209 -1.517960 6.642951 -0.728096 -3.489727 -3.144661 -2.639914 0.720622 -0.900138 3.410177 -1.776322 -1.322088 1.944410 -3.074783 2.753063 -2.202953
0.380000 0.736976 17.423771 -11.320992 -3.289201 2.265578 -1.893649 29.661978 -11.386242 0.875958 -6.318600 11.216825 0.980463 6.187036 -2.142745 -0.767469 0.286070 0.648486 -1.755972 0.882356 0.822424 0.080379 0.462671 0.772759 -1.147637
0.400000 2.196519 -1.085979 -6.183487 0.040126 -2.493961 1.398739 41.742294 7.151563 -16.006689 -10.917743 11.276929 -1.660938 -1.866165 0.840930 -2.443800 2.189775 -2.999999 -2.089454 1.789723 -3.202842 0.635674 -0.944115 -3.284531 3.161409
0.420000 -17.691067 3.659642 -2.536131 6.117581 -6.315686 1.286527 35.718552 2.344714 -13.810686 -4.372850 5.720738 -2.593609 -3.641919 0.579029 0.291373 2.223651 -3.539070 0.183485 0.667625 1.531219 0.594469 -0.430019 -0.008982 -0.587954
0.440000 -15.027186 12.624376 -4.256517 -1.912859 5.404989 -0.587185 35.362041 -4.821626 -10.167627 -3.996003 6.292437 -0.323393 -2.955893 3.792886 -1.313305 1.363845 -1.638165 0.346212 -0.781202 1.239666 1.808015 -1.647352 0.273050 -0.248516
0.460000 -6.379933 -0.159616 -3.379900 4.509329 -7.309675 0.365932 44.539867 -0.859843 -10.957092 -5.727314 7.497391 -1.612923 2.988026 0.184357 -1.347457 0.204627 -0.964421 -2.650224 2.315104 1.370896 -0.009498 -0.057797 -2.566662 1.684432
0.480000 -16.768267 7.285491 0.751044 -1.558239 6.923876 0.317002 38.601559 0.941889 -14.634739 -1.983261 4.754836 -2.368913 -4.938550 -4.175428 -1.385798 2.318661 -1.585608 0.554470 -0.397830 0.658933 1.089015 -1.237972 1.490636 -0.210667
0.500000 -13.725512 9.123427 3.548790 1.592047 -0.263114 2.358315 38.806290 -3.476112 -11.381386 -10.422948 13.934636 -0.043918 5.549285 -3.464437 -0.149497 1.003392 -1.592189 -1.125017 0.994043 1.444594 1.949669 -1.590521 -1.420707 0.601956
0.520000 -9.688906 4.647357 -1.054217 1.140203 -3.282858 1.832213 38.749107 1.564522 -7.528796 -6.931045 6.363755 -1.664156 -1.028008 -0.168220 -0.325060 2.266619 -2.457254 0.166860 -0.146409 -0.018821 0.790210 -0.582142 -0.221231 0.593794
0.540000 -11.142025 2.691617 -8.855114 0.999846 -2.504008 0.333957 35.137344 4.256066 -8.976736 -7.052797 6.423696 -1.942802 -2.609502 -5.642335 0.052551 2.713676 -2.860038 -0.271877 0.404669 0.151438 0.252008 -0.085506 -0.763921 0.476656
0.560000 -7.482653 4.588682 -2.734692 3.937867 -2.608153 0.256927 34.533203 -1.544183 -8.510373 -6.254419 6.607627 -0.033459 -0.250650 -5.218713 -0.709222 2.282151 -2.087420 -1.259087 1.063614 1.677827 2.002424 -1.933551 -0.341462 0.496728
0.580000 -19.598310 4.470561 -2.515581 4.697390 -4.580173 -0.384224 29.415478 -0.512682 -8.317920 -7.590384 6.623181 -1.204476 -1.506847 -1.446959 0.975341 2.814442 -1.660037 -0.636013 0.771871 -0.223819 0.895551 -1.213593 -0.680593 0.723853
0.600000 -12.551603 6.225063 -1.503310 3.186409 -2.154613 0.934733 35.064003 0.888309 -7.821004 -8.015011 7.655190 -1.782178 0.082842 -3.642461 0.381293 2.401958 -2.252947 -1.205689 1.094675 0.938549 1.840645 -1.301356 -1.443263 1.000720
0.620000 -11.106205 5.225687 0.045905 4.067333 -2.757288 0.977849 36.303600 -2.177677 -8.839077 -6.430665 5.308266 -0.772264 -1.323294 -4.921718 -0.384074 1.727108 -1.986290 -0.794942 0.580171 1.534159 2.388095 -2.538323 -0.525762 0.703138
0.640000 -13.952975 6.739991 -3.352737 1.025516 1.388037 0.570513 33.968410 0.338896 -11.168913 -8.161793 7.373814 -1.265197 -1.053275 -4.791122 0.537596 3.197521 -2.023537 -0.780093 1.025847 0.809939 2.187491 -2.079727 -1.136515 0.930832
0.660000 -6.962237 3.723403 -2.155061 3.166745 -2.264236 1.133878 35.699585 0.493901 -11.514343 -7.543930 6.381947 -1.786921 -0.084606 -5.354383 -1.118605 2.385279 -2.698956 -1.434568 1.350918 0.671717 2.785443 -2.665260 -1.687331 1.230862
0.680000 -7.748278 4.128094 -1.439849 2.074417 -0.723763 0.224460 33.009144 -0.355072 -11.268181 -4.270890 3.054932 -1.613328 -0.348887 -2.170765 -0.397754 2.691574 -2.167593 -0.529586 0.416184 1.618309 2.403062 -2.571212 -0.510256 0.906177
0.700000 -4.089780 4.905611 -0.538914 1.407829 -0.234871 0.560044 32.739922 1.023522 -12.610258 -6.609184 6.628861 -1.722941 1.922154 -3.604028 -3.084626 1.774172 -2.668471 -1.354054 1.420102 0.931183 1.885671 -2.327408 -1.313580 0.898795
0.720000 -1.291848 4.706730 -0.464117 -1.193143 2.487041 0.747107 29.648964 -0.821113 -12.408247 -5.213431 4.962153 -1.514842 1.196612 -3.693069 -2.849926 2.630726 -2.694172 -1.453560 1.350988 0.579582 2.764976 -2.448699 -1.051894 0.854822
0.740000 4.264577 4.740456 -1.108721 -1.113330 2.285971 1.028908 28.402302 -1.738348 -12.311842 -4.089498 3.425224 -1.526638 2.565815 -2.479173 -3.048518 2.981144 -3.205286 -1.362932 1.301290 0.548071 3.257581 -3.335113 -1.575978 1.537808
0.760000 10.227893 6.309180 -1.380724 -2.088737 3.273708 0.726919 24.992546 0.818778 -11.279661 -2.713814 3.537901 -1.948777 2.737867 -2.373369 -3.079432 2.831733 -2.924483 -1.280267 1.180628 0.584144 3.294553 -3.424446 -0.931524 0.873921
0.780000 16.450556 8.310787 -3.235126 -3.613164 4.863297 0.619186 20.604471 1.930697 -11.430618 0.843527 1.030503 -1.424117 0.624025 -1.286319 -2.101552 2.416958 -2.423691 -1.403976 1.290392 -1.636232 3.630441 -3.250171 -1.468877 1.190159
0.800000 17.607206 11.205408 -4.372797 -3.699506 4.825769 0.623018 11.340591 1.443408 -9.943752 0.778975 3.574764 -0.879852 0.275196 -0.741862 -0.803377 1.670508 -0.817432 -1.353061 1.243857 0.546942 2.491125 -2.248654 -0.665884 0.551568
0.820000 16.549925 8.937961 -1.219205 -3.602180 3.460497 0.250067 4.202336 -1.249143 -4.807474 2.258592 0.698130 0.274451 -4.630104 3.261312 0.508712 0.794388 1.056831 -1.018130 0.832721 2.332529 0.505995 -0.956845 0.151999 0.194249
0.840000 14.420464 8.830175 -1.348584 -4.149447 4.904929 1.217198 -3.304642 2.229302 -4.937062 1.248003 2.118855 -0.064041 -3.564847 2.646762 0.470414 -0.714583 2.285672 -1.344775 1.656249 0.675268 0.003025 0.269969 -0.737363 0.438036
0.860000 20.305950 8.921144 -0.582151 -2.702467 3.534428 1.361263 -6.457263 6.256102 -7.727771 0.966794 2.249842 -0.473573 -2.579861 0.548702 -0.469410 -1.310070 2.349762 -1.479935 1.351988 0.355820 0.989010 -0.241856 -0.573489 0.313683
0.880000 27.532745 11.801578 -2.470779 -3.254246 4.439066 1.235387 -8.060909 4.762310 -6.141067 4.678369 -2.561893 -0.095809 -3.257890 -0.236315 -1.221151 -1.117643 1.748090 -0.888281 0.988948 -0.053337 1.623525 -1.024524 -0.495672 0.537253
0.900000 30.528717 17.612608 -7.476597 -5.973278 8.645224 1.724139 -11.162404 2.582390 -2.929785 3.125262 -0.532612 -0.115496 -3.523397 -0.380919 -3.666773 -0.296288 1.284474 -0.044278 0.203694 -0.097559 1.709818 -1.142941 -0.851736 0.775267
0.920000 32.203102 16.329016 -7.330297 -4.921089 6.985333 1.568423 -10.383453 3.462351 -4.090961 4.962379 -5.597684 0.119866 -3.074651 -0.503958 -4.610130 -0.540371 0.623414 0.587324 -0.583977 -0.187138 1.970571 -1.474186 -0.261969 0.813388
0.940000 33.347309 16.295824 -3.733834 -2.861150 5.934078 0.637949 -10.052322 1.739494 -3.608660 8.259847 -8.904105 0.770966 -5.913895 2.225798 -3.816409 -1.535101 1.128031 0.728264 -0.859802 0.311870 2.946961 -2.603813 -0.030588 0.358997
0.960000 16.484383 17.176317 -3.542215 5.161310 -3.111226 -0.354230 -27.449915 4.643910 2.148719 -9.718759 12.932693 -0.297497 -5.370018 -0.099188 -9.130768 -3.815989 1.725694 3.379802 -3.021137 -2.701793 3.604305 -1.742886 -2.222908 2.744131
0.980000 13.666637 4.652647 -5.171073 -1.045133 7.804265 -0.440160 -12.133411 -4.746671 4.966766 14.751932 -13.276911 -1.844319 -12.153275 21.736507 1.417526 -3.450461 2.432043 0.116815 0.225964 -1.196603 6.402965 -3.630695 -1.113140 1.824909
1.000000 -28.070013 11.899526 -11.239009 5.349884 1.984024 1.637008 -44.534309 6.062840 -9.705725 -13.074780 5.418717 1.911852 18.872719 33.237713 3.362318 -3.036766 7.844171 2.108615 -2.191359 2.402963 4.213640 -2.677474 0.181635 -0.657043
1.020000 -37.224663 9.071534 1.574454 -0.889553 -1.190792 0.995293 -10.701862 2.308136 6.333316 10.834236 -8.680906 0.090071 23.413002 43.054268 5.068381 -7.160483 9.890108 -0.167154 0.551276 5.262369 -4.215595 -2.539730 1.813574 -1.220425
1.040000 -19.340549 5.405661 -7.973040 13.237217 -17.396065 2.776733 -20.284088 -11.312889 5.250759 9.309732 -14.045618 -0.601628 22.018488 19.475710 2.161422 -9.687663 8.525805 -1.473947 1.034915 1.573076 -6.034768 7.339869 2.550263 -2.028761
1.060000 -3.886871 7.567281 -11.966888 3.886237 0.818713 0.039054 -8.368621 0.748728 -2.174120 -4.756266 11.593233 -0.061906 14.987175 -1.982076 -2.152985 -6.146883 4.205271 -1.703223 2.355300 0.064213 -3.697609 5.611094 0.067991 -0.844364
1.080000 -36.269783 -7.508010 10.589759 5.736130 -5.406151 -0.680469 -30.410149 4.701773 -2.900039 3.664254 -3.402686 -0.472610 13.582004 6.339725 -2.440242 -4.717154 0.968192 -4.472792 2.973088 0.728887 -0.816359 2.346325 2.346224 0.020174
1.100000 -22.660458 1.402589 -2.977990 3.304601 -2.979046 -1.064639 -29.371363 6.565207 -6.599727 -2.573349 -0.121418 0.884380 19.626015 11.251471 -4.032454 -4.214565 3.081183 0.521578 1.534376 -1.241748 -0.082954 2.506259 0.808752 -2.230061
