# time tau_applied_0 tau_applied_1 tau_applied_2 tau_applied_3 tau_applied_4 tau_applied_5 tau_applied_6 tau_applied_7 tau_applied_8 tau_applied_9 tau_applied_10 tau_applied_11 tau_applied_12 tau_applied_13 tau_applied_14 tau_applied_15 tau_applied_16 tau_applied_17 tau_applied_18 tau_applied_19 tau_applied_20 tau_applied_21 tau_applied_22 tau_applied_23
0.180000 -26.240873 0.000000 -80.000000 62.729424 -7.484365 3.086731 -5.371411 0.000000 80.000000 58.712891 -14.543694 -5.840811 -3.446205 13.593136 -7.614172 0.052451 -0.732418 -20.103140 -0.607441 9.939067 22.119005 -5.791391 -15.904037 -14.913297
0.200000 20.361519 -34.070881 21.507946 -35.352592 14.498597 4.505431 25.432562 30.509789 -12.552924 -17.297762 5.570436 -2.087896 -11.025138 0.148219 1.818599 10.682281 1.126007 18.770023 -0.842194 2.728395 -1.584866 4.670484 15.290688 12.851429
0.220000 32.856972 -11.708866 35.726608 -22.511784 0.506799 -0.582459 33.496944 11.538296 -50.103771 -50.510460 4.253207 -0.103971 -6.943373 4.096653 2.751634 8.809622 -0.746004 0.998612 0.860538 0.158361 -5.893835 0.974897 3.132085 -5.283999
0.240000 -20.123583 4.735168 -12.871677 32.714024 -7.205808 -0.483766 -8.682368 -0.927145 18.757242 35.227654 -2.783888 1.960855 0.893916 12.933321 -11.614359 1.090471 -0.514016 -6.768939 -1.656150 -2.696921 7.177283 1.500633 -5.227139 4.721287
0.260000 -14.319634 -1.231945 -15.782000 -24.657772 5.364233 2.445807 11.343642 18.735317 24.708485 54.018578 5.159807 1.516942 16.134443 -4.948452 1.420137 -1.412475 -0.467540 -4.072124 2.011407 7.073532 9.975075 -1.418987 -1.670491 -1.441562
0.280000 -25.192047 -4.055887 21.873484 -6.280972 0.017586 -2.326359 34.227226 -11.951606 -24.573479 -19.320168 12.110254 0.750222 -19.546099 1.605942 0.501272 10.500144 -0.018198 10.550921 -1.224105 -4.143231 3.831366 1.376061 -0.378377 3.031368
0.300000 1.678118 24.511690 -11.369837 4.130206 -4.165856 -0.149476 17.684820 -0.557636 7.926002 14.703375 -6.383198 -0.729981 4.108132 12.307836 2.437075 1.024183 1.661529 -9.971259 1.186299 5.118111 3.527418 -1.344108 -2.772616 -0.995439
0.320000 -12.425613 12.180032 -3.479610 3.882296 -2.416782 1.226611 5.040943 -3.364070 12.511849 -7.417063 -0.356475 0.293593 -9.047347 7.787049 -5.865681 1.140123 -0.393154 0.113857 -0.912953 1.505107 6.584047 -1.878231 -0.976354 -0.389019
0.340000 -26.906164 -9.047779 11.311108 -23.851896 2.736611 1.846114 32.142731 -25.379808 7.011278 14.335048 0.487038 -1.955811 2.612894 0.209042 2.381708 1.031828 -0.503525 -3.431808 1.254528 4.487470 1.574692 0.548992 -5.927294 1.447583
0.360000 -0.796993 3.241190 -5.101078 -4.330734 -2.600317 -2.810982 39.422192 -11.804612 -0.196195 8.160911 -3.549056 -0.728096 -0.345065 6.634388 -2.639914 1.620761 0.179516 5.186500 -1.633855 -1.322088 5.019193 1.130373 4.956016 -0.550110
0.380000 0.736976 28.744762 -6.102779 5.554780 0.708859 -1.893649 29.661978 12.262200 10.510283 17.535425 -3.392021 0.980463 8.329781 -4.044291 -0.767469 -0.362415 -0.934556 -2.638328 0.873616 0.822424 -0.382291 -0.543050 1.920395 0.374878
0.400000 2.196519 5.097508 7.269466 -2.534087 1.699280 1.398739 41.742294 -23.158253 8.855125 22.194672 -0.248736 -1.660938 -2.707096 1.025235 -2.443800 5.189774 0.810224 -3.879178 0.299731 -3.202842 1.579790 0.308441 -6.445940 0.123122
0.420000 -17.691067 6.195774 -1.123511 -12.433267 0.137187 1.286527 35.718552 -16.155399 11.465973 10.093589 -0.933412 -2.593609 -4.220948 3.062890 0.291373 5.762721 1.315419 -0.484140 -0.851109 1.531219 1.024488 -0.164450 0.578972 0.596936
