time cmd_vx cmd_vy cmd_yaw roll pitch yaw joint_pos_0 joint_pos_1 joint_pos_2 joint_pos_3 joint_pos_4 joint_pos_5 joint_pos_6 joint_pos_7 joint_pos_8 joint_pos_9 joint_tau_0 joint_tau_1 joint_tau_2 joint_tau_3 joint_tau_4 joint_tau_5 joint_tau_6 joint_tau_7 joint_tau_8 joint_tau_9 leg_target_q_0 leg_target_q_1 leg_target_q_2 leg_target_q_3 leg_target_q_4 leg_target_q_5 leg_target_q_6 leg_target_q_7 leg_target_q_8 leg_target_q_9 arm_pos_0 arm_pos_1 arm_pos_2 arm_pos_3 arm_pos_4 arm_pos_5 arm_pos_6 arm_pos_7 arm_pos_8 arm_pos_9
0.010000 0.000000 0.000000 0.000000 -0.000770 -0.024871 -0.623523 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.220000 -0.290000 -0.200000 -1.250000 -5.980000 -0.010000 0.250000 -0.870000 0.380000 -5.540000 -0.005730 -0.023253 0.173753 -0.378021 0.103899 -0.046277 0.073314 0.195940 -0.236596 0.054864 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
0.020000 0.000000 0.000000 0.000000 -0.000794 -0.024763 -0.623519 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.300000 -0.140000 -0.260000 -1.130000 -6.030000 0.060000 0.330000 -1.020000 0.330000 -5.420000 -0.015724 0.011719 0.193071 -0.301865 0.112328 -0.014032 0.053417 0.181730 -0.299753 0.063362 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
0.030000 0.000000 0.000000 0.000000 -0.000794 -0.024763 -0.623519 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.360000 -0.270000 -0.200000 -1.170000 -6.080000 0.020000 0.250000 -1.000000 0.100000 -5.420000 -0.006876 0.011452 0.172402 -0.308244 0.088343 -0.027506 0.055564 0.185224 -0.306708 0.055467 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
0.040000 0.000000 0.000000 0.000000 -0.000732 -0.024657 -0.623551 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.330000 -0.000000 -0.080000 -1.210000 -6.000000 0.100000 0.330000 -0.920000 0.290000 -5.330000 -0.002923 0.010720 0.160017 -0.315319 0.082949 -0.032114 0.053954 0.183267 -0.300738 0.043452 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
0.050000 0.000000 0.000000 0.000000 -0.000732 -0.024657 -0.623551 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.190000 -0.160000 -0.080000 -1.140000 -6.130000 0.050000 0.290000 -1.050000 0.290000 -5.210000 -0.001959 0.017920 0.153737 -0.307437 0.100451 -0.026499 0.051902 0.175914 -0.316903 0.044895 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
0.060000 0.000000 0.000000 0.000000 -0.000691 -0.024469 -0.623564 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.340000 -0.230000 -0.140000 -1.210000 -6.000000 0.140000 0.330000 -1.020000 0.360000 -5.250000 -0.002644 0.014696 0.149900 -0.307037 0.083299 -0.028873 0.049485 0.171491 -0.310450 0.044893 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
0.070000 0.000000 0.000000 0.000000 -0.000753 -0.024328 -0.623547 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.580000 -0.140000 -0.230000 -1.130000 -6.050000 0.100000 0.370000 -0.990000 0.310000 -5.330000 -0.002778 0.013387 0.149059 -0.308358 0.084045 -0.029079 0.050897 0.170433 -0.309223 0.044165 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
0.080000 0.000000 0.000000 0.000000 -0.000753 -0.024328 -0.623547 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.090000 -0.320000 -0.060000 -1.210000 -6.030000 0.180000 0.330000 -0.960000 0.260000 -5.460000 -0.002614 0.014250 0.148841 -0.307140 0.087371 -0.028943 0.050643 0.170244 -0.308867 0.048392 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
0.090000 0.000000 0.000000 0.000000 -0.000754 -0.024199 -0.623519 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.290000 -0.050000 -0.170000 -1.350000 -6.020000 -0.020000 0.330000 -0.910000 0.220000 -5.250000 -0.002300 0.015802 0.148092 -0.304861 0.094062 -0.028666 0.050408 0.169543 -0.308137 0.056773 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
0.100000 0.000000 0.000000 0.000000 -0.000754 -0.024199 -0.623519 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.030000 -0.160000 -0.140000 -1.180000 -6.170000 0.260000 0.410000 -1.000000 0.240000 -5.490000 -0.001895 0.018841 0.147356 -0.301066 0.098833 -0.028313 0.048407 0.169194 -0.309156 0.064813 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
0.110000 0.000000 0.000000 0.000000 -0.000772 -0.024040 -0.623473 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.310000 -0.040000 -0.160000 -1.200000 -6.010000 0.220000 0.380000 -0.980000 0.360000 -5.290000 -0.001344 0.022527 0.147241 -0.296163 0.112945 -0.027677 0.047701 0.169426 -0.307948 0.082241 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
0.120000 0.000000 0.000000 0.000000 -0.000772 -0.024040 -0.623473 0.003689 0.013014 0.118562 -0.361204 0.213373 -0.004188 -0.002363 0.137811 -0.372149 0.193793 -0.270000 -0.000000 -0.190000 -1.210000 -6.080000 -0.010000 0.290000 -1.010000 0.400000 -5.420000 -0.000903 0.025530 0.146909 -0.291791 0.130252 -0.027003 0.048342 0.169135 -0.305325 0.101907 -0.129078 0.186727 0.042818 0.691832 -1.241037 -0.127920 0.176746 0.047031 0.692610 -1.225320
