time cmd_vx cmd_vy cmd_yaw roll pitch yaw joint_pos_0 joint_pos_1 joint_pos_2 joint_pos_3 joint_pos_4 joint_pos_5 joint_pos_6 joint_pos_7 joint_pos_8 joint_pos_9 joint_tau_0 joint_tau_1 joint_tau_2 joint_tau_3 joint_tau_4 joint_tau_5 joint_tau_6 joint_tau_7 joint_tau_8 joint_tau_9 leg_target_q_0 leg_target_q_1 leg_target_q_2 leg_target_q_3 leg_target_q_4 leg_target_q_5 leg_target_q_6 leg_target_q_7 leg_target_q_8 leg_target_q_9 arm_pos_0 arm_pos_1 arm_pos_2 arm_pos_3 arm_pos_4 arm_pos_5 arm_pos_6 arm_pos_7 arm_pos_8 arm_pos_9
0.010000 0.000000 0.000000 0.000000 -0.003682 0.029811 -0.048915 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.339783 0.206204 0.030000 -0.050000 -0.130000 -2.610000 -6.330000 -0.140000 0.440000 -0.590000 -1.690000 -5.040000 -0.008148 -0.017705 0.169997 -0.378661 0.051170 -0.039809 0.068355 0.179890 -0.250717 0.001100 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.020000 0.000000 0.000000 0.000000 -0.003709 0.030196 -0.048866 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.339783 0.206204 0.000000 -0.010000 -0.610000 -2.640000 -6.350000 -0.070000 0.490000 -0.710000 -1.660000 -4.670000 -0.020372 0.020624 0.188020 -0.312009 0.028600 -0.005243 0.046537 0.154972 -0.318919 -0.015323 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.030000 0.000000 0.000000 0.000000 -0.003709 0.030196 -0.048866 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.339783 0.206204 0.110000 -0.050000 -0.570000 -2.550000 -6.370000 -0.020000 0.160000 -0.460000 -1.650000 -4.840000 -0.013104 0.022417 0.164974 -0.321446 -0.021821 -0.017481 0.045732 0.154801 -0.330847 -0.042994 -0.124476 0.187110 0.041667 0.691449 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.040000 0.000000 0.000000 0.000000 -0.003685 0.030472 -0.048851 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.339783 0.206204 -0.050000 -0.040000 -0.290000 -2.550000 -6.410000 -0.130000 0.300000 -0.380000 -1.610000 -4.720000 -0.011328 0.019883 0.150499 -0.334029 -0.058223 -0.022403 0.040602 0.151874 -0.328957 -0.078947 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.050000 0.000000 0.000000 0.000000 -0.003685 0.030472 -0.048851 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.339783 0.206204 0.150000 0.020000 -0.530000 -2.580000 -6.360000 -0.130000 0.400000 -0.380000 -1.740000 -4.660000 -0.011566 0.026989 0.144094 -0.330819 -0.063978 -0.017776 0.034639 0.145428 -0.347238 -0.088307 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.060000 0.000000 0.000000 0.000000 -0.003753 0.030795 -0.048769 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.339783 0.206204 0.030000 0.060000 -0.530000 -2.510000 -6.260000 0.060000 0.350000 -0.190000 -1.660000 -4.730000 -0.012751 0.018460 0.139292 -0.332332 -0.082292 -0.020733 0.029228 0.142749 -0.340432 -0.104560 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.070000 0.000000 0.000000 0.000000 -0.003753 0.030795 -0.048769 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.339783 0.206204 0.150000 0.020000 -0.400000 -2.690000 -6.420000 -0.090000 0.300000 -0.660000 -1.640000 -4.820000 -0.013123 0.016090 0.138372 -0.334391 -0.085579 -0.021106 0.030738 0.141803 -0.339949 -0.109254 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.080000 0.000000 0.000000 0.000000 -0.003908 0.031239 -0.048641 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.339733 0.206275 0.000000 0.130000 -0.610000 -2.590000 -6.370000 0.020000 0.400000 -0.270000 -1.710000 -4.820000 -0.013009 0.016352 0.137908 -0.334495 -0.088144 -0.021115 0.030387 0.141439 -0.340810 -0.110672 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.090000 0.000000 0.000000 0.000000 -0.003908 0.031239 -0.048641 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.339242 0.206986 0.000000 -0.010000 -0.200000 -2.560000 -6.440000 -0.010000 0.260000 -0.140000 -2.030000 -4.820000 -0.012872 0.017623 0.137068 -0.333908 -0.085997 -0.020981 0.029926 0.140130 -0.341081 -0.108635 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.100000 0.000000 0.000000 0.000000 -0.004119 0.031635 -0.048619 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.338692 0.207779 0.110000 0.020000 -0.490000 -2.630000 -6.310000 -0.010000 0.260000 -0.420000 -1.800000 -5.070000 -0.012830 0.020711 0.137014 -0.331683 -0.087246 -0.020536 0.027371 0.139844 -0.342627 -0.104032 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
