time jpLt jpLc tpLt mpLc jrLt jrLc trLt mrLc jyLt jyLc tyLt myLc jkLt jkLc tkLt mkLc japLt japLc tapLt mapLc jarLt jarLc tarLt marLc jpRt jpRc tpRt mpRc jrRt jrRc trRt mrRc jyRt jyRc tyRt myRc jkRt jkRc tkRt mkRc japRt japRc tapRt mapRc jarRt jarRc tarRt marRc jwrt jwrc twrt mwrc jwyt jwyc twyt mwyc jspLt jspLc tspLt mspLt jsrLt jsrLc tsrLt msrLt jsyLt jsyLc tsyLt msyLt jeLt jeLc teLt meLt jwrLt jwrLc twrLt mwrLt jspRt jspRc tspRt mspRt jsrRt jsrRc tsrRt msrRt jsyRt jsyRc tsyRt msyRt jeRt jeRc teRt meRt jwrRt jwrRc twrRt mwrRt
0.200000 -0.430984 -0.465816 2.910000 2.910000 0.230157 0.132975 7.860000 7.860000 0.015282 0.030802 10.840000 10.840000 0.728911 0.815534 -0.560000 -0.560000 -0.059759 -0.342592 -11.210000 -11.210000 -0.198605 -0.083133 -2.160000 -2.160000 -0.339996 -0.404595 4.130000 4.130000 -0.078748 -0.000311 -5.480000 -5.480000 -0.093482 -0.118954 -10.900000 -10.900000 0.717361 0.750807 1.340000 1.340000 -0.002450 -0.372107 -9.040000 -9.040000 0.074351 -0.019000 1.880000 1.880000 0.029021 0.050071 0.470000 0.470000 -0.035308 -0.029094 -0.380000 -0.380000 -0.019100 0.025876 0.000000 0.000000 0.248823 0.170368 0.000000 0.000000 0.009615 0.003977 0.000000 0.000000 0.226894 0.144530 0.000000 0.000000 0.011510 0.033574 0.000000 0.000000 -0.054380 -0.035555 0.000000 0.000000 -0.237777 -0.188185 0.000000 0.000000 -0.164599 -0.121046 0.000000 0.000000 0.267840 0.222490 0.000000 0.000000 -0.153162 -0.135461 0.000000 0.000000
0.220000 -0.500250 -0.474437 -1.640000 -1.640000 0.190851 0.140816 3.410000 3.410000 0.016951 0.037723 9.160000 9.160000 0.705260 0.818492 -1.870000 -1.870000 -0.069708 -0.347029 -11.679999 -11.679999 -0.188421 -0.083996 -1.530000 -1.530000 -0.456454 -0.397554 -3.120000 -3.120000 -0.084702 -0.002014 -7.380000 -7.380000 -0.118598 -0.122987 -9.830000 -9.830000 0.648738 0.766597 1.860000 1.860000 0.067594 -0.361706 -13.349999 -13.349999 0.091338 -0.023166 2.250000 2.250000 0.069367 0.036670 1.670000 1.670000 -0.022519 -0.028086 2.590000 2.590000 -0.037498 0.023544 0.000000 0.000000 0.210957 0.173698 0.000000 0.000000 -0.006593 0.002812 0.000000 0.000000 0.231935 0.161301 0.000000 0.000000 -0.005018 0.015881 0.000000 0.000000 -0.075961 -0.035432 0.000000 0.000000 -0.168054 -0.194227 0.000000 0.000000 -0.114043 -0.126600 0.000000 0.000000 0.281364 0.236035 0.000000 0.000000 -0.162209 -0.146735 0.000000 0.000000
0.240000 -0.474856 -0.482798 0.430000 0.430000 0.222404 0.140150 6.200000 6.200000 0.028259 0.045554 9.610000 9.610000 0.731644 0.816894 -2.060000 -2.060000 -0.144078 -0.347396 -9.630000 -9.630000 -0.157274 -0.085008 -1.450000 -1.450000 -0.340794 -0.418984 4.640000 4.640000 -0.121943 -0.007261 -9.610000 -9.610000 -0.118444 -0.135928 -14.070000 -14.070000 0.736173 0.762352 4.150000 4.150000 0.058390 -0.356831 -9.780000 -9.780000 0.059659 -0.023933 1.620000 1.620000 0.040283 0.041721 -0.310000 -0.310000 -0.011871 -0.027440 2.330000 2.330000 -0.019934 0.021581 0.000000 0.000000 0.236086 0.182523 0.000000 0.000000 -0.016230 -0.000517 0.000000 0.000000 0.253445 0.179781 0.000000 0.000000 -0.009335 -0.000688 0.000000 0.000000 -0.105219 -0.035678 0.000000 0.000000 -0.273051 -0.193156 0.000000 0.000000 -0.161792 -0.128835 0.000000 0.000000 0.299323 0.245838 0.000000 0.000000 -0.158171 -0.157122 0.000000 0.000000
0.260000 -0.527240 -0.482844 -3.130000 -3.130000 0.223637 0.147796 5.080000 5.080000 0.025833 0.049440 10.700000 10.700000 0.698189 0.818607 -4.330000 -4.330000 -0.159832 -0.345798 -11.050000 -11.050000 -0.159134 -0.082760 -1.370000 -1.370000 -0.423437 -0.408185 0.230000 0.230000 -0.107372 -0.013800 -8.050000 -8.050000 -0.135878 -0.144934 -11.200000 -11.200000 0.673269 0.771661 3.140000 3.140000 0.083454 -0.353471 -13.440000 -13.440000 0.086541 -0.027064 2.190000 2.190000 0.030015 0.034125 -0.030000 -0.030000 -0.028092 -0.024171 -0.200000 -0.200000 -0.033765 0.020477 0.000000 0.000000 0.224422 0.190591 0.000000 0.000000 -0.050854 -0.007794 0.000000 0.000000 0.272437 0.198880 0.000000 0.000000 -0.031996 -0.014750 0.000000 0.000000 -0.089447 -0.034696 0.000000 0.000000 -0.188669 -0.199548 0.000000 0.000000 -0.138571 -0.132712 0.000000 0.000000 0.353914 0.257033 0.000000 0.000000 -0.160601 -0.154874 0.000000 0.000000
0.280000 -0.471538 -0.484684 0.630000 0.630000 0.216500 0.147893 4.930000 4.930000 0.036065 0.056723 8.679999 8.679999 0.745873 0.818303 -2.540000 -2.540000 -0.173948 -0.343467 -8.130000 -8.130000 -0.148498 -0.083218 -1.230000 -1.230000 -0.386524 -0.426194 2.230000 2.230000 -0.126129 -0.016727 -8.590000 -8.590000 -0.129383 -0.156044 -13.830000 -13.830000 0.720408 0.768629 2.690000 2.690000 -0.015426 -0.356476 -10.099999 -10.099999 0.066057 -0.026265 1.730000 1.730000 0.055648 0.032314 0.840000 0.840000 -0.017993 -0.025159 2.500000 2.500000 -0.055817 0.017899 0.000000 0.000000 0.223113 0.195981 0.000000 0.000000 -0.057206 -0.018446 0.000000 0.000000 0.263753 0.217068 0.000000 0.000000 -0.024613 -0.024058 0.000000 0.000000 -0.113906 -0.034573 0.000000 0.000000 -0.247943 -0.198546 0.000000 0.000000 -0.166279 -0.136111 0.000000 0.000000 0.354101 0.279853 0.000000 0.000000 -0.154126 -0.154064 0.000000 0.000000
0.300000 -0.524062 -0.485728 -2.680000 -2.680000 0.217020 0.150204 5.830000 5.830000 0.043391 0.059327 8.870000 8.870000 0.709772 0.820041 -4.760000 -4.760000 -0.190095 -0.342379 -11.050000 -11.050000 -0.147618 -0.082036 -1.280000 -1.280000 -0.392606 -0.418570 2.380000 2.380000 -0.099982 -0.020007 -6.950000 -6.950000 -0.152757 -0.163885 -10.480000 -10.480000 0.684016 0.775136 0.870000 0.870000 -0.017333 -0.356382 -12.280000 -12.280000 0.090553 -0.025967 2.140000 2.140000 0.011299 0.029260 -2.670000 -2.670000 -0.016078 -0.025453 -0.400000 -0.400000 -0.036361 0.010536 0.000000 0.000000 0.238593 0.200929 0.000000 0.000000 -0.068268 -0.026514 0.000000 0.000000 0.284762 0.225251 0.000000 0.000000 -0.038514 -0.023136 0.000000 0.000000 -0.063929 -0.034328 0.000000 0.000000 -0.215877 -0.204228 0.000000 0.000000 -0.161349 -0.141793 0.000000 0.000000 0.397408 0.299322 0.000000 0.000000 -0.154492 -0.143588 0.000000 0.000000
0.320000 -0.492132 -0.488688 -0.720000 -0.720000 0.220762 0.150948 5.760000 5.760000 0.042768 0.060384 9.230000 9.230000 0.742889 0.821458 -3.670000 -3.670000 -0.203836 -0.342320 -7.480000 -7.480000 -0.139697 -0.081770 -1.220000 -1.220000 -0.391834 -0.420963 2.070000 2.070000 -0.132813 -0.021445 -7.590000 -7.590000 -0.141233 -0.170845 -14.259999 -14.259999 0.692717 0.774464 -0.540000 -0.540000 -0.092541 -0.357920 -10.870000 -10.870000 0.074233 -0.026926 1.930000 1.930000 0.043230 0.026098 -0.770000 -0.770000 -0.006927 -0.023505 2.140000 2.140000 -0.041770 0.008941 0.000000 0.000000 0.240781 0.205551 0.000000 0.000000 -0.057758 -0.034699 0.000000 0.000000 0.275860 0.237807 0.000000 0.000000 -0.042604 -0.036097 0.000000 0.000000 -0.087111 -0.034205 0.000000 0.000000 -0.219800 -0.204402 0.000000 0.000000 -0.177386 -0.144389 0.000000 0.000000 0.371555 0.318060 0.000000 0.000000 -0.144631 -0.142318 0.000000 0.000000
0.340000 -0.511686 -0.485206 -2.020000 -2.020000 0.214948 0.150899 4.670000 4.670000 0.044859 0.059180 8.179999 8.179999 0.733664 0.825154 -4.150000 -4.150000 -0.227783 -0.337101 -8.000000 -8.000000 -0.134423 -0.080662 -1.040000 -1.040000 -0.408598 -0.419275 0.950000 0.950000 -0.116410 -0.025684 -7.480000 -7.480000 -0.157992 -0.178236 -12.520000 -12.520000 0.656855 0.774759 -3.020000 -3.020000 -0.117787 -0.359080 -12.340000 -12.340000 0.098914 -0.027799 2.380000 2.380000 0.011974 0.032148 -2.370000 -2.370000 -0.011315 -0.018317 0.260000 0.260000 -0.025949 0.008818 0.000000 0.000000 0.226731 0.209603 0.000000 0.000000 -0.074119 -0.037703 0.000000 0.000000 0.278135 0.245619 0.000000 0.000000 -0.049159 -0.044471 0.000000 0.000000 -0.065827 -0.032119 0.000000 0.000000 -0.226435 -0.206417 0.000000 0.000000 -0.174703 -0.148918 0.000000 0.000000 0.416166 0.333011 0.000000 0.000000 -0.144798 -0.134382 0.000000 0.000000
0.360000 -0.490189 -0.487722 -0.390000 -0.390000 0.217883 0.152729 4.750000 4.750000 0.040772 0.060110 8.960000 8.960000 0.759048 0.825654 -2.630000 -2.630000 -0.213632 -0.336380 -6.310000 -6.310000 -0.127677 -0.080662 -0.920000 -0.920000 -0.411568 -0.418110 0.700000 0.700000 -0.151750 -0.027094 -8.570000 -8.570000 -0.147664 -0.183092 -16.570000 -16.570000 0.660576 0.773652 -4.220000 -4.220000 -0.184520 -0.360819 -10.690000 -10.690000 0.094923 -0.027799 2.250000 2.250000 0.038526 0.026431 -0.560000 -0.560000 -0.005885 -0.018395 1.160000 1.160000 -0.044180 0.008573 0.000000 0.000000 0.247200 0.214481 0.000000 0.000000 -0.060597 -0.041463 0.000000 0.000000 0.277295 0.247115 0.000000 0.000000 -0.045919 -0.044820 0.000000 0.000000 -0.087992 -0.031383 0.000000 0.000000 -0.205867 -0.205427 0.000000 0.000000 -0.171590 -0.151281 0.000000 0.000000 0.399321 0.349130 0.000000 0.000000 -0.139591 -0.135393 0.000000 0.000000
0.380000 -0.500084 -0.486004 -1.040000 -1.040000 0.222445 0.152494 4.990000 4.990000 0.038116 0.059523 9.559999 9.559999 0.743199 0.826801 -3.780000 -3.780000 -0.266149 -0.333871 -6.780000 -6.780000 -0.122570 -0.080662 -0.740000 -0.740000 -0.420872 -0.418048 -0.300000 -0.300000 -0.129173 -0.033975 -7.590000 -7.590000 -0.164696 -0.187330 -13.259999 -13.259999 0.640814 0.773775 -6.320000 -6.320000 -0.220430 -0.361020 -11.670000 -11.670000 0.105879 -0.027799 2.460000 2.460000 -0.002929 0.030767 -2.610000 -2.610000 -0.009423 -0.014000 -1.430000 -1.430000 -0.026394 0.008450 0.000000 0.000000 0.230670 0.217612 0.000000 0.000000 -0.068661 -0.043407 0.000000 0.000000 0.277905 0.248048 0.000000 0.000000 -0.054724 -0.045663 0.000000 0.000000 -0.086327 -0.031628 0.000000 0.000000 -0.232532 -0.204472 0.000000 0.000000 -0.177232 -0.154099 0.000000 0.000000 0.436518 0.357437 0.000000 0.000000 -0.140866 -0.128548 0.000000 0.000000
