time jpLt jpLc tpLt mpLc jrLt jrLc trLt mrLc jyLt jyLc tyLt myLc jkLt jkLc tkLt mkLc japLt japLc tapLt mapLc jarLt jarLc tarLt marLc jpRt jpRc tpRt mpRc jrRt jrRc trRt mrRc jyRt jyRc tyRt myRc jkRt jkRc tkRt mkRc japRt japRc tapRt mapRc jarRt jarRc tarRt marRc jwrt jwrc twrt mwrc jwyt jwyc twyt mwyc jspLt jspLc tspLt mspLt jsrLt jsrLc tsrLt msrLt jsyLt jsyLc tsyLt msyLt jeLt jeLc teLt meLt jwrLt jwrLc twrLt mwrLt jspRt jspRc tspRt mspRt jsrRt jsrRc tsrRt msrRt jsyRt jsyRc tsyRt msyRt jeRt jeRc teRt meRt jwrRt jwrRc twrRt mwrRt r p y step
0.018000 -0.300000 -0.300000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.600000 0.600000 -0.000000 0.000000 -0.300000 -0.300000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.300000 -0.300000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.600000 0.600000 -0.000000 0.000000 -0.300000 -0.300000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.030000 0.000000 0.000000
0.036000 -0.300000 -0.300000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.600000 0.600000 -0.000000 0.000000 -0.300000 -0.300000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.300000 -0.300000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.600000 0.600000 -0.000000 0.000000 -0.300000 -0.300000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.030000 0.000000 1.000000
0.054000 -0.300000 -0.300000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.600000 0.600000 -0.000000 0.000000 -0.300000 -0.300000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.300000 -0.300000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.600000 0.600000 -0.000000 0.000000 -0.300000 -0.300000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.030000 0.000000 2.000000
0.072000 -0.300000 -0.300000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.600000 0.600000 -0.000000 0.000000 -0.300000 -0.300000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.300000 -0.300000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.600000 0.600000 -0.000000 0.000000 -0.300000 -0.300000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.030000 0.000000 3.000000
0.090000 -0.300000 -0.327005 10.618899 0.000000 0.000000 0.001582 -0.286216 0.000000 0.000000 -0.000697 0.238804 0.000000 0.600000 0.654217 -22.764464 0.000000 -0.300000 -0.324793 4.488345 0.000000 0.000000 0.000002 0.001069 0.000000 -0.300000 -0.331431 11.508603 0.000000 0.000000 0.001597 -0.288948 0.000000 0.000000 -0.000617 0.218225 0.000000 0.600000 0.660724 -23.988977 0.000000 -0.300000 -0.320077 4.005958 0.000000 0.000000 -0.000119 0.003652 0.000000 0.000000 0.001911 -0.343698 0.000000 0.000000 0.000176 0.096504 0.000000 0.000000 0.000520 -0.602722 0.000000 0.000000 -0.000359 -0.011138 0.000000 0.000000 -0.000077 -0.016553 0.000000 0.000000 0.016023 -3.295363 0.000000 0.000000 0.000009 -0.002432 0.000000 0.000000 0.001247 -0.619414 0.000000 -0.000000 -0.000363 -0.010299 0.000000 0.000000 -0.000076 -0.016818 0.000000 0.000000 0.009395 -2.542208 0.000000 0.000000 0.000010 -0.002487 0.000000 -0.001554 0.028105 -0.000142 4.000000
0.108000 -0.300000 -0.343141 8.313690 0.000000 0.000000 0.001137 -0.171663 0.000000 0.000000 -0.000746 0.096607 0.000000 0.600000 0.721859 -32.211048 0.000000 -0.300000 -0.360022 4.890878 0.000000 0.000000 -0.000031 0.005627 0.000000 -0.300000 -0.346750 8.902018 0.000000 0.000000 0.001154 -0.175878 0.000000 0.000000 -0.000652 0.076733 0.000000 0.600000 0.726476 -32.836030 0.000000 -0.300000 -0.352990 4.521451 0.000000 0.000000 -0.000107 0.002856 0.000000 0.000000 0.000952 -0.017849 0.000000 0.000000 -0.000276 0.059199 0.000000 0.000000 0.009233 -2.203386 0.000000 0.000000 -0.000126 -0.024506 0.000000 0.000000 0.000041 -0.013392 0.000000 0.000000 0.031518 -3.293789 0.000000 0.000000 0.000023 -0.002763 0.000000 0.000000 0.009488 -2.123225 0.000000 -0.000000 -0.000134 -0.023749 0.000000 0.000000 0.000043 -0.013387 0.000000 0.000000 0.025049 -3.342394 0.000000 0.000000 0.000023 -0.002767 0.000000 -0.001213 0.013304 0.000086 5.000000
0.126000 -0.300000 -0.321590 -0.832090 0.000000 0.000000 0.000994 -0.201398 0.000000 0.000000 -0.000321 0.011252 0.000000 0.600000 0.753721 -33.249637 0.000000 -0.300000 -0.384066 4.376758 0.000000 0.000000 -0.000088 0.008780 0.000000 -0.300000 -0.324571 -0.302565 0.000000 0.000000 0.001016 -0.206174 0.000000 0.000000 -0.000225 -0.007672 0.000000 0.600000 0.756891 -33.729578 0.000000 -0.300000 -0.376025 4.071567 0.000000 0.000000 -0.000122 0.006421 0.000000 0.000000 -0.000036 0.127716 0.000000 0.000000 -0.000113 -0.005277 0.000000 0.000000 0.024122 -3.405532 0.000000 0.000000 -0.000019 -0.006004 0.000000 0.000000 0.000077 -0.003408 0.000000 0.000000 0.041777 -2.755840 0.000000 0.000000 0.000033 -0.002413 0.000000 0.000000 0.023747 -3.298933 0.000000 -0.000000 -0.000030 -0.004287 0.000000 0.000000 0.000079 -0.003953 0.000000 0.000000 0.038650 -3.245912 0.000000 0.000000 0.000033 -0.002403 0.000000 -0.000893 -0.015187 -0.000245 6.000000
0.144000 -0.300000 -0.280848 -10.157119 0.000000 0.000000 0.001104 -0.242756 0.000000 0.000000 -0.000186 0.042782 0.000000 0.600000 0.757228 -30.700127 0.000000 -0.300000 -0.396698 3.720488 0.000000 0.000000 -0.000143 0.008787 0.000000 -0.300000 -0.283486 -9.675000 0.000000 0.000000 0.001125 -0.246592 0.000000 0.000000 -0.000093 0.024786 0.000000 0.600000 0.759688 -31.111196 0.000000 -0.300000 -0.388277 3.444607 0.000000 0.000000 -0.000153 0.007253 0.000000 0.000000 -0.000606 0.181517 0.000000 0.000000 -0.000026 0.002991 0.000000 0.000000 0.040123 -3.863137 0.000000 0.000000 -0.000003 -0.000423 0.000000 0.000000 0.000034 0.009976 0.000000 0.000000 0.045172 -1.875609 0.000000 0.000000 0.000037 -0.001821 0.000000 0.000000 0.039306 -3.793191 0.000000 -0.000000 -0.000045 0.008326 0.000000 0.000000 0.000047 0.007385 0.000000 0.000000 0.046273 -2.520320 0.000000 0.000000 0.000037 -0.001831 0.000000 -0.000898 -0.047119 -0.000409 7.000000
0.162000 -0.300000 -0.244807 -15.324120 0.000000 0.000000 0.001229 -0.259832 0.000000 0.000000 -0.000342 0.099874 0.000000 0.600000 0.746966 -27.461799 0.000000 -0.300000 -0.400486 3.074267 0.000000 0.000000 -0.000163 0.004510 0.000000 -0.300000 -0.247153 -14.895792 0.000000 0.000000 0.001246 -0.262358 0.000000 0.000000 -0.000254 0.082796 0.000000 0.600000 0.748978 -27.807956 0.000000 -0.300000 -0.391929 2.809980 0.000000 0.000000 -0.000159 0.003250 0.000000 0.000000 -0.000865 0.197005 0.000000 0.000000 -0.000024 0.001854 0.000000 0.000000 0.052694 -3.637246 0.000000 0.000000 -0.000003 0.000227 0.000000 0.000000 -0.000059 0.016776 0.000000 0.000000 0.043039 -1.161981 0.000000 0.000000 0.000037 -0.001340 0.000000 0.000000 0.051920 -3.646614 0.000000 -0.000000 -0.000099 0.012328 0.000000 0.000000 -0.000037 0.015331 0.000000 0.000000 0.047229 -1.654681 0.000000 0.000000 0.000037 -0.001339 0.000000 -0.001070 -0.070433 -0.000277 8.000000
0.180000 -0.300000 -0.228682 -15.103662 0.000000 0.000000 0.001260 -0.247931 0.000000 0.000000 -0.000532 0.128843 0.000000 0.600000 0.733784 -24.838712 0.000000 -0.300000 -0.398092 2.488764 0.000000 0.000000 -0.000125 -0.002823 0.000000 -0.300000 -0.230794 -14.711584 0.000000 0.000000 0.001271 -0.249662 0.000000 0.000000 -0.000447 0.112392 0.000000 0.600000 0.735495 -25.142716 0.000000 -0.300000 -0.389487 2.226605 0.000000 0.000000 -0.000113 -0.003661 0.000000 0.000000 -0.000938 0.189572 0.000000 0.000000 0.000037 -0.020698 0.000000 0.000000 0.059723 -3.066477 0.000000 0.000000 -0.000003 0.000012 0.000000 0.000000 -0.000133 0.012658 0.000000 0.000000 0.038636 -0.871978 0.000000 0.000000 0.000035 -0.001078 0.000000 0.000000 0.059393 -3.132635 0.000000 -0.000000 -0.000144 0.010507 0.000000 0.000000 -0.000116 0.013568 0.000000 0.000000 0.043736 -1.065003 0.000000 0.000000 0.000036 -0.001059 0.000000 -0.001222 -0.077502 -0.000072 9.000000
