time jpLt jpLc tpLt mpLc jrLt jrLc trLt mrLc jyLt jyLc tyLt myLc jkLt jkLc tkLt mkLc japLt japLc tapLt mapLc jarLt jarLc tarLt marLc jpRt jpRc tpRt mpRc jrRt jrRc trRt mrRc jyRt jyRc tyRt myRc jkRt jkRc tkRt mkRc japRt japRc tapRt mapRc jarRt jarRc tarRt marRc jwrt jwrc twrt mwrc jwyt jwyc twyt mwyc jspLt jspLc tspLt mspLt jsrLt jsrLc tsrLt msrLt jsyLt jsyLc tsyLt msyLt jeLt jeLc teLt meLt jwrLt jwrLc twrLt mwrLt jspRt jspRc tspRt mspRt jsrRt jsrRc tsrRt msrRt jsyRt jsyRc tsyRt msyRt jeRt jeRc teRt meRt jwrRt jwrRc twrRt mwrRt
0.200000 -0.042711 -0.185642 12.520000 12.520000 0.181368 0.199066 -2.680000 -2.680000 0.434517 0.455858 1.280000 1.280000 0.369757 0.281910 7.140000 7.140000 0.186547 0.075195 4.080000 4.080000 -0.308873 -0.317345 -0.000000 -0.000000 -0.168373 -0.199760 1.650000 1.650000 -0.301393 -0.321090 1.760000 1.760000 -0.542560 -0.545294 1.140000 1.140000 0.394708 0.301183 5.650000 5.650000 0.247064 0.172488 4.560000 4.560000 0.183643 0.158744 0.280000 0.280000 0.113398 0.109077 2.450000 2.450000 -0.093095 -0.068570 -1.510000 -1.510000 0.583154 0.674989 -4.660000 -4.660000 1.173098 1.102876 4.740000 4.740000 0.027804 0.047572 5.310000 5.310000 1.124924 1.109617 0.260000 0.260000 -0.113552 -0.112210 0.050000 0.050000 -0.092415 -0.070586 0.440000 0.440000 -1.567313 -1.582547 0.750000 0.750000 0.407232 0.384368 0.140000 0.140000 1.249325 1.265525 -0.220000 -0.220000 0.443898 0.430230 0.660000 0.660000
0.220000 -0.103820 -0.191702 8.309999 8.309999 0.183066 0.185596 -2.410000 -2.410000 0.438542 0.456661 1.660000 1.660000 0.334916 0.272060 5.550000 5.550000 0.181542 0.088731 3.600000 3.600000 -0.288431 -0.316663 0.380000 0.380000 -0.209803 -0.200006 0.330000 0.330000 -0.309815 -0.317928 2.170000 2.170000 -0.544909 -0.548358 0.790000 0.790000 0.348357 0.305018 3.670000 3.670000 0.255596 0.190615 2.950000 2.950000 0.200912 0.164027 0.340000 0.340000 0.101849 0.104251 1.580000 1.580000 -0.092528 -0.075413 -1.020000 -1.020000 0.534120 0.660017 -5.120000 -5.120000 1.139473 1.096566 2.710000 2.710000 -0.002623 0.038281 4.930000 4.930000 1.088476 1.100534 -0.480000 -0.480000 -0.108267 -0.110681 -0.050000 -0.050000 -0.096993 -0.105561 1.340000 1.340000 -1.619050 -1.580522 -2.400000 -2.400000 0.397706 0.394543 -1.170000 -1.170000 1.266544 1.264715 0.510000 0.510000 0.446795 0.436840 0.280000 0.280000
0.240000 -0.014614 -0.200691 14.120000 14.120000 0.183270 0.185557 -3.400000 -3.400000 0.426512 0.456054 1.740000 1.740000 0.393218 0.265489 8.000000 8.000000 0.197542 0.103215 7.420000 7.420000 -0.290171 -0.313275 0.170000 0.170000 -0.191767 -0.217002 1.440000 1.440000 -0.322759 -0.325368 0.470000 0.470000 -0.555545 -0.554800 0.190000 0.190000 0.373652 0.309304 3.130000 3.130000 0.237831 0.203596 3.020000 3.020000 0.205049 0.173199 0.010000 0.010000 0.102144 0.096400 0.350000 0.350000 -0.081785 -0.085045 0.490000 0.490000 0.562741 0.635841 -2.510000 -2.510000 1.157775 1.107906 1.820000 1.820000 0.000235 0.021540 2.420000 2.420000 1.164073 1.118767 1.280000 1.280000 -0.115552 -0.112502 0.220000 0.220000 -0.116611 -0.122251 0.860000 0.860000 -1.599100 -1.593747 0.370000 0.370000 0.447685 0.403461 -1.490000 -1.490000 1.304736 1.280262 0.500000 0.500000 0.466702 0.442089 0.300000 0.300000
0.260000 -0.059056 -0.202194 13.320000 13.320000 0.179713 0.189629 -2.920000 -2.920000 0.431480 0.451844 1.950000 1.950000 0.351674 0.267701 7.270000 7.270000 0.182629 0.113935 5.140000 5.140000 -0.296472 -0.309462 0.090000 0.090000 -0.199080 -0.221282 2.250000 2.250000 -0.325093 -0.329509 0.940000 0.940000 -0.563927 -0.558392 0.580000 0.580000 0.355631 0.322857 3.080000 3.080000 0.259366 0.211476 2.030000 2.030000 0.198349 0.180177 0.030000 0.030000 0.120561 0.096909 1.690000 1.690000 -0.085950 -0.086905 1.450000 1.450000 0.546816 0.611543 -1.840000 -1.840000 1.113736 1.107836 0.780000 0.780000 -0.013486 0.009595 1.330000 1.330000 1.171010 1.145149 0.310000 0.310000 -0.110550 -0.109770 0.050000 0.050000 -0.118440 -0.127773 0.560000 0.560000 -1.600733 -1.589917 -1.320000 -1.320000 0.457226 0.426455 -0.470000 -0.470000 1.303167 1.298719 -0.960000 -0.960000 0.467044 0.465246 0.790000 0.790000
0.280000 -0.042928 -0.204648 14.020000 14.020000 0.191395 0.187554 -2.860000 -2.860000 0.424897 0.454155 2.670000 2.670000 0.372224 0.266619 7.110000 7.110000 0.187224 0.117248 5.330000 5.330000 -0.296714 -0.309238 0.210000 0.210000 -0.188886 -0.225117 2.620000 2.620000 -0.320872 -0.335921 2.110000 2.110000 -0.563106 -0.568328 0.770000 0.770000 0.369441 0.324553 3.160000 3.160000 0.259699 0.215014 1.680000 1.680000 0.192476 0.185333 0.040000 0.040000 0.115884 0.109605 0.350000 0.350000 -0.085809 -0.085173 0.830000 0.830000 0.560812 0.589822 -0.580000 -0.580000 1.132566 1.111620 0.300000 0.300000 -0.011451 0.001201 0.800000 0.800000 1.188892 1.167463 0.060000 0.060000 -0.108183 -0.109759 -0.190000 -0.190000 -0.126678 -0.128264 0.080000 0.080000 -1.588432 -1.591605 0.660000 0.660000 0.479757 0.444163 -0.240000 -0.240000 1.303130 1.302991 -0.270000 -0.270000 0.468251 0.466864 0.180000 0.180000
0.300000 -0.079132 -0.204526 9.880000 9.880000 0.189091 0.191998 -2.170000 -2.170000 0.433281 0.449984 1.220000 1.220000 0.346683 0.270684 6.280000 6.280000 0.179920 0.120112 4.130000 4.130000 -0.309206 -0.308918 -0.000000 -0.000000 -0.235521 -0.224764 -0.130000 -0.130000 -0.310954 -0.333581 2.300000 2.300000 -0.574346 -0.573232 1.690000 1.690000 0.341308 0.326717 2.070000 2.070000 0.255437 0.215842 0.890000 0.890000 0.191592 0.185919 0.130000 0.130000 0.090463 0.113169 -0.430000 -0.430000 -0.098580 -0.088853 -2.440000 -2.440000 0.539912 0.575955 -1.820000 -1.820000 1.148298 1.117208 2.080000 2.080000 -0.009336 -0.003386 2.190000 2.190000 1.208396 1.182896 0.240000 0.240000 -0.110028 -0.105679 0.440000 0.440000 -0.125321 -0.128632 0.220000 0.220000 -1.596568 -1.589172 -0.040000 -0.040000 0.496318 0.462033 -0.800000 -0.800000 1.318071 1.309724 -0.050000 -0.050000 0.473283 0.469843 0.120000 0.120000
0.320000 -0.040843 -0.203943 13.690000 13.690000 0.184762 0.193750 -2.430000 -2.430000 0.434132 0.448800 0.800000 0.800000 0.375141 0.271839 7.870000 7.870000 0.194439 0.120739 5.310000 5.310000 -0.311082 -0.309355 -0.000000 -0.000000 -0.204344 -0.230731 1.520000 1.520000 -0.323329 -0.328745 1.890000 1.890000 -0.565390 -0.576228 0.200000 0.200000 0.355822 0.324037 2.460000 2.460000 0.254647 0.215736 1.390000 1.390000 0.193792 0.185951 0.240000 0.240000 0.096082 0.103252 -0.280000 -0.280000 -0.094770 -0.090527 -2.090000 -2.090000 0.541157 0.569573 -1.510000 -1.510000 1.159153 1.119525 2.140000 2.140000 -0.000676 -0.003864 2.750000 2.750000 1.212349 1.197465 0.370000 0.370000 -0.110280 -0.107904 0.080000 0.080000 -0.133658 -0.129123 -0.170000 -0.170000 -1.588118 -1.593840 0.390000 0.390000 0.500368 0.478321 0.540000 0.540000 1.317103 1.311556 0.360000 0.360000 0.473878 0.471473 -0.150000 -0.150000
0.340000 -0.084394 -0.203866 9.679999 9.679999 0.186797 0.192115 -1.850000 -1.850000 0.437475 0.448594 0.650000 0.650000 0.346639 0.274584 6.360000 6.360000 0.185053 0.119709 3.500000 3.500000 -0.313552 -0.309366 -0.100000 -0.100000 -0.233254 -0.230179 0.210000 0.210000 -0.311239 -0.331437 2.910000 2.910000 -0.563753 -0.574201 0.820000 0.820000 0.329219 0.323201 1.670000 1.670000 0.258087 0.215973 0.510000 0.510000 0.184966 0.185951 -0.050000 -0.050000 0.086315 0.101774 0.040000 0.040000 -0.103847 -0.086700 -2.670000 -2.670000 0.525474 0.569205 -2.270000 -2.270000 1.160305 1.123949 2.040000 2.040000 -0.001329 -0.004027 1.680000 1.680000 1.211166 1.207919 -0.310000 -0.310000 -0.113675 -0.108646 -0.310000 -0.310000 -0.142966 -0.131209 -0.390000 -0.390000 -1.579555 -1.589044 0.290000 0.290000 0.507872 0.489241 0.230000 0.230000 1.319456 1.312354 0.320000 0.320000 0.472919 0.472024 -0.370000 -0.370000
0.360000 -0.069955 -0.204449 10.740000 10.740000 0.177901 0.192546 -2.830000 -2.830000 0.437576 0.449103 -0.060000 -0.060000 0.354293 0.273888 7.090000 7.090000 0.195449 0.117923 3.840000 3.840000 -0.315730 -0.309483 -0.100000 -0.100000 -0.221697 -0.236959 1.220000 1.220000 -0.325838 -0.329049 1.570000 1.570000 -0.565681 -0.573066 -0.150000 -0.150000 0.347176 0.318899 2.250000 2.250000 0.257374 0.219487 1.310000 1.310000 0.193476 0.185205 0.180000 0.180000 0.103640 0.102322 0.480000 0.480000 -0.095177 -0.087835 -1.020000 -1.020000 0.530853 0.568224 -2.290000 -2.290000 1.166556 1.134404 1.840000 1.840000 0.004468 -0.003142 1.300000 1.300000 1.224505 1.213202 0.270000 0.270000 -0.111702 -0.113008 0.350000 0.350000 -0.145978 -0.136363 -0.280000 -0.280000 -1.586580 -1.584305 -0.180000 -0.180000 0.518936 0.498078 -0.720000 -0.720000 1.325863 1.314603 0.340000 0.340000 0.479623 0.474272 -0.230000 -0.230000
0.380000 -0.070649 -0.204449 10.910000 10.910000 0.188647 0.192184 -2.010000 -2.010000 0.436032 0.450445 0.640000 0.640000 0.362766 0.273888 7.380000 7.380000 0.198399 0.117923 4.570000 4.570000 -0.314936 -0.309621 -0.100000 -0.100000 -0.222363 -0.237251 1.250000 1.250000 -0.325866 -0.330909 1.660000 1.660000 -0.559136 -0.572792 -0.480000 -0.480000 0.343695 0.317613 2.290000 2.290000 0.244931 0.224232 1.540000 1.540000 0.195953 0.185205 0.270000 0.270000 0.095819 0.102851 0.490000 0.490000 -0.096544 -0.086739 -1.410000 -1.410000 0.525423 0.567487 -1.960000 -1.960000 1.163179 1.140609 1.030000 1.030000 0.001044 -0.000220 1.350000 1.350000 1.218081 1.214933 0.020000 0.020000 -0.112669 -0.110220 -0.000000 -0.000000 -0.148880 -0.142867 -0.060000 -0.060000 -1.590107 -1.585283 -0.110000 -0.110000 0.515088 0.506879 -0.380000 -0.380000 1.329674 1.324315 -0.390000 -0.390000 0.481110 0.484794 0.080000 0.080000
