time jpLt jpLc tpLt mpLc jrLt jrLc trLt mrLc jyLt jyLc tyLt myLc jkLt jkLc tkLt mkLc japLt japLc tapLt mapLc jarLt jarLc tarLt marLc jpRt jpRc tpRt mpRc jrRt jrRc trRt mrRc jyRt jyRc tyRt myRc jkRt jkRc tkRt mkRc japRt japRc tapRt mapRc jarRt jarRc tarRt marRc jwrt jwrc twrt mwrc jwyt jwyc twyt mwyc jspLt jspLc tspLt mspLt jsrLt jsrLc tsrLt msrLt jsyLt jsyLc tsyLt msyLt jeLt jeLc teLt meLt jwrLt jwrLc twrLt mwrLt jspRt jspRc tspRt mspRt jsrRt jsrRc tsrRt msrRt jsyRt jsyRc tsyRt msyRt jeRt jeRc teRt meRt jwrRt jwrRc twrRt mwrRt r p y step
0.018000 -0.059284 -0.059283 -0.000305 0.000000 0.082751 0.082751 0.000026 0.000000 0.625724 0.625724 -0.000044 0.000000 0.085217 0.085217 -0.000011 0.000000 0.511464 0.511464 0.000003 0.000000 -0.141616 -0.141616 0.000002 0.000000 -0.062693 -0.062693 0.000013 0.000000 -0.217808 -0.217808 0.000044 0.000000 -0.670049 -0.670049 -0.000055 0.000000 0.081925 0.081926 -0.000075 0.000000 0.512036 0.512036 -0.000008 0.000000 0.200875 0.200875 0.000004 0.000000 0.018572 0.018573 -0.000161 0.000000 0.055096 0.055094 0.000580 0.000000 0.583589 0.583590 -0.000249 0.000000 1.348620 1.348618 0.000338 0.000000 0.145713 0.145713 0.000005 0.000000 1.441230 1.441232 -0.000193 0.000000 -0.214460 -0.214460 -0.000000 0.000000 -0.451294 -0.451294 -0.000004 0.000000 -1.571560 -1.571567 0.001405 0.000000 0.861828 0.861828 -0.000003 0.000000 1.570990 1.570939 0.011750 0.000000 0.547131 0.547131 0.000002 0.000000 2.050732 -1.540795 -2.050732 0.000000
0.036000 -0.059284 -0.059282 -0.000499 0.000000 0.082751 0.082751 0.000058 0.000000 0.625724 0.625724 -0.000021 0.000000 0.085217 0.085217 -0.000148 0.000000 0.511464 0.511464 -0.000007 0.000000 -0.141616 -0.141616 0.000001 0.000000 -0.062693 -0.062694 0.000140 0.000000 -0.217808 -0.217808 0.000075 0.000000 -0.670049 -0.670049 -0.000034 0.000000 0.081925 0.081926 -0.000003 0.000000 0.512036 0.512036 -0.000007 0.000000 0.200875 0.200875 0.000005 0.000000 0.018572 0.018572 0.000196 0.000000 0.055096 0.055095 0.000135 0.000000 0.583589 0.583591 -0.000035 0.000000 1.348620 1.348618 0.000041 0.000000 0.145713 0.145713 0.000009 0.000000 1.441230 1.441232 0.000065 0.000000 -0.214460 -0.214460 -0.000001 0.000000 -0.451294 -0.451294 -0.000001 0.000000 -1.571560 -1.571571 0.000687 0.000000 0.861828 0.861828 -0.000000 0.000000 1.570990 1.570883 0.011266 0.000000 0.547131 0.547131 -0.000000 0.000000 1.871279 -1.540792 -1.871279 1.000000
0.054000 -0.059284 -0.059282 -0.000473 0.000000 0.082751 0.082751 -0.000041 0.000000 0.625724 0.625724 0.000043 0.000000 0.085217 0.085218 -0.000281 0.000000 0.511464 0.511464 -0.000027 0.000000 -0.141616 -0.141616 -0.000004 0.000000 -0.062693 -0.062694 0.000214 0.000000 -0.217808 -0.217808 -0.000041 0.000000 -0.670049 -0.670049 0.000035 0.000000 0.081925 0.081925 0.000116 0.000000 0.512036 0.512036 0.000005 0.000000 0.200875 0.200875 0.000000 0.000000 0.018572 0.018571 0.000471 0.000000 0.055096 0.055096 -0.000141 0.000000 0.583589 0.583590 0.000070 0.000000 1.348620 1.348618 -0.000095 0.000000 0.145713 0.145713 0.000001 0.000000 1.441230 1.441231 0.000103 0.000000 -0.214460 -0.214460 -0.000000 0.000000 -0.451294 -0.451294 0.000001 0.000000 -1.571560 -1.571570 0.000063 0.000000 0.861828 0.861828 0.000001 0.000000 1.570990 1.570848 0.009719 0.000000 0.547131 0.547131 -0.000001 0.000000 1.816408 -1.540789 -1.816407 2.000000
0.072000 -0.059284 -0.059282 -0.000334 0.000000 0.082751 0.082752 -0.000171 0.000000 0.625724 0.625724 0.000059 0.000000 0.085217 0.085218 -0.000249 0.000000 0.511464 0.511464 -0.000038 0.000000 -0.141616 -0.141616 -0.000008 0.000000 -0.062693 -0.062694 0.000253 0.000000 -0.217808 -0.217808 -0.000201 0.000000 -0.670049 -0.670049 0.000057 0.000000 0.081925 0.081925 0.000142 0.000000 0.512036 0.512036 0.000017 0.000000 0.200875 0.200875 -0.000005 0.000000 0.018572 0.018570 0.000551 0.000000 0.055096 0.055097 -0.000127 0.000000 0.583589 0.583589 0.000094 0.000000 1.348620 1.348619 -0.000093 0.000000 0.145713 0.145713 -0.000003 0.000000 1.441230 1.441230 0.000099 0.000000 -0.214460 -0.214460 0.000000 0.000000 -0.451294 -0.451294 0.000002 0.000000 -1.571560 -1.571567 -0.000254 0.000000 0.861828 0.861828 0.000001 0.000000 1.570990 1.570828 0.008656 0.000000 0.547131 0.547131 -0.000001 0.000000 1.792128 -1.540787 -1.792127 3.000000
0.090000 -0.059284 -0.059586 0.516368 0.000000 0.082751 0.082631 0.205817 0.000000 0.625724 0.625735 -0.019373 0.000000 0.085217 0.085196 0.037556 0.000000 0.511464 0.511466 -0.001055 0.000000 -0.141616 -0.141621 0.005252 0.000000 -0.062693 -0.062962 0.454579 0.000000 -0.217808 -0.217895 0.150302 0.000000 -0.670049 -0.670053 0.006203 0.000000 0.081925 0.081835 0.152842 0.000000 0.512036 0.512030 0.006128 0.000000 0.200875 0.200875 -0.000406 0.000000 0.018572 0.018402 0.285799 0.000000 0.055096 0.054338 1.289294 0.000000 0.583589 0.582655 1.438288 0.000000 1.348620 1.348674 -0.082862 0.000000 0.145713 0.145920 -0.319487 0.000000 1.441230 1.444436 -4.937936 0.000000 -0.214460 -0.214455 -0.007107 0.000000 -0.451294 -0.451313 0.029777 0.000000 -1.571560 -1.571373 -0.293647 0.000000 0.861828 0.861816 0.018884 0.000000 1.570990 1.570374 0.690603 0.000000 0.547131 0.547132 -0.002261 0.000000 1.777366 -1.540786 -1.777366 4.000000
0.108000 -0.059284 -0.070811 5.728275 0.000000 0.082751 0.078223 1.801735 0.000000 0.625724 0.630009 -3.820754 0.000000 0.085217 0.079635 4.059816 0.000000 0.511464 0.513868 -1.868710 0.000000 -0.141616 -0.142795 0.576697 0.000000 -0.062693 -0.076598 5.799551 0.000000 -0.217808 -0.219545 0.287759 0.000000 -0.670049 -0.669802 0.170499 0.000000 0.081925 0.076600 2.837554 0.000000 0.512036 0.511423 0.187585 0.000000 0.200875 0.201015 -0.086347 0.000000 0.018572 0.016088 -0.097551 0.000000 0.055096 0.032697 8.591741 0.000000 0.583589 0.563646 0.024975 0.000000 1.348620 1.344099 3.227201 0.000000 0.145713 0.155968 -1.810194 0.000000 1.441230 1.477188 -5.283304 0.000000 -0.214460 -0.214866 0.077442 0.000000 -0.451294 -0.451942 0.179655 0.000000 -1.571560 -1.570948 2.448952 0.000000 0.861828 0.861413 0.127073 0.000000 1.570990 1.560901 0.405301 0.000000 0.547131 0.547191 -0.023639 0.000000 0.446158 -1.525988 -0.441423 5.000000
0.126000 -0.059284 -0.110582 17.152388 0.000000 0.082751 0.071622 3.271009 0.000000 0.625724 0.660067 -11.072763 0.000000 0.085217 0.048076 12.430394 0.000000 0.511464 0.551234 -4.940003 0.000000 -0.141616 -0.152812 1.677147 0.000000 -0.062693 -0.105665 15.203728 0.000000 -0.217808 -0.215999 -1.236796 0.000000 -0.670049 -0.681326 6.152505 0.000000 0.081925 0.055236 10.277534 0.000000 0.512036 0.520364 -3.361433 0.000000 0.200875 0.203206 -0.321299 0.000000 0.018572 0.030860 -5.112788 0.000000 0.055096 0.019219 6.534342 0.000000 0.583589 0.579136 -2.125734 0.000000 1.348620 1.313233 6.150973 0.000000 0.145713 0.158630 -0.338183 0.000000 1.441230 1.480224 -1.163869 0.000000 -0.214460 -0.215056 0.023838 0.000000 -0.451294 -0.453889 0.532210 0.000000 -1.571560 -1.608164 7.968672 0.000000 0.861828 0.860830 0.083364 0.000000 1.570990 1.575577 -1.753504 0.000000 0.547131 0.547315 -0.015120 0.000000 0.336933 -1.482216 -0.330892 6.000000
0.144000 -0.059284 -0.150774 21.780124 0.000000 0.082751 0.064364 4.877802 0.000000 0.625724 0.666912 -6.216262 0.000000 0.085217 0.023412 14.805532 0.000000 0.511464 0.575492 -3.153166 0.000000 -0.141616 -0.165609 1.755583 0.000000 -0.062693 -0.147744 20.496428 0.000000 -0.217808 -0.211162 -1.516799 0.000000 -0.670049 -0.701979 8.206623 0.000000 0.081925 0.027441 13.041182 0.000000 0.512036 0.550856 -2.916880 0.000000 0.200875 0.206663 -0.752741 0.000000 0.018572 0.044583 -6.794884 0.000000 0.055096 0.022703 8.564957 0.000000 0.583589 0.590241 -1.203667 0.000000 1.348620 1.289385 4.862610 0.000000 0.145713 0.155578 0.217230 0.000000 1.441230 1.476435 -0.485204 0.000000 -0.214460 -0.214907 -0.022888 0.000000 -0.451294 -0.456667 0.482598 0.000000 -1.571560 -1.643702 6.662284 0.000000 0.861828 0.861019 -0.072965 0.000000 1.570990 1.577546 -0.035363 0.000000 0.547131 0.547265 0.016887 0.000000 0.437027 -1.434999 -0.431119 7.000000
0.162000 -0.059284 -0.158431 19.672283 0.000000 0.082751 0.057753 5.642483 0.000000 0.625724 0.651184 -3.331059 0.000000 0.085217 0.017529 13.234911 0.000000 0.511464 0.576265 -1.277441 0.000000 -0.141616 -0.173387 1.558953 0.000000 -0.062693 -0.157203 19.325292 0.000000 -0.217808 -0.213320 -0.437718 0.000000 -0.670049 -0.699756 3.990469 0.000000 0.081925 0.024777 11.058761 0.000000 0.512036 0.556268 -1.242636 0.000000 0.200875 0.211197 -0.614427 0.000000 0.018572 0.049211 -6.108147 0.000000 0.055096 0.010823 9.253247 0.000000 0.583589 0.593184 -0.613289 0.000000 1.348620 1.281652 2.854034 0.000000 0.145713 0.151869 0.225012 0.000000 1.441230 1.470227 -0.308040 0.000000 -0.214460 -0.214660 -0.021492 0.000000 -0.451294 -0.459008 0.750025 0.000000 -1.571560 -1.657671 4.422350 0.000000 0.861828 0.861683 -0.069968 0.000000 1.570990 1.575395 0.146198 0.000000 0.547131 0.547123 0.016987 0.000000 0.403410 -1.427438 -0.395442 8.000000
0.180000 -0.059284 -0.150423 16.266397 0.000000 0.082751 0.057184 4.804289 0.000000 0.625724 0.645114 -3.378049 0.000000 0.085217 0.026313 9.826366 0.000000 0.511464 0.564128 -0.009091 0.000000 -0.141616 -0.177468 1.311832 0.000000 -0.062693 -0.153659 16.768503 0.000000 -0.217808 -0.215437 -0.260040 0.000000 -0.670049 -0.683612 0.632945 0.000000 0.081925 0.028974 9.856256 0.000000 0.512036 0.550900 -0.306651 0.000000 0.200875 0.212790 -0.422751 0.000000 0.018572 0.045966 -4.752244 0.000000 0.055096 0.019430 4.991662 0.000000 0.583589 0.594261 -0.577148 0.000000 1.348620 1.285460 1.523983 0.000000 0.145713 0.149444 0.135393 0.000000 1.441230 1.465265 -0.335818 0.000000 -0.214460 -0.214518 -0.013364 0.000000 -0.451294 -0.461941 0.821478 0.000000 -1.571560 -1.658412 3.024101 0.000000 0.861828 0.861990 -0.032511 0.000000 1.570990 1.573641 0.106585 0.000000 0.547131 0.547053 0.009295 0.000000 0.530744 -1.428025 -0.520370 9.000000
